src	trg	nij
AFG	AZE	0.09991578476
AUT	AZE	0.1998315695
AFG	IND	0.3804148549
BTN	IND	0.2582785568
AFG	IRN	0.3319130525
AFG	PAK	0.2997473543
OMN	PAK	0.4750883162
SDN	ARE	0.4318288373
LKA	ARE	0.4581101264
ALB	ITA	0.575004101
MNE	SVN	0.1998315695
TUN	GBR	0.5454833945
GIB	GBR	0.3581943416
IMN	GBR	0.4318288373
JEY	GBR	0.5639103203
UGA	BEL	0.1998315695
LBR	BEL	0.1583627721
TGO	BEL	0.1583627721
BHS	CAN	0.2804990701
BRB	CAN	0.1998315695
BMU	CAN	0.1998315695
ABW	CAN	0.1998315695
MMR	CHN	0.399663139
KHM	CHN	0.4388618422
IRQ	JOR	0.3697323384
KGZ	RUS	0.663826105
PRK	RUS	0.09991578476
LBY	TUN	0.5421695013
TTO	USA	0.4455676098
HND	USA	0.5243507959
KIR	USA	0.1998315695
NIC	USA	0.3581943416
KNA	USA	0.2319972678
WSM	USA	0.09991578476
TCA	USA	0.4803306397
GBR	USA	0.8672170655
AUT	BLR	0.1998315695
ARM	BLR	0.09991578476
ARM	CZE	0.1998315695
GUM	JPN	0.5243507959
MAC	TWN	0.399663139
PLW	TWN	0.1998315695
LAO	THA	0.4318288373
AUT	BIH	0.09991578476
AUT	BGR	0.2582785568
BEL	BGR	0.2997473543
AUT	HRV	0.3581943416
BIH	HRV	0.09991578476
BGR	CYP	0.2997473543
EST	FIN	0.2582785568
AZE	GEO	0.1998315695
BLR	GEO	0.2582785568
IRN	IRQ	0.2997473543
GEO	IRQ	0.1998315695
FRO	NOR	0.1998315695
MDA	ROU	0.2582785568
MNE	SRB	0.2997473543
MOZ	ZAF	0.4902758246
BWA	ZAF	0.4166413289
MWI	ZAF	0.2582785568
NAM	ZAF	0.4166413289
REU	ZAF	0.09991578476
BRA	CHL	0.3581943416
ARG	CHL	0.4244350111
BOL	CHL	0.2582785568
AUS	BRN	0.09991578476
AUS	TLS	0.1998315695
AUS	FJI	0.4455676098
AUS	GUM	0.09991578476
AUS	IDN	0.5695639079
BRN	IDN	0.2997473543
TLS	IDN	0.09991578476
BRN	MYS	0.3804148549
IDN	MYS	0.6518068123
MDG	MUS	0.1998315695
