src	trg	nij
BHR	IND	0.3903600398
BGD	IND	0.4581101264
ETH	IND	0.2997473543
HKG	IND	0.4696481232
EGY	KWT	0.4995789238
IRN	KWT	0.4318288373
OMN	PAK	0.4750883162
RUS	TJK	0.7153841634
DZA	TUR	0.3581943416
AUT	TUR	0.5243507959
AZE	TUR	0.3697323384
BIH	TUR	0.2997473543
CYP	TUR	0.4803306397
FRA	TUR	0.5695639079
GEO	TUR	0.3319130525
DEU	TUR	0.7993262781
IRN	TUR	0.4803306397
NLD	TUR	0.5518910275
BHR	ARE	0.4950024122
BGD	ARE	0.4244350111
EGY	ARE	0.4455676098
IND	ARE	0.7333668731
IRN	ARE	0.5487228119
JOR	ARE	0.4166413289
KEN	ARE	0.4166413289
KWT	ARE	0.4519752428
LBN	ARE	0.3581943416
MDV	ARE	0.2997473543
NPL	ARE	0.2997473543
OMN	ARE	0.5353040129
PAK	ARE	0.6666806143
QAT	ARE	0.4388618422
SAU	ARE	0.6533651843
SDN	ARE	0.4318288373
THA	ARE	0.4166413289
UKR	ARE	0.4318288373
AUT	DEU	0.7060138467
BLR	DEU	0.2997473543
BEL	DEU	0.4902758246
BIH	DEU	0.2997473543
BGR	DEU	0.4455676098
CAN	DEU	0.5243507959
CPV	DEU	0.3319130525
HRV	DEU	0.6801622092
CYP	DEU	0.399663139
CZE	DEU	0.4803306397
DNK	DEU	0.5723096673
EGY	DEU	0.5165571137
FIN	DEU	0.5243507959
FRA	DEU	0.7386091965
AUT	GRC	0.6164728984
BEL	GRC	0.5243507959
CYP	GRC	0.4519752428
FRA	GRC	0.594918197
DEU	GRC	0.84107634
ALB	ITA	0.575004101
AUT	ITA	0.5802464244
BEL	ITA	0.6470279877
BGR	ITA	0.3804148549
CZE	ITA	0.5243507959
DNK	ITA	0.538777627
FRA	ITA	0.8207401412
DEU	ITA	0.8780501806
GRC	ITA	0.5609981403
HUN	ITA	0.4455676098
IRL	ITA	0.4995789238
ISR	ITA	0.4166413289
AUT	GBR	0.4455676098
BRB	GBR	0.3167255442
BEL	GBR	0.5083178422
BGR	GBR	0.4318288373
CAN	GBR	0.6369670677
CPV	GBR	0.4166413289
HRV	GBR	0.6124121227
CYP	GBR	0.67085911
CZE	GBR	0.4995789238
DNK	GBR	0.5454833945
EGY	GBR	0.6060980619
FIN	GBR	0.4166413289
FRA	GBR	0.8292218821
DEU	GBR	0.7680027322
GRC	GBR	0.7637418898
HUN	GBR	0.4902758246
ISL	GBR	0.4318288373
IRL	GBR	0.6971403991
ITA	GBR	0.813269661
JEY	GBR	0.5639103203
LVA	GBR	0.3804148549
LTU	GBR	0.4318288373
MLT	GBR	0.5802464244
MAR	GBR	0.5695639079
NLD	GBR	0.6735789644
NGA	GBR	0.2997473543
NOR	GBR	0.6386934117
POL	GBR	0.7060138467
PRT	GBR	0.7368828524
ESP	GBR	1
SWE	GBR	0.575004101
TUN	GBR	0.5454833945
TUR	GBR	0.7485543814
MMR	CHN	0.399663139
CAN	CHN	0.4902758246
BEN	CIV	0.345651825
BFA	CIV	0.399663139
DZA	FRA	0.7060138467
AUT	FRA	0.4696481232
BEL	FRA	0.6184611783
CAN	FRA	0.5243507959
HRV	FRA	0.4581101264
CZE	FRA	0.4995789238
EGY	LBY	0.4318288373
BEL	MAR	0.5421695013
FRA	MAR	0.7306724393
BFA	NER	0.3903600398
AGO	PRT	0.2582785568
BEL	PRT	0.5165571137
BRA	PRT	0.4581101264
CPV	PRT	0.4084020575
FRA	PRT	0.6694796927
DEU	PRT	0.6971403991
IRL	PRT	0.4581101264
LUX	PRT	0.3804148549
NLD	PRT	0.5487228119
BHR	QAT	0.4455676098
ARM	RUS	0.575004101
AUT	RUS	0.4696481232
AZE	RUS	0.538777627
BLR	RUS	0.4581101264
BGR	RUS	0.399663139
CHN	RUS	0.6549068889
CYP	RUS	0.4455676098
CZE	RUS	0.5580259111
EGY	RUS	0.4455676098
FIN	RUS	0.4166413289
DEU	RUS	0.6533651843
GRC	RUS	0.5802464244
ISR	RUS	0.4318288373
ITA	RUS	0.608233627
KAZ	RUS	0.6184611783
KGZ	RUS	0.663826105
LVA	RUS	0.399663139
MDA	RUS	0.3319130525
MNE	RUS	0.3804148549
BHR	SAU	0.399663139
EGY	SAU	0.6788693933
ETH	SAU	0.4166413289
IND	SAU	0.6124121227
IRN	SAU	0.4581101264
JOR	SAU	0.4388618422
KWT	SAU	0.5124963379
LBN	SAU	0.3581943416
PAK	SAU	0.6298472004
QAT	SAU	0.4166413289
GHA	SEN	0.2582785568
GIN	SEN	0.399663139
MLI	SEN	0.3319130525
DZA	ESP	0.4803306397
AUT	ESP	0.6316604068
BEL	ESP	0.6864578826
BGR	ESP	0.399663139
CZE	ESP	0.4995789238
DNK	ESP	0.594918197
FIN	ESP	0.4995789238
FRA	ESP	0.8221888771
DEU	ESP	0.9457594955
IRL	ESP	0.672225452
ITA	ESP	0.7900231789
LUX	ESP	0.4581101264
MAR	ESP	0.6280108952
NLD	ESP	0.7081494117
NOR	ESP	0.6694796927
POL	ESP	0.5454833945
PRT	ESP	0.642085286
QAT	ESP	0.345651825
ROU	ESP	0.5083178422
SEN	ESP	0.3903600398
AUT	CHE	0.4519752428
EGY	CHE	0.4318288373
FRA	CHE	0.538777627
DEU	CHE	0.6386934117
ITA	CHE	0.6242665806
PRT	CHE	0.5243507959
FRA	TUN	0.6470279877
DEU	TUN	0.5994947086
LBY	TUN	0.5421695013
ATG	USA	0.3804148549
ARG	USA	0.4318288373
ABW	USA	0.538777627
AUS	USA	0.5695639079
BHS	USA	0.7163886832
BRB	USA	0.2582785568
BEL	USA	0.538777627
BLZ	USA	0.4318288373
BRA	USA	0.6839725105
CAN	USA	0.9497806212
CYM	USA	0.5040145971
CHL	USA	0.4318288373
CHN	USA	0.6864578826
COL	USA	0.660913925
CRI	USA	0.6124121227
DOM	USA	0.6924900601
ECU	USA	0.399663139
SLV	USA	0.5827977832
FJI	USA	0.3581943416
FRA	USA	0.7485543814
DEU	USA	0.7832601984
GTM	USA	0.5083178422
GUY	USA	0.1998315695
HND	USA	0.5243507959
HKG	USA	0.4995789238
ISL	USA	0.3804148549
IRL	USA	0.6124121227
ITA	USA	0.672225452
JAM	USA	0.6334510883
JPN	USA	0.7297629852
MEX	USA	0.9527245222
NLD	USA	0.6280108952
NZL	USA	0.3804148549
NGA	USA	0.2582785568
PAN	USA	0.5877688967
PER	USA	0.538777627
PRT	USA	0.4803306397
PRI	USA	0.672225452
QAT	USA	0.4455676098
KOR	USA	0.6280108952
ESP	USA	0.682713568
TTO	USA	0.4455676098
GBR	USA	0.8672170655
ARG	BRA	0.5827977832
BEN	COG	0.3804148549
CAN	CUB	0.5802464244
COD	KEN	0.2997473543
ETH	KEN	0.3581943416
AGO	NAM	0.2582785568
CAN	NLD	0.4318288373
FRA	NLD	0.6060980619
GRC	NLD	0.538777627
ITA	NLD	0.6369670677
MAR	NLD	0.4388618422
AGO	ZAF	0.2582785568
BWA	ZAF	0.4166413289
MOZ	ZAF	0.4902758246
CAN	DOM	0.4950024122
CAN	JAM	0.4455676098
ARG	CHL	0.4244350111
COL	ECU	0.4455676098
CAN	MEX	0.5827977832
CUB	MEX	0.3697323384
BOL	PER	0.399663139
BRA	PER	0.4318288373
CHL	PER	0.3804148549
ARG	URY	0.4166413289
BRA	URY	0.4166413289
ABW	VEN	0.4455676098
PAN	VEN	0.3581943416
FRA	POL	0.4902758246
DEU	POL	0.6453991793
IRL	POL	0.4902758246
ITA	POL	0.5853047682
NOR	POL	0.594918197
AUT	UKR	0.4318288373
GEO	UKR	0.3804148549
CHN	HKG	0.7869883719
AUS	IDN	0.5695639079
CAN	JPN	0.4318288373
CHN	JPN	0.8122436922
GUM	JPN	0.5243507959
HKG	JPN	0.575004101
BRN	MYS	0.3804148549
IND	MYS	0.531744622
IDN	MYS	0.6518068123
AUS	NZL	0.7133538762
FJI	NZL	0.3319130525
AUS	SGP	0.6386934117
MMR	SGP	0.3581943416
CHN	SGP	0.6470279877
IND	SGP	0.608233627
IDN	SGP	0.6959918033
MYS	SGP	0.6280108952
CHN	KOR	0.8236231975
HKG	KOR	0.4995789238
JPN	KOR	0.7700868361
PHL	KOR	0.5723096673
CHN	TWN	0.8570205326
HKG	TWN	0.4696481232
JPN	TWN	0.707085584
MMR	THA	0.4581101264
CHN	THA	0.7173862512
HKG	THA	0.5580259111
LAO	THA	0.4318288373
MYS	THA	0.6039303818
SGP	THA	0.5776490928
THA	VNM	0.4318288373
BLR	GEO	0.2582785568
FRA	IRL	0.5518910275
DNK	NOR	0.5877688967
EST	NOR	0.3581943416
FRA	NOR	0.4902758246
LVA	NOR	0.4318288373
LTU	NOR	0.399663139
ITA	ROU	0.608233627
BIH	SRB	0.2582785568
EST	SWE	0.2997473543
FIN	SWE	0.5454833945
FRA	SWE	0.5124963379
MKD	SWE	0.2582785568
RUS	UZB	0.7342539405
IND	OMN	0.5421695013
IND	LKA	0.5518910275
MDV	LKA	0.4581101264
KEN	RWA	0.3697323384
GHA	SLE	0.2582785568
LBR	SLE	0.3903600398
COG	GAB	0.3581943416
CIV	GHA	0.3903600398
GHA	NGA	0.345651825
KEN	ZMB	0.3903600398
MWI	ZMB	0.345651825
RWA	UGA	0.399663139
TZA	UGA	0.2997473543
CHN	MAC	0.6518068123
COM	MYT	0.2804990701
MUS	REU	0.3804148549
ETH	TZA	0.2804990701
KEN	TZA	0.5040145971
GHA	LBR	0.3319130525
KEN	SOM	0.3697323384
BTN	IND	0.2582785568
AFG	ARE	0.3804148549
BEL	SVN	0.2582785568
GMB	SEN	0.2997473543
GNB	SEN	0.1998315695
BMU	USA	0.4455676098
GRD	USA	0.2997473543
DJI	ETH	0.3319130525
GNQ	ETH	0.1998315695
AGO	STP	0.09991578476
ETH	ZWE	0.2582785568
AIA	PRI	0.1998315695
DMA	PRI	0.2997473543
PRI	VGB	0.4388618422
ATG	KNA	0.2997473543
MTQ	LCA	0.3167255442
BRA	PRY	0.3319130525
GUY	SUR	0.09991578476
