src	trg	norm-log-prox
AFG	CHN	0.06665607265
AFG	IRN	0.1341483659
AFG	PAK	0.2811250386
AFG	TJK	0.2593964301
AFG	TKM	0.1721474018
AFG	UZB	0.1996011013
ALB	GRC	0.2515595932
ALB	MNE	0.4065407135
ALB	MKD	0.3912457263
DZA	LBY	0.1700791202
DZA	MLI	0.09121885382
DZA	MRT	0.09485739763
DZA	MAR	0.1792244305
DZA	NER	0.09960177787
DZA	TUN	0.2184094319
DZA	ESH	0.1230102009
AGO	COG	0.2434875856
AGO	COD	0.2457173567
AGO	NAM	0.1347438053
AGO	ZMB	0.1239662858
AIA	ATG	0.3865538322
AIA	WSM	0.4773369084
ATG	WSM	0.185769488
ARG	BOL	0.110142433
ARG	BRA	0.1051463468
ARG	CHL	0.1642192616
ARG	PRY	0.1750032721
ARG	URY	0.3560322254
ARM	AZE	0.2567910601
ARM	GEO	0.8393075485
ARM	IRN	0.1933687694
ARM	TUR	0.1749122564
ABW	VEN	0.2697598123
AUS	IDN	0.05143734111
AUS	NFK	0.1215835617
AUT	CZE	0.3288146005
AUT	DEU	0.2475440495
AUT	HUN	0.3409457978
AUT	ITA	0.1936036596
AUT	SVK	0.6007802555
AUT	SVN	0.3261223689
AUT	CHE	0.2077967609
AZE	GEO	0.2645682322
AZE	IRN	0.2310323531
AZE	RUS	0.1217045378
AZE	TUR	0.1425875613
BHS	USA	0.1339019199
BHR	QAT	0.6092457573
BHR	SAU	0.2448184363
BGD	IND	0.1441859077
BGD	MMR	0.1773174348
BRB	GRD	0.3288146005
BLR	LVA	0.2706548404
BLR	LTU	0.3838259956
BLR	POL	0.2567910601
BLR	RUS	0.2114244363
BLR	UKR	0.2749520011
BEL	FRA	0.3250648021
BEL	DEU	0.2132274361
BEL	LUX	0.43175979
BEL	NLD	0.3532536682
BLZ	GTM	0.2718620912
BLZ	MEX	0.1606466467
BEN	BFA	0.1955098546
BEN	NER	0.1988405534
BEN	NGA	0.5573269908
BEN	TGO	0.3971324155
BMU	USA	0.1504918723
BTN	CHN	0.09320514229
BTN	IND	0.1576054616
BOL	BRA	0.1113172535
BOL	CHL	0.1212621367
BOL	PRY	0.1413589176
BOL	PER	0.169235066
BIH	HRV	0.3090352341
BIH	MNE	0.4995260369
BIH	SRB	0.3702716805
BWA	NAM	0.1818820242
BWA	ZAF	0.1548313044
BWA	ZMB	0.1721474018
BWA	ZWE	0.1817818263
BRA	COL	0.07557131567
BRA	GUF	0.1056361854
BRA	GUY	0.09552202995
BRA	PRY	0.1397744339
BRA	PER	0.0845746911
BRA	SUR	0.1022631105
BRA	URY	0.1080535396
BRA	VEN	0.07809998088
BRN	MYS	0.1429834572
BGR	GRC	0.2570481549
BGR	MKD	0.4132416516
BGR	ROU	0.3012666163
BGR	SRB	0.2996207381
BGR	TUR	0.1887103886
BFA	CIV	0.1983377352
BFA	GHA	0.196726332
BFA	MLI	0.2087955789
BFA	NER	0.2679958555
BFA	TGO	0.2054234086
BDI	COD	0.09208207813
BDI	RWA	0.3434227472
BDI	TZA	0.1621441411
CPV	MRT	0.187292688
CPV	SEN	0.2054234086
KHM	LAO	0.2082232523
KHM	THA	0.2411005861
KHM	VNM	0.3633004153
CMR	CAF	0.1961156302
CMR	TCD	0.1695714635
CMR	COG	0.1852687942
CMR	GNQ	0.3633004153
CMR	GAB	0.270355516
CMR	NGA	0.178742894
CAN	GRL	0.09968480934
CAN	USA	0.2052860473
CYM	CUB	0.2634541953
CYM	JAM	0.2439288942
CAF	TCD	0.1776947843
CAF	COG	0.1780741393
CAF	COD	0.1724981216
CAF	SSD	0.1433817953
CAF	SDN	0.1191748778
TCD	LBY	0.1091539212
TCD	NER	0.1461217043
TCD	NGA	0.1435532659
TCD	SDN	0.1200718017
CHL	PER	0.1034937181
CHN	HKG	0.1187121789
CHN	IND	0.07332945528
CHN	KAZ	0.08261112917
CHN	PRK	0.1939573877
CHN	KGZ	0.07838029214
CHN	LAO	0.09385016308
CHN	MAC	0.118062741
CHN	MNG	0.1615411897
CHN	MMR	0.08380135506
CHN	NPL	0.08512485489
CHN	PAK	0.07116440843
CHN	RUS	0.04647760939
CHN	TJK	0.06846437818
CHN	VNM	0.08240857071
COL	ECU	0.2089393219
COL	PAN	0.201405931
COL	PER	0.1223946705
COL	VEN	0.1761046708
COM	MYT	0.2027217992
COM	MOZ	0.1169708924
COG	COD	1
COG	GAB	0.1975897286
COD	RWA	0.09365089332
COD	SSD	0.09575395605
COD	TZA	0.077139654
COD	UGA	0.08985603964
COD	ZMB	0.1223946705
CRI	NIC	0.2933032723
CRI	PAN	0.2406737295
CIV	GHA	0.2224020013
CIV	GIN	0.1776002597
CIV	LBR	0.224300383
CIV	MLI	0.2059753162
HRV	HUN	0.2968058703
HRV	MNE	0.2737034846
HRV	SRB	0.2804555329
HRV	SVN	0.4087340448
CUB	MEX	0.1262716689
CUB	USA	0.1251935532
CYP	GRC	0.1825873268
CYP	TUR	0.2562791175
CZE	DEU	0.3415596768
CZE	POL	0.2419608229
CZE	SVK	0.3108476871
DNK	DEU	0.2914112391
DNK	SWE	0.2347163843
DJI	ERI	0.2234319444
DJI	ETH	0.2353133367
DJI	SOM	0.1679054958
DMA	GLP	0.5283310087
DOM	HTI	0.336158287
DOM	PRI	0.2718620912
TLS	IDN	0.1145581621
ECU	PER	0.1490440825
EGY	ISR	0.2715587738
EGY	LBY	0.1296701597
EGY	SDN	0.1317739625
SLV	GTM	0.3922068609
SLV	HND	0.3663456499
GNQ	GAB	0.3492137676
ERI	ETH	0.2090833313
ERI	SSD	0.1450586737
ERI	SDN	0.2139910753
EST	LVA	0.2964103449
EST	RUS	0.1852687942
ETH	KEN	0.1640633765
ETH	SOM	0.1691512197
ETH	SSD	0.1835043625
ETH	SDN	0.1813824199
FRO	GBR	0.1565516786
FJI	NCL	0.1501111112
FJI	WSM	0.1936036596
FJI	VUT	0.1560655084
FIN	NOR	0.1959940833
FIN	RUS	0.1810843099
FIN	SWE	0.2718620912
FRA	DEU	0.1841222254
FRA	ITA	0.1645320967
FRA	LUX	0.2936862076
FRA	ESP	0.1741883136
FRA	CHE	0.260997357
GUF	SUR	0.2960164333
GMB	SEN	0.4215463868
GEO	RUS	0.1279028319
GEO	TUR	0.172322543
DEU	LUX	0.2304654031
DEU	NLD	0.2271436125
DEU	POL	0.2404611081
DEU	CHE	0.1964814555
GHA	TGO	0.4098455876
GIB	ESP	0.2466258335
GRC	MKD	0.2501209159
GRC	TUR	0.195630619
GRL	ISL	0.1442437281
GRD	TTO	0.3981423286
GLP	ATG	0.4472720261
GUM	MNP	0.3525698857
GUM	PLW	0.1527577542
GTM	HND	0.2902937564
GTM	MEX	0.1695714635
GGY	FRA	0.2845465423
GGY	GBR	0.3160081905
GIN	GNB	0.3021000848
GIN	LBR	0.2557701451
GIN	MLI	0.2090833313
GIN	SEN	0.2102451007
GIN	SLE	0.4598210167
GNB	SEN	0.2758996635
GUY	SUR	0.2917866619
GUY	VEN	0.1715378234
HTI	CUB	0.1625998742
HND	NIC	0.3355747835
HUN	ROU	0.219061178
HUN	SRB	0.2899241571
HUN	SVK	0.3794167314
HUN	SVN	0.2797908124
HUN	UKR	0.1853739283
ISL	FRO	0.1961156302
IND	MMR	0.1058518082
IND	NPL	0.1969720082
IND	PAK	0.2102451007
IDN	MYS	0.1621441411
IDN	PNG	0.06273735575
IRN	IRQ	0.2099530299
IRN	PAK	0.1181768372
IRN	TUR	0.1297621658
IRN	TKM	0.2168030302
IRQ	JOR	0.1947893266
IRQ	KWT	0.2317944095
IRQ	SAU	0.1729389945
IRQ	TUR	0.1566912331
IRL	GBR	0.2466258335
IMN	IRL	0.1412483776
IMN	GBR	0.2674154405
ISR	JOR	0.4155585706
ISR	LBN	0.43175979
ITA	SVN	0.2319860292
ITA	CHE	0.2092276078
JAM	CUB	0.1951487242
JAM	HTI	0.2503590403
JPN	PRK	0.1511956873
JEY	FRA	0.2972030212
JEY	GBR	0.3117664175
JOR	SAU	0.1506830797
KAZ	KGZ	0.3459582467
KAZ	RUS	0.08598239184
KAZ	TKM	0.1289844318
KAZ	UZB	0.2121706548
KEN	SOM	0.1750032721
KEN	SSD	0.1856902431
KEN	TZA	0.2212168198
KEN	UGA	0.2466258335
KIR	USA	0.009778353339
PRK	KOR	0.3409457978
PRK	RUS	0.04112893009
KWT	SAU	0.2327569853
KGZ	TJK	0.2144528386
KGZ	UZB	0.2557701451
LAO	MMR	0.2095169661
LAO	THA	0.2450422804
LAO	VNM	0.1932516012
LVA	LTU	0.3391250913
LVA	RUS	0.1900437286
LBR	SLE	0.2866609937
LBY	NER	0.1037609062
LBY	SDN	0.09549631988
LBY	TUN	0.2381570427
LTU	POL	0.2824786531
LTU	RUS	0.1974657787
MDG	MYT	0.2059753162
MWI	MOZ	0.1431538729
MWI	TZA	0.1756436753
MWI	ZMB	0.2267827229
MYS	PHL	0.102728788
MYS	SGP	0.2976018095
MYS	THA	0.1646105284
MDV	LKA	0.1939573877
MLI	MRT	0.1680703084
MLI	NER	0.1660377897
MLI	SEN	0.170676086
MLT	ITA	0.2244751954
MLT	TUN	0.2724717715
MTQ	DMA	0.5257081857
MRT	SEN	0.2535157154
MRT	ESH	0.1775058601
MUS	REU	0.3472487256
MYT	MOZ	0.1186354081
MEX	USA	0.08807528141
FSM	PNG	0.1123778527
MDA	ROU	0.2749520011
MDA	UKR	0.2848956675
MNG	RUS	0.0595035411
MNE	SRB	0.360335847
MAR	ESP	0.1937213828
MAR	ESH	0.1230102009
MOZ	MDG	0.1259678805
MOZ	ZAF	0.1339511319
MOZ	TZA	0.106130229
MOZ	ZMB	0.1526261682
MOZ	ZWE	0.1741883136
MMR	THA	0.2306539527
NAM	ZAF	0.1541553472
NAM	ZMB	0.1444755271
NCL	AUS	0.1100428244
NCL	VUT	0.2371302898
NZL	AUS	0.1062544047
NER	NGA	0.1978382413
NFK	NZL	0.1406437856
MKD	SRB	0.3367450331
NOR	RUS	0.1313002699
NOR	SWE	0.2662657081
OMN	SAU	0.1594719421
OMN	ARE	0.2654129551
OMN	YEM	0.1280817887
PLW	IDN	0.07992028919
PLW	PHL	0.1328772819
PNG	AUS	0.09110002658
PNG	SLB	0.1530217101
PHL	IDN	0.09521428981
POL	RUS	0.1636752051
POL	SVK	0.239196525
POL	UKR	0.2114244363
PRT	ESP	0.2406737295
QAT	SAU	0.2518017131
REU	MDG	0.190380862
ROU	SRB	0.257306004
ROU	UKR	0.203522336
RUS	UKR	0.2041959005
RWA	TZA	0.1622198859
RWA	UGA	0.3141008222
LCA	BRB	0.3751692847
LCA	MTQ	0.5850062772
SPM	CAN	0.1398284239
STP	GAB	0.3094852633
SAU	ARE	0.1990932216
SAU	YEM	0.1717114493
SYC	MDG	0.1286670055
SYC	SOM	0.148239644
SGP	IDN	0.1901559356
SVK	UKR	0.1756436753
ZAF	ZWE	0.1110466358
SSD	SDN	0.1590366208
SSD	UGA	0.2426117871
LKA	IND	0.1026120113
LKA	IDN	0.0825300135
TWN	CHN	0.1328289047
TWN	PHL	0.1578182111
TJK	UZB	0.2944566929
TZA	UGA	0.1736501804
TZA	ZMB	0.1379654222
TON	FJI	0.2036565763
TTO	VEN	0.2217226169
TKM	UZB	0.1713646262
TCA	BHS	0.2027217992
VUT	PNG	0.1083750228
VEN	GRD	0.2213850652
VGB	AIA	0.3961309312
VGB	PRI	0.407632472
ZMB	ZWE	0.2895559887
