,src,trg,iso_code_src,region,days_since_100_cases_in_China_2019,weeks_since_100_cases,iso_code_trg,kmdist,proximity,log-prox,Norm_prox,norm_log_prox
0,Afghanistan,China,AFG,Asia,71.0,10,CHN,4199.0,0.00023815194093831864,0.1198666840723466,0.0033598143405411574,0.0033598143405411574
1,Afghanistan,Iran (Islamic Republic of),AFG,Asia,71.0,10,IRN,1618.0,0.0006180469715698393,0.13533729801091854,0.010968427537750534,0.010968427537750534
2,Afghanistan,Pakistan,AFG,Asia,71.0,10,PAK,371.0,0.0026954177897574125,0.16902735731768975,0.052574423268951766,0.052574423268951766
3,Afghanistan,Pakistan,AFG,Asia,71.0,10,PAK,371.0,0.0026954177897574125,0.16902735731768975,0.052574423268951766,0.052574423268951766
4,Afghanistan,Tajikistan,AFG,Asia,71.0,10,TJK,444.0,0.0022522522522522522,0.16404671587218408,0.043698615781802244,0.043698615781802244
5,Afghanistan,Turkmenistan,AFG,Asia,71.0,10,TKM,1035.0,0.000966183574879227,0.14404745418365533,0.017940976638927627,0.017940976638927627
6,Afghanistan,Uzbekistan,AFG,Asia,71.0,10,UZB,774.0,0.0012919896640826874,0.15034040359249984,0.02446628576425037,0.02446628576425037
7,Albania,Greece,ALB,Europe,67.0,9,GRC,475.0,0.002105263157894737,0.162250352577379,0.040754688978349995,0.040754688978349995
8,Albania,Montenegro,ALB,Europe,67.0,9,MNE,157.0,0.006369426751592357,0.1977751949761298,0.12615820515526177,0.12615820515526177
9,Albania,North Macedonia,ALB,Europe,67.0,9,MKD,172.0,0.005813953488372093,0.1942692710996454,0.11503307621054011,0.11503307621054011
10,Algeria,Libya,DZA,Africa,63.0,9,LBY,1059.0,0.0009442870632672333,0.143573361738967,0.01750242895130215,0.01750242895130215
11,Algeria,Mali,DZA,Africa,63.0,9,MLI,2888.0,0.00034626038781163435,0.12549697586779798,0.005525031806646832,0.005525031806646832
12,Algeria,Mauritania,DZA,Africa,63.0,9,MRT,2740.0,0.000364963503649635,0.126331004523769,0.005899621528858746,0.005899621528858746
13,Algeria,Morocco,DZA,Africa,63.0,9,MAR,958.0,0.0010438413361169101,0.1456696539155576,0.01949632171947932,0.01949632171947932
14,Algeria,Niger,DZA,Africa,63.0,9,NER,2561.0,0.0003904724716907458,0.1274185135045895,0.006410520212008521,0.006410520212008521
15,Algeria,Tunisia,DZA,Africa,63.0,9,TUN,643.0,0.0015552099533437014,0.15465165761780927,0.029738114046171698,0.029738114046171698
16,Algeria,Western Sahara,DZA,Africa,63.0,9,ESH,1865.0,0.0005361930294906167,0.1327842028094614,0.009329040513097228,0.009329040513097228
17,American Samoa,Niue,ASM,Oceania,999.0,142,NIU,538.0,0.0018587360594795538,0.15903665618939594,0.035817195241321195,0.035817195241321195
18,American Samoa,Samoa,ASM,Oceania,999.0,142,WSM,124.0,0.008064516129032258,0.2074567608530314,0.16010779219302532,0.16010779219302532
19,American Samoa,Wallis and Futuna,ASM,Oceania,999.0,142,WLF,600.0,0.0016666666666666668,0.15632499556792623,0.03197039125837152,0.03197039125837152
20,Angola,Congo,AGO,Africa,145.0,20,COG,510.0,0.00196078431372549,0.16040008334304492,0.03786103796471003,0.03786103796471003
21,Angola,"Congo, Democratic Republic of the",AGO,Africa,145.0,20,COD,500.0,0.002,0.1609111924940025,0.038646457525555164,0.038646457525555164
22,Angola,Namibia,AGO,Africa,145.0,20,NAM,1606.0,0.0006226650062266501,0.13547378491417814,0.011060918453929593,0.011060918453929593
23,Angola,Zambia,AGO,Africa,145.0,20,ZMB,1842.0,0.0005428881650380022,0.1330033570264869,0.009463132018843596,0.009463132018843596
24,Anguilla,Antigua and Barbuda,AIA,Americas,999.0,142,ATG,177.0,0.005649717514124294,0.19319379300543385,0.11174372546793879,0.11174372546793879
25,Anguilla,Saint Kitts and Nevis,AIA,Americas,999.0,142,WSM,107.0,0.009345794392523364,0.21400313074278354,0.18576948797433113,0.18576948797433113
26,Antigua and Barbuda,Saint Kitts and Nevis,ATG,Americas,999.0,142,WSM,14205.0,7.039774727208729e-05,0.10458774899034126,0.0,0.0
