src,trg,kmdist,Proximity_1_over_dist
USA,CAN,731,0.001367989056
USA,BHM,1623,0.0006161429452
USA,CUB,1813,0.0005515719801
USA,HAI,2286,0.0004374453193
USA,DOM,2358,0.0004240882103
USA,JAM,2315,0.0004319654428
USA,TRI,3494,0.0002862049227
USA,BAR,3330,0.0003003003003
USA,DMA,3208,0.0003117206983
USA,GRN,3332,0.000300120048
USA,SLU,3180,0.0003144654088
USA,SVG,3240,0.0003086419753
USA,AAB,2834,0.000352858151
USA,SKN,2760,0.0003623188406
USA,BLZ,2606,0.0003837298542
USA,MEX,3024,0.0003306878307
USA,GUA,2993,0.0003341129302
USA,HON,2922,0.0003422313484
USA,SAL,3024,0.0003306878307
USA,NIC,3103,0.0003222687722
USA,COS,3282,0.0003046922608
USA,PAN,3325,0.0003007518797
USA,COL,3808,0.000262605042
USA,VEN,3349,0.000298596596
USA,GUY,4009,0.0002494387628
USA,SUR,4273,0.0002340276153
USA,ECU,4314,0.0002318034307
USA,PER,5651,0.0001769598301
USA,BRA,6722,0.0001487652484
USA,BOL,6170,0.0001620745543
USA,PAR,7383,0.0001354462955
USA,CHL,8015,0.0001247660636
USA,ARG,8318,0.000120221207
USA,URU,8382,0.0001193032689
USA,UK,5932,0.0001685772084
USA,IRE,5445,0.0001836547291
USA,NTH,6198,0.0001613423685
USA,BEL,6246,0.0001601024656
USA,LUX,6381,0.0001567152484
USA,FRN,6194,0.0001614465612
USA,MNC,6752,0.0001481042654
USA,LIE,6727,0.0001486546752
USA,SWZ,6629,0.0001508523156
USA,SPN,6105,0.0001638001638
USA,AND,6383,0.0001566661444
USA,POR,5759,0.0001736412572
USA,GMY,6739,0.0001483899688
USA,GFR,6432,0.0001554726368
USA,GDR,6739,0.0001483899688
USA,POL,7197,0.0001389467834
USA,AUH,7130,0.0001402524544
USA,AUS,7130,0.0001402524544
USA,HUN,7368,0.0001357220413
USA,CZE,6905,0.0001448225923
USA,CZR,6905,0.0001448225923
USA,SLO,7183,0.0001392175971
USA,ITA,7273,0.0001374948439
USA,SNM,7104,0.0001407657658
USA,MLT,7727,0.0001294163323
USA,ALB,7777,0.000128584287
USA,SER,7635,0.0001309757695
USA,MNG,7654,0.0001306506402
USA,MAC,7833,0.000127665007
USA,CRO,7275,0.0001374570447
USA,YUG,7635,0.0001309757695
USA,BOS,7562,0.0001322401481
USA,SLV,7122,0.0001404099972
USA,GRC,8244,0.0001213003396
USA,CYP,9119,0.0001096611471
USA,BUL,7952,0.0001257545272
USA,MLD,7970,0.0001254705144
USA,RUM,8006,0.0001249063203
USA,RUS,7873,0.0001270163851
USA,EST,6981,0.0001432459533
USA,LAT,7126,0.0001403311816
USA,LIT,7320,0.0001366120219
USA,UKR,7858,0.0001272588445
USA,BLR,7500,0.0001333333333
USA,ARM,9418,0.000106179656
USA,GRG,9433,0.0001060108131
USA,AZE,9708,0.0001030078286
USA,FIN,6934,0.0001442169022
USA,SWD,6647,0.0001504438092
USA,NOR,6260,0.0001597444089
USA,DEN,6535,0.0001530221882
USA,ICE,4526,0.0002209456474
USA,CAP,5715,0.0001749781277
USA,STP,9412,0.0001062473438
USA,GNB,6761,0.0001479071143
USA,EQG,9602,0.0001041449698
USA,GAM,6540,0.0001529051988
USA,MLI,7353,0.000135998912
USA,SEN,6400,0.00015625
USA,BEN,8686,0.0001151277918
USA,MAA,6270,0.0001594896332
USA,NIR,8166,0.0001224589762
USA,CDI,7994,0.0001250938204
USA,GUI,7073,0.000141382723
USA,BFO,7917,0.0001263104711
USA,LBR,7527,0.0001328550551
USA,SIE,7172,0.000139431121
USA,GHA,8540,0.0001170960187
