"name","region","selected","shared name","weeks_since_100_cases"
"BHR","Asia","false","BHR","7"
"IND","Asia","false","IND","8"
"BGD","Asia","false","BGD","11"
"ETH","Africa","false","ETH","13"
"HKG","","false","HKG","142"
"EGY","Africa","false","EGY","8"
"KWT","Asia","false","KWT","8"
"IRN","Asia","false","IRN","5"
"OMN","Asia","false","OMN","9"
"PAK","","false","PAK","8"
"RUS","Europe","false","RUS","8"
"TJK","Asia","false","TJK","15"
"DZA","Africa","false","DZA","9"
"TUR","","false","TUR","8"
"AUT","Europe","false","AUT","7"
"AZE","Asia","false","AZE","9"
"BIH","Europe","false","BIH","9"
"CYP","Asia","false","CYP","9"
"FRA","Europe","false","FRA","6"
"GEO","Asia","false","GEO","10"
"DEU","Europe","false","DEU","6"
"NLD","","false","NLD","7"
"ARE","","false","ARE","8"
"JOR","Asia","false","JOR","9"
"KEN","Africa","false","KEN","10"
"LBN","","false","LBN","8"
"MDV","Asia","false","MDV","13"
"NPL","","false","NPL","15"
"QAT","Asia","false","QAT","7"
"SAU","Asia","false","SAU","8"
"SDN","","false","SDN","13"
"THA","","false","THA","8"
"UKR","","false","UKR","9"
"BLR","Europe","false","BLR","10"
"BEL","Europe","false","BEL","6"
"BGR","Europe","false","BGR","8"
"CAN","Americas","false","CAN","7"
"CPV","Africa","false","CPV","14"
"HRV","Europe","false","HRV","8"
"CZE","Europe","false","CZE","7"
"DNK","Europe","false","DNK","7"
"FIN","Europe","false","FIN","7"
"GRC","Europe","false","GRC","7"
"ALB","Europe","false","ALB","9"
"ITA","Europe","false","ITA","5"
"HUN","Europe","false","HUN","9"
"IRL","Europe","false","IRL","8"
"ISR","Asia","false","ISR","8"
"GBR","","false","GBR","6"
"BRB","Americas","false","BRB","25"
"ISL","Europe","false","ISL","7"
"JEY","Europe","false","JEY","11"
"LVA","Europe","false","LVA","9"
"LTU","Europe","false","LTU","9"
"MLT","Europe","false","MLT","9"
"MAR","Africa","false","MAR","9"
"NGA","","false","NGA","10"
"NOR","Europe","false","NOR","7"
"POL","Europe","false","POL","8"
"PRT","Europe","false","PRT","8"
"ESP","","false","ESP","6"
"SWE","","false","SWE","7"
"TUN","","false","TUN","9"
"MMR","Asia","false","MMR","13"
"CHN","Asia","false","CHN","0"
"BEN","Africa","false","BEN","15"
"CIV","Africa","false","CIV","10"
"BFA","Africa","false","BFA","9"
"LBY","Africa","false","LBY","18"
"NER","Africa","false","NER","11"
"AGO","Africa","false","AGO","20"
"BRA","Americas","false","BRA","8"
"LUX","","false","LUX","8"
"ARM","Asia","false","ARM","8"
"KAZ","Asia","false","KAZ","9"
"KGZ","Asia","false","KGZ","10"
"MDA","Europe","false","MDA","9"
"MNE","Europe","false","MNE","10"
"GHA","Africa","false","GHA","9"
"SEN","","false","SEN","9"
"GIN","Africa","false","GIN","11"
"MLI","Africa","false","MLI","12"
"ROU","Europe","false","ROU","8"
"CHE","","false","CHE","7"
"ATG","Americas","false","ATG","142"
"USA","","false","USA","6"
"ARG","Americas","false","ARG","8"
"ABW","Americas","false","ABW","15"
"AUS","Oceania","false","AUS","7"
"BHS","Americas","false","BHS","18"
"BLZ","Americas","false","BLZ","142"
"CYM","Americas","false","CYM","17"
"CHL","Americas","false","CHL","8"
"COL","Americas","false","COL","8"
"CRI","Americas","false","CRI","9"
"DOM","Americas","false","DOM","9"
"ECU","Americas","false","ECU","8"
"SLV","Americas","false","SLV","11"
"FJI","Oceania","false","FJI","142"
"GTM","Americas","false","GTM","11"
"GUY","Americas","false","GUY","16"
"HND","Americas","false","HND","10"
"JAM","Americas","false","JAM","12"
"JPN","Asia","false","JPN","5"
"MEX","Americas","false","MEX","8"
"NZL","Oceania","false","NZL","9"
"PAN","","false","PAN","8"
"PER","","false","PER","8"
"PRI","","false","PRI","10"
"KOR","","false","KOR","4"
"TTO","Americas","false","TTO","11"
"COG","Africa","false","COG","12"
"CUB","Americas","false","CUB","10"
"COD","Africa","false","COD","10"
"NAM","Africa","false","NAM","23"
"ZAF","Africa","false","ZAF","8"
"BWA","Africa","false","BWA","23"
"MOZ","Africa","false","MOZ","16"
"BOL","Americas","false","BOL","10"
"URY","","false","URY","9"
"VEN","Americas","false","VEN","9"
"IDN","Asia","false","IDN","8"
"GUM","Oceania","false","GUM","11"
"BRN","Asia","false","BRN","9"
"MYS","Asia","false","MYS","7"
"SGP","Asia","false","SGP","6"
"PHL","Asia","false","PHL","8"
"TWN","Asia","false","TWN","8"
"LAO","Asia","false","LAO","142"
"VNM","","false","VNM","9"
"EST","Europe","false","EST","8"
"SRB","","false","SRB","8"
"MKD","Europe","false","MKD","9"
"UZB","","false","UZB","10"
"LKA","Asia","false","LKA","9"
"RWA","Africa","false","RWA","11"
"SLE","","false","SLE","14"
"LBR","Africa","false","LBR","13"
"GAB","","false","GAB","13"
"ZMB","Africa","false","ZMB","14"
"MWI","Africa","false","MWI","18"
"UGA","","false","UGA","15"
"TZA","Africa","false","TZA","13"
"MAC","","false","MAC","142"
"COM","Africa","false","COM","19"
"MYT","Africa","false","MYT","142"
"MUS","Africa","false","MUS","10"
"REU","Africa","false","REU","142"
"SOM","","false","SOM","13"
