,src,trg,nij,score
6,Georgia,Azerbaijan,0.11090398820673722,0.8620537702629286
12,Kazakhstan,Azerbaijan,0.22180797641347444,0.8873647276547203
15,Russian Federation,Azerbaijan,0.4871255196561021,0.7407825854569045
17,Turkmenistan,Azerbaijan,0.11090398820673722,0.9540064484026769
22,Afghanistan,India,0.3113468571680022,0.8762606921563459
26,Bangladesh,India,0.3975866389015743,0.79646045931703
28,Bhutan,India,0.17577866248809984,0.9683695298102313
46,Maldives,India,0.25751108605227985,0.8463755637480638
47,Mauritius,India,0.28668265069483706,0.849639469040944
48,Nepal,India,0.33271196462021163,0.8643372313351887
50,Oman,India,0.4945687516421019,0.7981549879758111
59,Sri Lanka,India,0.4945687516421019,0.8113494002716258
71,Afghanistan,Iran (Islamic Republic of),0.25751108605227985,0.9385021984406889
84,Kuwait,Iran (Islamic Republic of),0.3684150742590171,0.8538220468226635
81,Iraq,Iran (Islamic Republic of),0.22180797641347444,0.8498352081236373
94,Tajikistan,Iran (Islamic Republic of),0.17577866248809984,0.8794245608921956
198,Iraq,Turkey,0.4332897485403797,0.7274132465835231
169,Bosnia and Herzegovina,Turkey,0.22180797641347444,0.8730196480448429
255,Afghanistan,United Arab Emirates,0.3113468571680022,0.7902405689051364
343,Yemen,United Arab Emirates,0.3975866389015743,0.7483179002268263
319,Seychelles,United Arab Emirates,0.22180797641347444,0.8919712990963171
327,Sudan,United Arab Emirates,0.3684150742590171,0.8143388060188197
415,Bosnia and Herzegovina,Germany,0.22180797641347444,0.8009621694924889
457,North Macedonia,Germany,0.25751108605227985,0.7735257832807092
544,Albania,Italy,0.5273359874642995,0.9044476378724875
592,"Moldova, Republic of",Italy,0.3975866389015743,0.8493649138212009
633,Montenegro,Slovenia,0.11090398820673722,0.9526583531703735
658,Cabo Verde,United Kingdom of Great Britain and Northern Ireland,0.3515573249761997,0.7323459356993663
687,Jersey,United Kingdom of Great Britain and Northern Ireland,0.5150221721045597,0.859624954744646
722,Slovakia,United Kingdom of Great Britain and Northern Ireland,0.28668265069483706,0.7648754103520451
651,Barbados,United Kingdom of Great Britain and Northern Ireland,0.25751108605227985,0.8421252964228584
673,Gibraltar,United Kingdom of Great Britain and Northern Ireland,0.28668265069483706,0.9220527020628914
675,Guernsey,United Kingdom of Great Britain and Northern Ireland,0.3836647634353647,0.9220527020628914
682,Isle of Man,United Kingdom of Great Britain and Northern Ireland,0.3684150742590171,0.9220527020628914
793,Uganda,Belgium,0.22180797641347444,0.8370047152197868
743,Burkina Faso,Belgium,0.22180797641347444,0.8384261200460106
744,Cameroon,Belgium,0.3515573249761997,0.7837532794069426
747,"Congo, Democratic Republic of the",Belgium,0.22180797641347444,0.8228453860677067
768,Liberia,Belgium,0.17577866248809984,0.866279648035695
790,Togo,Belgium,0.17577866248809984,0.8686853840208208
826,Cuba,Canada,0.5387694669921819,0.857250046817141
828,Dominican Republic,Canada,0.4533159307415043,0.7654535080945511
847,Mexico,Canada,0.5441937367471169,0.7503290385221553
817,Barbados,Canada,0.11090398820673722,0.8577886232026516
819,Bermuda,Canada,0.11090398820673722,0.8430317173358697
843,Jamaica,Canada,0.3975866389015743,0.8920404738306111
816,Bahamas,Canada,0.17577866248809984,0.8413299823103464
834,Grenada,Canada,0.11090398820673722,0.8664959310115904
836,Guyana,Canada,0.11090398820673722,0.9394870200674581
860,Saint Pierre and Miquelon,Canada,0.17577866248809984,0.9692787514596224
868,Turks and Caicos Islands,Canada,0.17577866248809984,0.8183875733443067
