	src	trg	nij	score
0	AFG	AZE	0.09991578476113627	0.9760765550239234
1	AUT	AZE	0.19983156952227255	0.9904306220095693
2	AFG	IND	0.3804148549015604	0.07177033492822966
6	BGD	IND	0.4581101263599362	0.07177033492822966
7	BEL	IND	0.3167255441530548	0.2679425837320574
10	CHN	IND	0.3581943415987999	0.08133971291866028
12	ETH	IND	0.2997473542834088	0.3923444976076555
15	DEU	IND	0.4696481231604815	0.36363636363636365
16	HKG	IND	0.4696481231604815	0.09090909090909091
25	DEU	IRN	0.3319130525207372	0.861244019138756
29	BGD	KWT	0.2319972677596009	0.07177033492822966
30	EGY	KWT	0.4995789238056814	0.09090909090909091
31	ETH	KWT	0.2319972677596009	0.4019138755980861
33	IND	KWT	0.41664132891419103	0.507177033492823
34	IRN	KWT	0.4318288372818735	0.07655502392344497
36	ITA	KWT	0.19983156952227255	0.09569377990430622
37	JOR	KWT	0.25827855683766365	0.07177033492822966
41	CAN	PAK	0.25827855683766365	0.19617224880382775
45	IND	PAK	0.25827855683766365	0.20574162679425836
48	KWT	PAK	0.3581943415987999	0.16267942583732056
51	NOR	PAK	0.09991578476113627	0.1674641148325359
59	RUS	TJK	0.7153841634029786	0.9138755980861244
60	AFG	TUR	0.2319972677596009	0.07177033492822966
62	DZA	TUR	0.3581943415987999	0.07177033492822966
63	AUT	TUR	0.5243507958752744	0.07177033492822966
68	BEL	TUR	0.3996631390445452	0.09569377990430622
69	BIH	TUR	0.2997473542834088	0.07177033492822966
74	CHN	TUR	0.3804148549015604	0.0861244019138756
77	CYP	TUR	0.4803306396626967	0.07177033492822966
79	DNK	TUR	0.4318288372818735	0.07177033492822966
81	EGY	TUR	0.3996631390445452	0.07177033492822966
84	FIN	TUR	0.3319130525207372	0.07177033492822966
86	GEO	TUR	0.3319130525207372	0.07177033492822966
87	DEU	TUR	0.7993262780890903	0.22009569377990432
89	GRC	TUR	0.3581943415987999	0.07177033492822966
92	IND	TUR	0.2997473542834088	0.07655502392344497
93	IRN	TUR	0.4803306396626967	0.07177033492822966
97	ITA	TUR	0.4581101263599362	0.08133971291866028
98	JPN	TUR	0.2997473542834088	0.07655502392344497
99	JOR	TUR	0.25827855683766365	0.07177033492822966
100	KAZ	TUR	0.3804148549015604	0.07177033492822966
102	KWT	TUR	0.3581943415987999	0.07177033492822966
105	LBN	TUR	0.25827855683766365	0.07177033492822966
108	LUX	TUR	0.25827855683766365	0.07177033492822966
112	MLT	TUR	0.2997473542834088	0.07177033492822966
117	NLD	TUR	0.5518910275161935	0.10047846889952153
119	NOR	TUR	0.3804148549015604	0.09090909090909091
124	QAT	TUR	0.2997473542834088	0.07655502392344497
127	RWA	TUR	0.15836277207652738	0.07177033492822966
128	SAU	TUR	0.5243507958752744	0.1339712918660287
131	SVN	TUR	0.19983156952227255	0.07177033492822966
133	KOR	TUR	0.25827855683766365	0.09090909090909091
134	ESP	TUR	0.3804148549015604	0.19617224880382775
135	SDN	TUR	0.09991578476113627	0.07177033492822966
136	SWE	TUR	0.3581943415987999	0.07177033492822966
137	CHE	TUR	0.4455676097647697	0.12440191387559808
138	TJK	TUR	0.25827855683766365	0.07177033492822966
139	TZA	TUR	0.15836277207652738	0.07655502392344497
140	THA	TUR	0.19983156952227255	0.09090909090909091
142	AFG	ARE	0.3804148549015604	0.07177033492822966
144	AGO	ARE	0.19983156952227255	0.07177033492822966
146	AUS	ARE	0.4995789238056814	0.07177033492822966
149	BHR	ARE	0.4950024122130306	0.07177033492822966
150	BGD	ARE	0.4244350111141381	0.07177033492822966
153	BRA	ARE	0.25827855683766365	0.08133971291866028
157	CHN	ARE	0.4902758245972646	0.08133971291866028
161	DJI	ARE	0.2319972677596009	0.07177033492822966
162	EGY	ARE	0.4455676097647697	0.07177033492822966
163	ETH	ARE	0.25827855683766365	0.07655502392344497
164	FRA	ARE	0.3804148549015604	0.11961722488038277
166	DEU	ARE	0.5518910275161935	0.24401913875598086
169	HKG	ARE	0.3167255441530548	0.07655502392344497
171	IND	ARE	0.7333668730672457	0.07655502392344497
172	IDN	ARE	0.3319130525207372	0.07177033492822966
173	IRN	ARE	0.5487228119126556	0.07177033492822966
174	IRQ	ARE	0.4902758245972646	0.07177033492822966
175	IRL	ARE	0.2997473542834088	0.07177033492822966
176	ITA	ARE	0.3996631390445452	0.08133971291866028
177	JPN	ARE	0.3996631390445452	0.07655502392344497
178	JOR	ARE	0.41664132891419103	0.07177033492822966
179	KAZ	ARE	0.3804148549015604	0.07177033492822966
180	KEN	ARE	0.41664132891419103	0.0861244019138756
181	KWT	ARE	0.4519752427550571	0.07177033492822966
183	LBN	ARE	0.3581943415987999	0.07177033492822966
186	MYS	ARE	0.39036003983612827	0.07655502392344497
187	MDV	ARE	0.2997473542834088	0.07177033492822966
188	MUS	ARE	0.19983156952227255	0.07177033492822966
190	MAR	ARE	0.2997473542834088	0.07655502392344497
191	NPL	ARE	0.2997473542834088	0.07177033492822966
192	NLD	ARE	0.4318288372818735	0.09090909090909091
193	NGA	ARE	0.19983156952227255	0.09090909090909091
194	OMN	ARE	0.5353040129400147	0.07177033492822966
195	PAK	ARE	0.666680614303175	0.07177033492822966
196	PHL	ARE	0.3804148549015604	0.08133971291866028
199	QAT	ARE	0.43886184221695146	0.07177033492822966
200	ROU	ARE	0.25827855683766365	0.07177033492822966
201	RUS	ARE	0.6204224059644955	0.17703349282296652
203	SAU	ARE	0.6533651842895579	0.07655502392344497
205	SRB	ARE	0.25827855683766365	0.07177033492822966
206	SYC	ARE	0.2997473542834088	0.07177033492822966
207	SGP	ARE	0.4455676097647697	0.0861244019138756
208	SOM	ARE	0.2804990701404241	0.07177033492822966
209	ZAF	ARE	0.4318288372818735	0.1291866028708134
210	KOR	ARE	0.3319130525207372	0.0861244019138756
213	LKA	ARE	0.4581101263599362	0.07177033492822966
214	SDN	ARE	0.4318288372818735	0.07655502392344497
215	SWE	ARE	0.19983156952227255	0.07177033492822966
216	CHE	ARE	0.3804148549015604	0.16267942583732056
218	TJK	ARE	0.25827855683766365	0.07177033492822966
220	THA	ARE	0.41664132891419103	0.08133971291866028
221	TUN	ARE	0.19983156952227255	0.07177033492822966
222	TUR	ARE	0.3996631390445452	0.09569377990430622
223	TKM	ARE	0.19983156952227255	0.07177033492822966
225	UKR	ARE	0.4318288372818735	0.07177033492822966
227	DZA	AUT	0.09991578476113627	0.9856459330143541
229	ALB	DEU	0.19983156952227255	0.07177033492822966
233	AUT	DEU	0.7060138466567705	0.07177033492822966
237	BEL	DEU	0.4902758245972646	0.4019138755980861
238	BIH	DEU	0.2997473542834088	0.07177033492822966
241	CAN	DEU	0.5243507958752744	0.09090909090909091
243	CHN	DEU	0.5243507958752744	0.09569377990430622
244	COL	DEU	0.19983156952227255	0.07177033492822966
245	HRV	DEU	0.6801622091849692	0.07177033492822966
246	CUB	DEU	0.2997473542834088	0.07655502392344497
247	CYP	DEU	0.3996631390445452	0.07177033492822966
249	DNK	DEU	0.5723096672670466	0.07177033492822966
250	DOM	DEU	0.3804148549015604	0.2535885167464115
251	EGY	DEU	0.5165571136753273	0.07655502392344497
252	EST	DEU	0.19983156952227255	0.07177033492822966
253	ETH	DEU	0.19983156952227255	0.24401913875598086
254	FIN	DEU	0.5243507958752744	0.07177033492822966
256	GEO	DEU	0.09991578476113627	0.07177033492822966
260	BEL	GRC	0.5243507958752744	0.3444976076555024
266	DNK	GRC	0.3804148549015604	0.07177033492822966
270	FRA	GRC	0.5949181969741668	0.07177033492822966
272	DEU	GRC	0.8410763400283291	0.47368421052631576
273	ALB	ITA	0.5750041009907184	0.07177033492822966
277	AUT	ITA	0.580246424423833	0.07177033492822966
281	BEL	ITA	0.6470279876589332	0.37799043062200954
285	CAN	ITA	0.3996631390445452	0.09090909090909091
