	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
0	Afghanistan	Azerbaijan	1	0	0	AFG	AZE
1	Austria	Azerbaijan	2	0.6931471806	0.1109039882	AUT	AZE
2	Belarus	Azerbaijan	1	0	0	BLR	AZE
3	China	Azerbaijan	2	0.6931471806	0.1109039882	CHN	AZE
4	Czechia	Azerbaijan	2	0.6931471806	0.1109039882	CZE	AZE
5	France	Azerbaijan	2	0.6931471806	0.1109039882	FRA	AZE
6	Georgia	Azerbaijan	2	0.6931471806	0.1109039882	GEO	AZE
7	Germany	Azerbaijan	3	1.098612289	0.1757786625	DEU	AZE
8	Hungary	Azerbaijan	1	0	0	HUN	AZE
9	Iran (Islamic Republic of)	Azerbaijan	3	1.098612289	0.1757786625	IRN	AZE
10	Israel	Azerbaijan	1	0	0	ISR	AZE
11	Italy	Azerbaijan	4	1.386294361	0.2218079764	ITA	AZE
12	Kazakhstan	Azerbaijan	4	1.386294361	0.2218079764	KAZ	AZE
13	Latvia	Azerbaijan	2	0.6931471806	0.1109039882	LVA	AZE
14	Qatar	Azerbaijan	2	0.6931471806	0.1109039882	QAT	AZE
15	Russian Federation	Azerbaijan	21	3.044522438	0.4871255197	RUS	AZE
16	Turkey	Azerbaijan	7	1.945910149	0.3113468572	TUR	AZE
17	Turkmenistan	Azerbaijan	2	0.6931471806	0.1109039882	TKM	AZE
18	Ukraine	Azerbaijan	3	1.098612289	0.1757786625	UKR	AZE
19	United Arab Emirates	Azerbaijan	2	0.6931471806	0.1109039882	ARE	AZE
20	United Kingdom of Great Britain and Northern Ireland	Azerbaijan	2	0.6931471806	0.1109039882	GBR	AZE
21	Uzbekistan	Azerbaijan	1	0	0	UZB	AZE
22	Afghanistan	India	7	1.945910149	0.3113468572	AFG	IND
23	Australia	India	2	0.6931471806	0.1109039882	AUS	IND
24	Austria	India	2	0.6931471806	0.1109039882	AUT	IND
25	Bahrain	India	7	1.945910149	0.3113468572	BHR	IND
26	Bangladesh	India	12	2.48490665	0.3975866389	BGD	IND
27	Belgium	India	4	1.386294361	0.2218079764	BEL	IND
28	Bhutan	India	3	1.098612289	0.1757786625	BTN	IND
29	Myanmar	India	1	0	0	MMR	IND
30	China	India	6	1.791759469	0.2866826507	CHN	IND
31	Egypt	India	2	0.6931471806	0.1109039882	EGY	IND
32	Ethiopia	India	4	1.386294361	0.2218079764	ETH	IND
33	Finland	India	1	0	0	FIN	IND
34	France	India	4	1.386294361	0.2218079764	FRA	IND
35	Germany	India	14	2.63905733	0.4222508454	DEU	IND
36	Hong Kong	India	13	2.564949357	0.4103935229	HKG	IND
37	Iran (Islamic Republic of)	India	2	0.6931471806	0.1109039882	IRN	IND
38	Israel	India	1	0	0	ISR	IND
39	Italy	India	2	0.6931471806	0.1109039882	ITA	IND
40	Japan	India	5	1.609437912	0.2575110861	JPN	IND
41	Jordan	India	2	0.6931471806	0.1109039882	JOR	IND
42	Kazakhstan	India	1	0	0	KAZ	IND
43	Kenya	India	3	1.098612289	0.1757786625	KEN	IND
44	Kuwait	India	9	2.197224577	0.351557325	KWT	IND
45	Malaysia	India	20	2.995732274	0.4793190625	MYS	IND
46	Maldives	India	5	1.609437912	0.2575110861	MDV	IND
47	Mauritius	India	6	1.791759469	0.2866826507	MUS	IND
48	Nepal	India	8	2.079441542	0.3327119646	NPL	IND
49	Netherlands	India	3	1.098612289	0.1757786625	NLD	IND
50	Oman	India	22	3.091042453	0.4945687516	OMN	IND
51	Pakistan	India	3	1.098612289	0.1757786625	PAK	IND
52	Qatar	India	16	2.772588722	0.4436159528	QAT	IND
53	Réunion	India	1	0	0	REU	IND
54	Russian Federation	India	2	0.6931471806	0.1109039882	RUS	IND
55	Saudi Arabia	India	35	3.555348061	0.5688579432	SAU	IND
56	Singapore	India	34	3.526360525	0.5642199189	SGP	IND
57	South Africa	India	3	1.098612289	0.1757786625	ZAF	IND
58	Korea, Republic of	India	3	1.098612289	0.1757786625	KOR	IND
59	Sri Lanka	India	22	3.091042453	0.4945687516	LKA	IND
60	Switzerland	India	4	1.386294361	0.2218079764	CHE	IND
61	Taiwan	India	2	0.6931471806	0.1109039882	TWN	IND
62	Tajikistan	India	1	0	0	TJK	IND
63	Thailand	India	17	2.833213344	0.4533159307	THA	IND
64	Turkey	India	4	1.386294361	0.2218079764	TUR	IND
65	Turkmenistan	India	2	0.6931471806	0.1109039882	TKM	IND
66	United Arab Emirates	India	81	4.394449155	0.70311465	ARE	IND
67	United Kingdom of Great Britain and Northern Ireland	India	15	2.708050201	0.4332897485	GBR	IND
68	United States of America	India	5	1.609437912	0.2575110861	USA	IND
69	Uzbekistan	India	2	0.6931471806	0.1109039882	UZB	IND
70	Yemen	India	1	0	0	YEM	IND
71	Afghanistan	Iran (Islamic Republic of)	5	1.609437912	0.2575110861	AFG	IRN
72	Armenia	Iran (Islamic Republic of)	1	0	0	ARM	IRN
73	Austria	Iran (Islamic Republic of)	2	0.6931471806	0.1109039882	AUT	IRN
74	Azerbaijan	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	AZE	IRN
75	Bahrain	Iran (Islamic Republic of)	3	1.098612289	0.1757786625	BHR	IRN
