	src	trg	weighted	log-weight	norm-log-weight	iso_code_src	iso_code_trg
0	Afghanistan	Azerbaijan	2	0.6931471806	0.09991578476	AFG	AZE
1	Austria	Azerbaijan	4	1.386294361	0.1998315695	AUT	AZE
2	Afghanistan	India	14	2.63905733	0.3804148549	AFG	IND
3	Australia	India	4	1.386294361	0.1998315695	AUS	IND
4	Austria	India	4	1.386294361	0.1998315695	AUT	IND
5	Bahrain	India	15	2.708050201	0.3903600398	BHR	IND
6	Bangladesh	India	24	3.17805383	0.4581101264	BGD	IND
7	Belgium	India	9	2.197224577	0.3167255442	BEL	IND
8	Bhutan	India	6	1.791759469	0.2582785568	BTN	IND
9	Myanmar	India	2	0.6931471806	0.09991578476	MMR	IND
10	China	India	12	2.48490665	0.3581943416	CHN	IND
11	Egypt	India	4	1.386294361	0.1998315695	EGY	IND
12	Ethiopia	India	8	2.079441542	0.2997473543	ETH	IND
13	Finland	India	2	0.6931471806	0.09991578476	FIN	IND
14	France	India	8	2.079441542	0.2997473543	FRA	IND
15	Germany	India	26	3.258096538	0.4696481232	DEU	IND
16	Hong Kong	India	26	3.258096538	0.4696481232	HKG	IND
17	Afghanistan	Iran (Islamic Republic of)	10	2.302585093	0.3319130525	AFG	IRN
18	Armenia	Iran (Islamic Republic of)	2	0.6931471806	0.09991578476	ARM	IRN
19	Austria	Iran (Islamic Republic of)	4	1.386294361	0.1998315695	AUT	IRN
20	Azerbaijan	Iran (Islamic Republic of)	6	1.791759469	0.2582785568	AZE	IRN
21	Bahrain	Iran (Islamic Republic of)	6	1.791759469	0.2582785568	BHR	IRN
22	Belarus	Iran (Islamic Republic of)	2	0.6931471806	0.09991578476	BLR	IRN
23	China	Iran (Islamic Republic of)	8	2.079441542	0.2997473543	CHN	IRN
24	France	Iran (Islamic Republic of)	2	0.6931471806	0.09991578476	FRA	IRN
25	Germany	Iran (Islamic Republic of)	10	2.302585093	0.3319130525	DEU	IRN
26	India	Iran (Islamic Republic of)	4	1.386294361	0.1998315695	IND	IRN
27	Afghanistan	Kuwait	2	0.6931471806	0.09991578476	AFG	KWT
28	Bahrain	Kuwait	8	2.079441542	0.2997473543	BHR	KWT
29	Bangladesh	Kuwait	5	1.609437912	0.2319972678	BGD	KWT
30	Egypt	Kuwait	32	3.465735903	0.4995789238	EGY	KWT
31	Ethiopia	Kuwait	5	1.609437912	0.2319972678	ETH	KWT
32	Germany	Kuwait	4	1.386294361	0.1998315695	DEU	KWT
33	India	Kuwait	18	2.890371758	0.4166413289	IND	KWT
34	Iran (Islamic Republic of)	Kuwait	20	2.995732274	0.4318288373	IRN	KWT
35	Iraq	Kuwait	4	1.386294361	0.1998315695	IRQ	KWT
36	Italy	Kuwait	4	1.386294361	0.1998315695	ITA	KWT
37	Jordan	Kuwait	6	1.791759469	0.2582785568	JOR	KWT
38	Afghanistan	Pakistan	8	2.079441542	0.2997473543	AFG	PAK
39	Bahrain	Pakistan	12	2.48490665	0.3581943416	BHR	PAK
40	Bangladesh	Pakistan	2	0.6931471806	0.09991578476	BGD	PAK
41	Canada	Pakistan	6	1.791759469	0.2582785568	CAN	PAK
42	China	Pakistan	8	2.079441542	0.2997473543	CHN	PAK
43	Denmark	Pakistan	2	0.6931471806	0.09991578476	DNK	PAK
44	France	Pakistan	3	1.098612289	0.1583627721	FRA	PAK
45	India	Pakistan	6	1.791759469	0.2582785568	IND	PAK
46	Iran (Islamic Republic of)	Pakistan	6	1.791759469	0.2582785568	IRN	PAK
47	Italy	Pakistan	3	1.098612289	0.1583627721	ITA	PAK
48	Kuwait	Pakistan	12	2.48490665	0.3581943416	KWT	PAK
49	Malaysia	Pakistan	6	1.791759469	0.2582785568	MYS	PAK
50	Nepal	Pakistan	2	0.6931471806	0.09991578476	NPL	PAK
51	Norway	Pakistan	2	0.6931471806	0.09991578476	NOR	PAK
52	Oman	Pakistan	27	3.295836866	0.4750883162	OMN	PAK
55	China	Tajikistan	8	2.079441542	0.2997473543	CHN	TJK
56	Germany	Tajikistan	2	0.6931471806	0.09991578476	DEU	TJK
57	India	Tajikistan	2	0.6931471806	0.09991578476	IND	TJK
58	Iran (Islamic Republic of)	Tajikistan	6	1.791759469	0.2582785568	IRN	TJK
59	Kazakhstan	Tajikistan	7	1.945910149	0.2804990701	KAZ	TJK
60	Kyrgyzstan	Tajikistan	4	1.386294361	0.1998315695	KGZ	TJK
61	Russian Federation	Tajikistan	143	4.96284463	0.7153841634	RUS	TJK
62	Afghanistan	Turkey	5	1.609437912	0.2319972678	AFG	TUR
63	Albania	Turkey	4	1.386294361	0.1998315695	ALB	TUR
64	Algeria	Turkey	12	2.48490665	0.3581943416	DZA	TUR
65	Austria	Turkey	38	3.63758616	0.5243507959	AUT	TUR
66	Azerbaijan	Turkey	13	2.564949357	0.3697323384	AZE	TUR
67	Bahrain	Turkey	4	1.386294361	0.1998315695	BHR	TUR
68	Bangladesh	Turkey	2	0.6931471806	0.09991578476	BGD	TUR
69	Belarus	Turkey	4	1.386294361	0.1998315695	BLR	TUR
70	Belgium	Turkey	16	2.772588722	0.399663139	BEL	TUR
71	Bosnia and Herzegovina	Turkey	8	2.079441542	0.2997473543	BIH	TUR
72	Brazil	Turkey	2	0.6931471806	0.09991578476	BRA	TUR
73	Bulgaria	Turkey	2	0.6931471806	0.09991578476	BGR	TUR
75	Cameroon	Turkey	3	1.098612289	0.1583627721	CMR	TUR
76	Canada	Turkey	4	1.386294361	0.1998315695	CAN	TUR
78	China	Turkey	14	2.63905733	0.3804148549	CHN	TUR
79	Congo, Democratic Republic of the	Turkey	2	0.6931471806	0.09991578476	COD	TUR
81	Croatia	Turkey	4	1.386294361	0.1998315695	HRV	TUR
82	Cyprus	Turkey	28	3.33220451	0.4803306397	CYP	TUR
83	Czechia	Turkey	4	1.386294361	0.1998315695	CZE	TUR
84	Denmark	Turkey	20	2.995732274	0.4318288373	DNK	TUR
85	Djibouti	Turkey	2	0.6931471806	0.09991578476	DJI	TUR
86	Egypt	Turkey	16	2.772588722	0.399663139	EGY	TUR
87	Estonia	Turkey	2	0.6931471806	0.09991578476	EST	TUR
88	Ethiopia	Turkey	2	0.6931471806	0.09991578476	ETH	TUR
89	Finland	Turkey	10	2.302585093	0.3319130525	FIN	TUR
90	France	Turkey	52	3.951243719	0.5695639079	FRA	TUR
92	Georgia	Turkey	10	2.302585093	0.3319130525	GEO	TUR
93	Germany	Turkey	256	5.545177444	0.7993262781	DEU	TUR
94	Ghana	Turkey	2	0.6931471806	0.09991578476	GHA	TUR
95	Greece	Turkey	12	2.48490665	0.3581943416	GRC	TUR
96	Hong Kong	Turkey	2	0.6931471806	0.09991578476	HKG	TUR
97	Hungary	Turkey	4	1.386294361	0.1998315695	HUN	TUR
98	India	Turkey	8	2.079441542	0.2997473543	IND	TUR
99	Iran (Islamic Republic of)	Turkey	28	3.33220451	0.4803306397	IRN	TUR
100	Iraq	Turkey	30	3.401197382	0.4902758246	IRQ	TUR
101	Ireland	Turkey	4	1.386294361	0.1998315695	IRL	TUR
102	Israel	Turkey	6	1.791759469	0.2582785568	ISR	TUR
103	Italy	Turkey	24	3.17805383	0.4581101264	ITA	TUR
104	Japan	Turkey	8	2.079441542	0.2997473543	JPN	TUR
105	Jordan	Turkey	6	1.791759469	0.2582785568	JOR	TUR
106	Kazakhstan	Turkey	14	2.63905733	0.3804148549	KAZ	TUR
107	Kenya	Turkey	5	1.609437912	0.2319972678	KEN	TUR
108	Kuwait	Turkey	12	2.48490665	0.3581943416	KWT	TUR
109	Kyrgyzstan	Turkey	10	2.302585093	0.3319130525	KGZ	TUR
110	Latvia	Turkey	4	1.386294361	0.1998315695	LVA	TUR
111	Lebanon	Turkey	6	1.791759469	0.2582785568	LBN	TUR
112	Libya	Turkey	12	2.48490665	0.3581943416	LBY	TUR
113	Lithuania	Turkey	2	0.6931471806	0.09991578476	LTU	TUR
