interaction,name
interacts with,AntiguaandBarbuda (interacts with) SaintKittsandNevis
interacts with,SaintPierreandMiquelon (interacts with) Canada
interacts with,SaintLucia (interacts with) Barbados
interacts with,Barbados (interacts with) Grenada
interacts with,Martinique (interacts with) SaintLucia
interacts with,Anguilla (interacts with) AntiguaandBarbuda
interacts with,Anguilla (interacts with) SaintKittsandNevis
interacts with,Nauru (interacts with) MarshallIslands
interacts with,Nauru (interacts with) Micronesia
interacts with,Nauru (interacts with) SolomonIslands
interacts with,Montserrat (interacts with) Guadeloupe
interacts with,Montserrat (interacts with) AntiguaandBarbuda
interacts with,Montserrat (interacts with) SaintKittsandNevis
interacts with,UnitedStatesVirginIslands (interacts with) Anguilla
interacts with,UnitedStatesVirginIslands (interacts with) BritishVirginIslands
interacts with,UnitedStatesVirginIslands (interacts with) PuertoRico
interacts with,CaymanIslands (interacts with) Jamaica
interacts with,Jamaica (interacts with) Haiti
interacts with,Jamaica (interacts with) Cuba
interacts with,SãoToméandPríncipe (interacts with) EquatorialGuinea
interacts with,SãoToméandPríncipe (interacts with) Gabon
interacts with,BritishVirginIslands (interacts with) Anguilla
interacts with,BritishVirginIslands (interacts with) PuertoRico
interacts with,TurksandCaicosIslands (interacts with) Cuba
interacts with,TurksandCaicosIslands (interacts with) Haiti
interacts with,PuertoRico (interacts with) DominicanRepublic
interacts with,Bahamas (interacts with) TurksandCaicosIslands
interacts with,Bahamas (interacts with) Cuba
interacts with,Bahamas (interacts with) UnitedStates
interacts with,Cuba (interacts with) CaymanIslands
interacts with,Cuba (interacts with) Mexico
interacts with,Cuba (interacts with) UnitedStates
interacts with,Bermuda (interacts with) UnitedStates
interacts with,Zimbabwe (interacts with) Zambia
interacts with,Zimbabwe (interacts with) SouthAfrica
interacts with,Zimbabwe (interacts with) Mozambique
interacts with,Zimbabwe (interacts with) Botswana
interacts with,Zambia (interacts with) Zimbabwe
interacts with,Zambia (interacts with) Tanzania
interacts with,Zambia (interacts with) Namibia
