"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2000","2000",892513.98,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2001","2001",901779.23,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2002","2002",910039.69,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2003","2003",951504.04,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2004","2004",977124.79,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2005","2005",1061753.22,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2006","2006",1075870.57,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2007","2007",1101138.47,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2008","2008",1191971.63,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2009","2009",1210900.32,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2010","2010",1266930.91,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2011","2011",1331552.39,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2012","2012",1372073.21,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2013","2013",1383774.09,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2014","2014",1478711.23,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2015","2015",1567955.84,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2016","2016",1632661.24,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUS","Australia","2017","2017",1672875.44,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2000","2000",301240,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2001","2001",312280,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2002","2002",321300,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2003","2003",330020,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2004","2004",338480,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2005","2005",346200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2006","2006",356840,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2007","2007",365150,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2008","2008",374010,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2009","2009",386710,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2010","2010",400250,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2011","2011",407280,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2012","2012",414700,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2013","2013",419940,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2014","2014",425860,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2015","2015",438540,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2016","2016",446340,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2017","2017",457820,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","AUT","Austria","2018","2018",463820,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2000","2000",400900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2001","2001",415800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2002","2002",426500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2003","2003",437800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2004","2004",448500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2005","2005",461400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2006","2006",472100,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2007","2007",483500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2008","2008",495300,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2009","2009",510600,,
