"iso_code_src","iso_code_trg","name","selected","shared name"
"KAZ","KAZ","Kazakhstan","false","Kazakhstan"
"AZE","AZE","Azerbaijan","false","Azerbaijan"
"TKM","TKM","Turkmenistan","false","Turkmenistan"
"AFG","AFG","Afghanistan","false","Afghanistan"
"IND","IND","India","false","India"
"BTN","BTN","Bhutan","false","Bhutan"
"MDV",,"Maldives","false","Maldives"
"MUS",,"Mauritius","false","Mauritius"
"NPL","NPL","Nepal","false","Nepal"
"OMN","OMN","Oman","false","Oman"
"LKA","LKA","Sri Lanka","false","Sri Lanka"
"IRN","IRN","Iran (Islamic Republic of)","false","Iran (Islamic Republic of)"
"KWT","KWT","Kuwait","false","Kuwait"
"TJK","TJK","Tajikistan","false","Tajikistan"
"BIH","BIH","Bosnia and Herzegovina","false","Bosnia and Herzegovina"
"TUR","TUR","Turkey","false","Turkey"
"SYC",,"Seychelles","false","Seychelles"
"ARE","ARE","United Arab Emirates","false","United Arab Emirates"
"SDN","SDN","Sudan","false","Sudan"
"DEU","DEU","Germany","false","Germany"
"ALB","ALB","Albania","false","Albania"
"ITA","ITA","Italy","false","Italy"
,,"""Moldova","false","""Moldova"
,," Republic of""","false"," Republic of"""
"MNE","MNE","Montenegro","false","Montenegro"
"SVN","SVN","Slovenia","false","Slovenia"
"JEY",,"Jersey","false","Jersey"
"GBR","GBR","United Kingdom of Great Britain and Northern Ireland","false","United Kingdom of Great Britain and Northern Ireland"
"BRB","BRB","Barbados","false","Barbados"
"GIB","GIB","Gibraltar","false","Gibraltar"
"GGY",,"Guernsey","false","Guernsey"
"IMN",,"Isle of Man","false","Isle of Man"
"UGA","UGA","Uganda","false","Uganda"
"BEL","BEL","Belgium","false","Belgium"
"BFA","BFA","Burkina Faso","false","Burkina Faso"
"LBR","LBR","Liberia","false","Liberia"
"TGO","TGO","Togo","false","Togo"
"CUB","CUB","Cuba","false","Cuba"
"CAN","CAN","Canada","false","Canada"
"JAM","JAM","Jamaica","false","Jamaica"
"GUY","GUY","Guyana","false","Guyana"
"SPM",,"Saint Pierre and Miquelon","false","Saint Pierre and Miquelon"
"MMR","MMR","Myanmar","false","Myanmar"
"CHN","CHN","China","false","China"
"MAC","MAC","Macao","false","Macao"
"MNG","MNG","Mongolia","false","Mongolia"
"PRK","PRK","Korea (Democratic People's Republic of)","false","Korea (Democratic People's Republic of)"
"MNP","MNP","Northern Mariana Islands","false","Northern Mariana Islands"
"YEM","YEM","Yemen","false","Yemen"
"EGY","EGY","Egypt","false","Egypt"
"LBY","LBY","Libya","false","Libya"
"SSD","SSD","South Sudan","false","South Sudan"
"DZA","DZA","Algeria","false","Algeria"
"FRA","FRA","France","false","France"
"NER","NER","Niger","false","Niger"
"GUF","GUF","French Guiana","false","French Guiana"
"IRQ","IRQ","Iraq","false","Iraq"
"JOR","JOR","Jordan","false","Jordan"
"CPV",,"Cabo Verde","false","Cabo Verde"
"PRT","PRT","Portugal","false","Portugal"
"UZB","UZB","Uzbekistan","false","Uzbekistan"
"RUS","RUS","Russian Federation","false","Russian Federation"
"KGZ","KGZ","Kyrgyzstan","false","Kyrgyzstan"
"ARM","ARM","Armenia","false","Armenia"
"MRT","MRT","Mauritania","false","Mauritania"
"ESP","ESP","Spain","false","Spain"
"ESH","ESH","Western Sahara","false","Western Sahara"
"GMB","GMB","Gambia","false","Gambia"
"BMU",,"Bermuda","false","Bermuda"
"USA","USA","United States of America","false","United States of America"
"ABW",,"Aruba","false","Aruba"
"BHS","BHS","Bahamas","false","Bahamas"
"CYM","CYM","Cayman Islands","false","Cayman Islands"
"CRI","CRI","Costa Rica","false","Costa Rica"
"TCA",,"Turks and Caicos Islands","false","Turks and Caicos Islands"
"SLV","SLV","El Salvador","false","El Salvador"
"BLZ","BLZ","Belize","false","Belize"
"VGB",,"Virgin Islands (British)","false","Virgin Islands (British)"
"PYF",,"French Polynesia","false","French Polynesia"
"GTM","GTM","Guatemala","false","Guatemala"
"HTI","HTI","Haiti","false","Haiti"
"NIC","NIC","Nicaragua","false","Nicaragua"
"PRI","PRI","Puerto Rico","false","Puerto Rico"
"SUR","SUR","Suriname","false","Suriname"
"NLD","NLD","Netherlands","false","Netherlands"
"GEO","GEO","Georgia","false","Georgia"
"BLR","BLR","Belarus","false","Belarus"
"UKR","UKR","Ukraine","false","Ukraine"
"JPN",,"Japan","false","Japan"
"GUM","GUM","Guam","false","Guam"
"PLW","PLW","Palau","false","Palau"
"THA","THA","Thailand","false","Thailand"
"LAO","LAO","Lao People's Democratic Republic","false","Lao People's Democratic Republic"
"FRO","FRO","Faroe Islands","false","Faroe Islands"
"DNK","DNK","Denmark","false","Denmark"
"SRB","SRB","Serbia","false","Serbia"
"EST","EST","Estonia","false","Estonia"
"NOR","NOR","Norway","false","Norway"
"MKD","MKD","North Macedonia","false","North Macedonia"
"SWE","SWE","Sweden","false","Sweden"
"PAK","PAK","Pakistan","false","Pakistan"
"BHR",,"Bahrain","false","Bahrain"
"SAU","SAU","Saudi Arabia","false","Saudi Arabia"
"QAT","QAT","Qatar","false","Qatar"
"AGO","AGO","Angola","false","Angola"
"ETH","ETH","Ethiopia","false","Ethiopia"
"DJI","DJI","Djibouti","false","Djibouti"
"MLI","MLI","Mali","false","Mali"
"GNQ","GNQ","Equatorial Guinea","false","Equatorial Guinea"
,,"""Tanzania","false","""Tanzania"
,," United Republic of""","false"," United Republic of"""
"SOM","SOM","Somalia","false","Somalia"
"KEN","KEN","Kenya","false","Kenya"
,,"""Congo","false","""Congo"
,," Democratic Republic of the""","false"," Democratic Republic of the"""
"ZMB","ZMB","Zambia","false","Zambia"
"RWA","RWA","Rwanda","false","Rwanda"
"ZWE","ZWE","Zimbabwe","false","Zimbabwe"
"BDI","BDI","Burundi","false","Burundi"
"COM",,"Comoros","false","Comoros"
"MWI","MWI","Malawi","false","Malawi"
"MOZ","MOZ","Mozambique","false","Mozambique"
"ZAF","ZAF","South Africa","false","South Africa"
"BWA","BWA","Botswana","false","Botswana"
"NAM","NAM","Namibia","false","Namibia"
"HKG","HKG","Hong Kong","false","Hong Kong"
"AUS","AUS","Australia","false","Australia"
"IDN","IDN","Indonesia","false","Indonesia"
"MYS","MYS","Malaysia","false","Malaysia"
"SGP","SGP","Singapore","false","Singapore"
"BRN","BRN","Brunei","false","Brunei"
"MDG","MDG","Madagascar","false","Madagascar"
"REU","REU","Réunion","false","Réunion"
"NZL","NZL","New Zealand","false","New Zealand"
"COK","COK","Cook Islands","false","Cook Islands"
"FJI","FJI","Fiji","false","Fiji"
"TON","TON","Tonga","false","Tonga"
"VUT","VUT","Vanuatu","false","Vanuatu"
"NCL","NCL","New Caledonia","false","New Caledonia"
,"WSM","Samoa","false","Samoa"
"PHL","PHL","Philippines","false","Philippines"
"PNG","PNG","Papua New Guinea","false","Papua New Guinea"
"KHM","KHM","Cambodia","false","Cambodia"
,,"""Korea","false","""Korea"
"TWN",,"Taiwan","false","Taiwan"
"VNM","VNM","Viet Nam","false","Viet Nam"
"BGD","BGD","Bangladesh","false","Bangladesh"
"SLB","SLB","Solomon Islands","false","Solomon Islands"
"TLS","TLS","East Timor","false","East Timor"
"NFK","NFK","Norfolk Island","false","Norfolk Island"
"CZE","CZE","Czechia","false","Czechia"
"SVK","SVK","Slovakia","false","Slovakia"
"NGA","NGA","Nigeria","false","Nigeria"
