level_0,index,country_source,country_dest,source_id,dest_id,cnt,airport_id_source,latitude_source,longitude_source,altitude_source,airport_id_dest,latitude_dest,longitude_dest,altitude_dest
0,1,Afghanistan,Azerbaijan,2050.0,2922.0,1,2050,34.565899,69.212303,5877,2922,40.46749877929688,50.04669952392578,10
1,2,Afghanistan,India,6149.0,9279.0,7,6149,100.28169833166504,197.28840239575197,12420,9279,85.6995,231.309312,2331
2,3,Afghanistan,Iran,10252.0,21653.0,5,10252,171.554498881958,333.71040693383793,19581,21653,179.5377960205078,281.2273941040039,16399
3,4,Afghanistan,Kuwait,2050.0,2176.0,1,2050,34.565899,69.212303,5877,2176,29.226600646972656,47.96889877319336,206
4,5,Afghanistan,Pakistan,6148.0,6665.0,4,6148,103.34179708447266,200.6529041872559,14960,6665,101.22729829907226,217.71299666113282,4494
5,6,Afghanistan,Tajikistan,2050.0,2979.0,1,2050,34.565899,69.212303,5877,2979,38.543300628699996,68.8249969482,2575
6,7,Afghanistan,Turkey,6153.0,5084.0,3,6153,105.83869955029297,205.63430753808598,13038,5084,122.08189734889999,90.624298114,3451
7,8,Afghanistan,United Arab Emirates,6151.0,12452.0,7,6151,100.63759824719239,204.27240720849613,15091,12452,75.4019559756,165.8901869126,238
8,9,Albania,Austria,1190.0,1613.0,1,1190,41.4146995544,19.7206001282,126,1613,48.110298156738004,16.569700241089002,600
9,10,Albania,Germany,2380.0,686.0,2,2380,82.8293991088,39.4412002564,252,686,98.387135,20.356656,1851
10,11,Albania,Greece,1190.0,3941.0,2,1190,41.4146995544,19.7206001282,126,3941,37.9364013672,23.944499969499997,308
11,12,Albania,Italy,11900.0,15360.0,27,11900,414.14699554399994,197.20600128200002,1260,15360,442.9780788,108.84069790000001,3117
12,13,Albania,Slovenia,1190.0,1569.0,1,1190,41.4146995544,19.7206001282,126,1569,46.223701,14.4576,1273
13,14,Albania,Turkey,2380.0,6018.0,2,2380,82.8293991088,39.4412002564,252,6018,81.87549953199999,58.1238002869,475
14,15,Albania,United Kingdom,1190.0,502.0,1,1190,41.4146995544,19.7206001282,126,502,51.148102,-0.190278,202
15,17,Algeria,Austria,210.0,1613.0,1,210,36.691001892089844,3.215409994125366,82,1613,48.110298156738004,16.569700241089002,600
16,18,Algeria,Belgium,210.0,302.0,1,210,36.691001892089844,3.215409994125366,82,302,50.9014015198,4.48443984985,184
17,19,Algeria,Burkina Faso,210.0,246.0,1,210,36.691001892089844,3.215409994125366,82,246,12.3532,-1.51242,1037
18,20,Algeria,Canada,210.0,146.0,1,210,36.691001892089844,3.215409994125366,82,146,45.4706001282,-73.7407989502,118
19,21,Algeria,China,210.0,3364.0,1,210,36.691001892089844,3.215409994125366,82,3364,40.0801010131836,116.58499908447266,116
