"name","selected","shared name"
"Afghanistan","false","Afghanistan"
"Azerbaijan","false","Azerbaijan"
"Austria","false","Austria"
"India","false","India"
"Bangladesh","false","Bangladesh"
"Bhutan","false","Bhutan"
"Iran (Islamic Republic of)","false","Iran (Islamic Republic of)"
"Kuwait","false","Kuwait"
"Pakistan","false","Pakistan"
"Oman","false","Oman"
"Tajikistan","false","Tajikistan"
"Turkey","false","Turkey"
"Sudan","false","Sudan"
"United Arab Emirates","false","United Arab Emirates"
"Somalia","false","Somalia"
"Sri Lanka","false","Sri Lanka"
"Turkmenistan","false","Turkmenistan"
"Ukraine","false","Ukraine"
"Albania","false","Albania"
"Italy","false","Italy"
"Montenegro","false","Montenegro"
"Slovenia","false","Slovenia"
"Serbia","false","Serbia"
"Tunisia","false","Tunisia"
"United Kingdom of Great Britain and Northern Ireland","false","United Kingdom of Great Britain and Northern Ireland"
"Gibraltar","false","Gibraltar"
"Guernsey","false","Guernsey"
"Isle of Man","false","Isle of Man"
"Jersey","false","Jersey"
"Sierra Leone","false","Sierra Leone"
"Slovakia","false","Slovakia"
"Kenya","false","Kenya"
"Belgium","false","Belgium"
"Uganda","false","Uganda"
"Liberia","false","Liberia"
"Togo","false","Togo"
"Antigua and Barbuda","false","Antigua and Barbuda"
"Canada","false","Canada"
"Bahamas","false","Bahamas"
"Barbados","false","Barbados"
"Bermuda","false","Bermuda"
"Aruba","false","Aruba"
"Myanmar","false","Myanmar"
"China","false","China"
"Cambodia","false","Cambodia"
"Iraq","false","Iraq"
"Jordan","false","Jordan"
"Libya","false","Libya"
"Malta","false","Malta"
"Luxembourg","false","Luxembourg"
"Portugal","false","Portugal"
"Cabo Verde","false","Cabo Verde"
"Kyrgyzstan","false","Kyrgyzstan"
"Russian Federation","false","Russian Federation"
"Mongolia","false","Mongolia"
"Korea (Democratic People's Republic of)","false","Korea (Democratic People's Republic of)"
"Spain","false","Spain"
"United States of America","false","United States of America"
"Jamaica","false","Jamaica"
"Trinidad and Tobago","false","Trinidad and Tobago"
"Peru","false","Peru"
"Cayman Islands","false","Cayman Islands"
"Haiti","false","Haiti"
"Honduras","false","Honduras"
"Kiribati","false","Kiribati"
"Nicaragua","false","Nicaragua"
"Saint Kitts and Nevis","false","Saint Kitts and Nevis"
"Samoa","false","Samoa"
"Turks and Caicos Islands","false","Turks and Caicos Islands"
"Belarus","false","Belarus"
"Armenia","false","Armenia"
