src	trg	nij
Afghanistan	Azerbaijan	0.09991578476
Austria	Azerbaijan	0.1998315695
Afghanistan	India	0.3804148549
Bhutan	India	0.2582785568
Afghanistan	Iran (Islamic Republic of)	0.3319130525
Afghanistan	Pakistan	0.2997473543
Oman	Pakistan	0.4750883162
Sudan	United Arab Emirates	0.4318288373
Sri Lanka	United Arab Emirates	0.4581101264
Albania	Italy	0.575004101
Montenegro	Slovenia	0.1998315695
Tunisia	United Kingdom of Great Britain and Northern Ireland	0.5454833945
Gibraltar	United Kingdom of Great Britain and Northern Ireland	0.3581943416
Isle of Man	United Kingdom of Great Britain and Northern Ireland	0.4318288373
Jersey	United Kingdom of Great Britain and Northern Ireland	0.5639103203
Uganda	Belgium	0.1998315695
Liberia	Belgium	0.1583627721
Togo	Belgium	0.1583627721
Bahamas	Canada	0.2804990701
Barbados	Canada	0.1998315695
Bermuda	Canada	0.1998315695
Aruba	Canada	0.1998315695
Myanmar	China	0.399663139
Cambodia	China	0.4388618422
Iraq	Jordan	0.3697323384
Kyrgyzstan	Russian Federation	0.663826105
Korea (Democratic People's Republic of)	Russian Federation	0.09991578476
Libya	Tunisia	0.5421695013
Trinidad and Tobago	United States of America	0.4455676098
Honduras	United States of America	0.5243507959
Kiribati	United States of America	0.1998315695
Nicaragua	United States of America	0.3581943416
Saint Kitts and Nevis	United States of America	0.2319972678
Samoa	United States of America	0.09991578476
Turks and Caicos Islands	United States of America	0.4803306397
United Kingdom of Great Britain and Northern Ireland	United States of America	0.8672170655
Austria	Belarus	0.1998315695
Armenia	Belarus	0.09991578476
Armenia	Czechia	0.1998315695
Guam	Japan	0.5243507959
Macao	Taiwan	0.399663139
Palau	Taiwan	0.1998315695
Lao People's Democratic Republic	Thailand	0.4318288373
Austria	Bosnia and Herzegovina	0.09991578476
Austria	Bulgaria	0.2582785568
Belgium	Bulgaria	0.2997473543
Austria	Croatia	0.3581943416
Bosnia and Herzegovina	Croatia	0.09991578476
Bulgaria	Cyprus	0.2997473543
Estonia	Finland	0.2582785568
Azerbaijan	Georgia	0.1998315695
Belarus	Georgia	0.2582785568
Iran (Islamic Republic of)	Iraq	0.2997473543
Georgia	Iraq	0.1998315695
Faroe Islands	Norway	0.1998315695
Moldova, Republic of	Romania	0.2582785568
Montenegro	Serbia	0.2997473543
Mozambique	South Africa	0.4902758246
Botswana	South Africa	0.4166413289
Malawi	South Africa	0.2582785568
Namibia	South Africa	0.4166413289
Réunion	South Africa	0.09991578476
Brazil	Chile	0.3581943416
Argentina	Chile	0.4244350111
Bolivia	Chile	0.2582785568
Australia	Brunei	0.09991578476
Australia	East Timor	0.1998315695
Australia	Fiji	0.4455676098
Australia	Guam	0.09991578476
Australia	Indonesia	0.5695639079
Brunei	Indonesia	0.2997473543
East Timor	Indonesia	0.09991578476
Brunei	Malaysia	0.3804148549
Indonesia	Malaysia	0.6518068123
Madagascar	Mauritius	0.1998315695
Australia	New Caledonia	0.2997473543
Fiji	New Caledonia	0.09991578476
Australia	New Zealand	0.7133538762
Fiji	New Zealand	0.3319130525
New Caledonia	New Zealand	0.1998315695
Australia	Norfolk Island	0.1998315695
Australia	Papua New Guinea	0.4166413289
Macao	Philippines	0.3319130525
Papua New Guinea	Philippines	0.1998315695
Fiji	Samoa	0.09991578476
New Zealand	Samoa	0.2319972678
East Timor	Singapore	0.09991578476
Australia	Solomon Islands	0.1998315695
Fiji	Solomon Islands	0.1998315695
Papua New Guinea	Solomon Islands	0.09991578476
Mongolia	Korea, Republic of	0.1998315695
Palau	Korea, Republic of	0.1998315695
Northern Mariana Islands	Korea, Republic of	0.1998315695
Fiji	Tonga	0.1998315695
New Zealand	Tonga	0.1998315695
Australia	Vanuatu	0.3804148549
Fiji	Vanuatu	0.1998315695
New Zealand	Vanuatu	0.1998315695
New Caledonia	Vanuatu	0.1998315695
Solomon Islands	Vanuatu	0.2582785568
Thailand	Viet Nam	0.4318288373
Taiwan	Viet Nam	0.4696481232
