"name","selected","shared name"
"Afghanistan","false","Afghanistan"
"Azerbaijan","false","Azerbaijan"
"Austria","false","Austria"
"India","false","India"
"Bhutan","false","Bhutan"
"Iran (Islamic Republic of)","false","Iran (Islamic Republic of)"
"Pakistan","false","Pakistan"
"Oman","false","Oman"
"Sudan","false","Sudan"
"United Arab Emirates","false","United Arab Emirates"
"Sri Lanka","false","Sri Lanka"
"Albania","false","Albania"
"Italy","false","Italy"
"Montenegro","false","Montenegro"
"Slovenia","false","Slovenia"
"Tunisia","false","Tunisia"
"United Kingdom of Great Britain and Northern Ireland","false","United Kingdom of Great Britain and Northern Ireland"
"Gibraltar","false","Gibraltar"
"Isle of Man","false","Isle of Man"
"Jersey","false","Jersey"
"Uganda","false","Uganda"
"Belgium","false","Belgium"
"Liberia","false","Liberia"
"Togo","false","Togo"
"Bahamas","false","Bahamas"
"Canada","false","Canada"
"Barbados","false","Barbados"
"Bermuda","false","Bermuda"
"Aruba","false","Aruba"
"Myanmar","false","Myanmar"
"China","false","China"
"Cambodia","false","Cambodia"
"Iraq","false","Iraq"
"Jordan","false","Jordan"
"Kyrgyzstan","false","Kyrgyzstan"
"Russian Federation","false","Russian Federation"
"Korea (Democratic People's Republic of)","false","Korea (Democratic People's Republic of)"
"Libya","false","Libya"
"Trinidad and Tobago","false","Trinidad and Tobago"
"United States of America","false","United States of America"
"Honduras","false","Honduras"
"Kiribati","false","Kiribati"
"Nicaragua","false","Nicaragua"
"Saint Kitts and Nevis","false","Saint Kitts and Nevis"
"Samoa","false","Samoa"
"Turks and Caicos Islands","false","Turks and Caicos Islands"
"Belarus","false","Belarus"
"Armenia","false","Armenia"
"Czechia","false","Czechia"
"Guam","false","Guam"
"Japan","false","Japan"
"Macao","false","Macao"
"Taiwan","false","Taiwan"
"Palau","false","Palau"
"Lao People's Democratic Republic","false","Lao People's Democratic Republic"
"Thailand","false","Thailand"
"Bosnia and Herzegovina","false","Bosnia and Herzegovina"
"Bulgaria","false","Bulgaria"
"Croatia","false","Croatia"
"Cyprus","false","Cyprus"
"Estonia","false","Estonia"
"Finland","false","Finland"
"Georgia","false","Georgia"
"Faroe Islands","false","Faroe Islands"
"Norway","false","Norway"
"Moldova, Republic of","false","Moldova, Republic of"
"Romania","false","Romania"
"Serbia","false","Serbia"
"Mozambique","false","Mozambique"
"South Africa","false","South Africa"
"Botswana","false","Botswana"
