"name","selected","shared name"
"Kazakhstan","false","Kazakhstan"
"Azerbaijan","false","Azerbaijan"
"Turkmenistan","false","Turkmenistan"
"Afghanistan","false","Afghanistan"
"India","false","India"
"Bhutan","false","Bhutan"
"Maldives","false","Maldives"
"Mauritius","false","Mauritius"
"Nepal","false","Nepal"
"Oman","false","Oman"
"Sri Lanka","false","Sri Lanka"
"Iran (Islamic Republic of)","false","Iran (Islamic Republic of)"
"Kuwait","false","Kuwait"
"Tajikistan","false","Tajikistan"
"Bosnia and Herzegovina","false","Bosnia and Herzegovina"
"Turkey","false","Turkey"
"Seychelles","false","Seychelles"
"United Arab Emirates","false","United Arab Emirates"
"Sudan","false","Sudan"
"Germany","false","Germany"
"Albania","false","Albania"
"Italy","false","Italy"
"Moldova, Republic of","false","Moldova, Republic of"
"Montenegro","false","Montenegro"
"Slovenia","false","Slovenia"
"Jersey","false","Jersey"
"United Kingdom of Great Britain and Northern Ireland","false","United Kingdom of Great Britain and Northern Ireland"
"Barbados","false","Barbados"
"Gibraltar","false","Gibraltar"
"Guernsey","false","Guernsey"
"Isle of Man","false","Isle of Man"
"Uganda","false","Uganda"
"Belgium","false","Belgium"
"Burkina Faso","false","Burkina Faso"
"Liberia","false","Liberia"
"Togo","false","Togo"
"Cuba","false","Cuba"
"Canada","false","Canada"
"Jamaica","false","Jamaica"
"Guyana","false","Guyana"
"Saint Pierre and Miquelon","false","Saint Pierre and Miquelon"
"Myanmar","false","Myanmar"
"China","false","China"
"Macao","false","Macao"
"Mongolia","false","Mongolia"
"Korea (Democratic People's Republic of)","false","Korea (Democratic People's Republic of)"
"Northern Mariana Islands","false","Northern Mariana Islands"
"Yemen","false","Yemen"
"Egypt","false","Egypt"
"Libya","false","Libya"
"South Sudan","false","South Sudan"
"Algeria","false","Algeria"
"France","false","France"
"Niger","false","Niger"
"French Guiana","false","French Guiana"
"Iraq","false","Iraq"
"Jordan","false","Jordan"
"Cabo Verde","false","Cabo Verde"
"Portugal","false","Portugal"
"Uzbekistan","false","Uzbekistan"
"Russian Federation","false","Russian Federation"
"Kyrgyzstan","false","Kyrgyzstan"
"Armenia","false","Armenia"
"Mauritania","false","Mauritania"
"Spain","false","Spain"
"Western Sahara","false","Western Sahara"
"Gambia","false","Gambia"
"Bermuda","false","Bermuda"
"United States of America","false","United States of America"
"Aruba","false","Aruba"
"Bahamas","false","Bahamas"
"Cayman Islands","false","Cayman Islands"
"Costa Rica","false","Costa Rica"
"Turks and Caicos Islands","false","Turks and Caicos Islands"
