"name","selected","shared name"
"Afghanistan","false","Afghanistan"
"China","false","China"
"Iran (Islamic Republic of)","false","Iran (Islamic Republic of)"
"Pakistan","false","Pakistan"
"Tajikistan","false","Tajikistan"
"Turkmenistan","false","Turkmenistan"
"Uzbekistan","false","Uzbekistan"
"Albania","false","Albania"
"Greece","false","Greece"
"Montenegro","false","Montenegro"
"North Macedonia","false","North Macedonia"
"Algeria","false","Algeria"
"Libya","false","Libya"
"Mali","false","Mali"
"Mauritania","false","Mauritania"
"Morocco","false","Morocco"
"Niger","false","Niger"
"Tunisia","false","Tunisia"
"Western Sahara","false","Western Sahara"
"Angola","false","Angola"
"Congo","false","Congo"
"Congo, Democratic Republic of the","false","Congo, Democratic Republic of the"
"Namibia","false","Namibia"
"Zambia","false","Zambia"
"Anguilla","false","Anguilla"
"Antigua and Barbuda","false","Antigua and Barbuda"
"Saint Kitts and Nevis","false","Saint Kitts and Nevis"
"Argentina","false","Argentina"
"Bolivia","false","Bolivia"
"Brazil","false","Brazil"
"Chile","false","Chile"
"Paraguay","false","Paraguay"
"Uruguay","false","Uruguay"
"Armenia","false","Armenia"
"Azerbaijan","false","Azerbaijan"
"Georgia","false","Georgia"
"Turkey","false","Turkey"
"Aruba","false","Aruba"
"Venezuela (Bolivarian Republic of)","false","Venezuela (Bolivarian Republic of)"
"Australia","false","Australia"
"Indonesia","false","Indonesia"
"Norfolk Island","false","Norfolk Island"
"Austria","false","Austria"
"Czechia","false","Czechia"
"Germany","false","Germany"
"Hungary","false","Hungary"
"Italy","false","Italy"
"Slovakia","false","Slovakia"
"Slovenia","false","Slovenia"
"Switzerland","false","Switzerland"
"Russian Federation","false","Russian Federation"
"Bahamas","false","Bahamas"
"United States of America","false","United States of America"
"Bahrain","false","Bahrain"
"Qatar","false","Qatar"
"Saudi Arabia","false","Saudi Arabia"
"Bangladesh","false","Bangladesh"
"India","false","India"
"Myanmar","false","Myanmar"
"Barbados","false","Barbados"
"Grenada","false","Grenada"
"Belarus","false","Belarus"
"Latvia","false","Latvia"
"Lithuania","false","Lithuania"
"Poland","false","Poland"
"Ukraine","false","Ukraine"
"Belgium","false","Belgium"
"France","false","France"
"Luxembourg","false","Luxembourg"
"Netherlands","false","Netherlands"
"Belize","false","Belize"
"Guatemala","false","Guatemala"
"Mexico","false","Mexico"
"Benin","false","Benin"
"Burkina Faso","false","Burkina Faso"
"Nigeria","false","Nigeria"
"Togo","false","Togo"
"Bermuda","false","Bermuda"
"Bhutan","false","Bhutan"
"Peru","false","Peru"
"Bosnia and Herzegovina","false","Bosnia and Herzegovina"
"Croatia","false","Croatia"
"Serbia","false","Serbia"
"Botswana","false","Botswana"
"South Africa","false","South Africa"
"Zimbabwe","false","Zimbabwe"
"Colombia","false","Colombia"
"French Guiana","false","French Guiana"
"Guyana","false","Guyana"
"Suriname","false","Suriname"
"Brunei","false","Brunei"
"Malaysia","false","Malaysia"
"Bulgaria","false","Bulgaria"
"Romania","false","Romania"
"Côte d'Ivoire","false","Côte d'Ivoire"
"Ghana","false","Ghana"
"Burundi","false","Burundi"
"Rwanda","false","Rwanda"
"Tanzania, United Republic of","false","Tanzania, United Republic of"
"Cabo Verde","false","Cabo Verde"
"Senegal","false","Senegal"
"Cambodia","false","Cambodia"
"Lao People's Democratic Republic","false","Lao People's Democratic Republic"
"Thailand","false","Thailand"
"Viet Nam","false","Viet Nam"
"Cameroon","false","Cameroon"
"Central African Republic","false","Central African Republic"
"Chad","false","Chad"
"Equatorial Guinea","false","Equatorial Guinea"
"Gabon","false","Gabon"
"Canada","false","Canada"
"Greenland","false","Greenland"
"Cayman Islands","false","Cayman Islands"
"Cuba","false","Cuba"
"Jamaica","false","Jamaica"
"South Sudan","false","South Sudan"
"Sudan","false","Sudan"
"Hong Kong","false","Hong Kong"
"Kazakhstan","false","Kazakhstan"
"Korea (Democratic People's Republic of)","false","Korea (Democratic People's Republic of)"
"Kyrgyzstan","false","Kyrgyzstan"
"Macao","false","Macao"
"Mongolia","false","Mongolia"
"Nepal","false","Nepal"
"Ecuador","false","Ecuador"
"Panama","false","Panama"
"Comoros","false","Comoros"
"Mayotte","false","Mayotte"
"Mozambique","false","Mozambique"
