"iso_code_src","iso_code_trg","name","selected","shared name"
"AFG","AFG","Afghanistan","false","Afghanistan"
"CHN","CHN","China","false","China"
"IRN","IRN","Iran (Islamic Republic of)","false","Iran (Islamic Republic of)"
"PAK","PAK","Pakistan","false","Pakistan"
"TJK","TJK","Tajikistan","false","Tajikistan"
"TKM","TKM","Turkmenistan","false","Turkmenistan"
"UZB","UZB","Uzbekistan","false","Uzbekistan"
"ALB","ALB","Albania","false","Albania"
"GRC","GRC","Greece","false","Greece"
"MNE","MNE","Montenegro","false","Montenegro"
"MKD","MKD","North Macedonia","false","North Macedonia"
"DZA","DZA","Algeria","false","Algeria"
"LBY","LBY","Libya","false","Libya"
"MLI","MLI","Mali","false","Mali"
"MRT","MRT","Mauritania","false","Mauritania"
"MAR","MAR","Morocco","false","Morocco"
"NER","NER","Niger","false","Niger"
"TUN","TUN","Tunisia","false","Tunisia"
"ESH","ESH","Western Sahara","false","Western Sahara"
"ASM","ASM","American Samoa","false","American Samoa"
"NIU","NIU","Niue","false","Niue"
,"WSM","Samoa","false","Samoa"
"WLF","WLF","Wallis and Futuna","false","Wallis and Futuna"
"AGO","AGO","Angola","false","Angola"
"COG","COG","Congo","false","Congo"
"COD","COD","Congo, Democratic Republic of the","false","Congo, Democratic Republic of the"
"NAM","NAM","Namibia","false","Namibia"
"ZMB","ZMB","Zambia","false","Zambia"
"AIA","AIA","Anguilla","false","Anguilla"
"ATG","ATG","Antigua and Barbuda","false","Antigua and Barbuda"
,"WSM","Saint Kitts and Nevis","false","Saint Kitts and Nevis"
"ARG","ARG","Argentina","false","Argentina"
"BOL","BOL","Bolivia","false","Bolivia"
"BRA","BRA","Brazil","false","Brazil"
"CHL","CHL","Chile","false","Chile"
"PRY","PRY","Paraguay","false","Paraguay"
"URY","URY","Uruguay","false","Uruguay"
"ARM","ARM","Armenia","false","Armenia"
"AZE","AZE","Azerbaijan","false","Azerbaijan"
"GEO","GEO","Georgia","false","Georgia"
"TUR","TUR","Turkey","false","Turkey"
"ABW",,"Aruba","false","Aruba"
"VEN","VEN","Venezuela (Bolivarian Republic of)","false","Venezuela (Bolivarian Republic of)"
"AUS","AUS","Australia","false","Australia"
"IDN","IDN","Indonesia","false","Indonesia"
"NFK","NFK","Norfolk Island","false","Norfolk Island"
"AUT","AUT","Austria","false","Austria"
"CZE","CZE","Czechia","false","Czechia"
"DEU","DEU","Germany","false","Germany"
"HUN","HUN","Hungary","false","Hungary"
"ITA","ITA","Italy","false","Italy"
"SVK","SVK","Slovakia","false","Slovakia"
"SVN","SVN","Slovenia","false","Slovenia"
"CHE","CHE","Switzerland","false","Switzerland"
"RUS","RUS","Russian Federation","false","Russian Federation"
"BHS","BHS","Bahamas","false","Bahamas"
"USA","USA","United States of America","false","United States of America"
"BHR",,"Bahrain","false","Bahrain"
"QAT","QAT","Qatar","false","Qatar"
"SAU","SAU","Saudi Arabia","false","Saudi Arabia"
"BGD","BGD","Bangladesh","false","Bangladesh"
"IND","IND","India","false","India"
"MMR","MMR","Myanmar","false","Myanmar"
"BRB","BRB","Barbados","false","Barbados"
"GRD","GRD","Grenada","false","Grenada"
"BLR","BLR","Belarus","false","Belarus"
"LVA","LVA","Latvia","false","Latvia"
"LTU","LTU","Lithuania","false","Lithuania"
"POL","POL","Poland","false","Poland"
"UKR","UKR","Ukraine","false","Ukraine"
"BEL","BEL","Belgium","false","Belgium"
"FRA","FRA","France","false","France"
"LUX","LUX","Luxembourg","false","Luxembourg"
"NLD","NLD","Netherlands","false","Netherlands"
"BLZ","BLZ","Belize","false","Belize"
"GTM","GTM","Guatemala","false","Guatemala"
"MEX","MEX","Mexico","false","Mexico"
"BEN","BEN","Benin","false","Benin"
"BFA","BFA","Burkina Faso","false","Burkina Faso"
"NGA","NGA","Nigeria","false","Nigeria"
"TGO","TGO","Togo","false","Togo"
"BMU",,"Bermuda","false","Bermuda"
"BTN","BTN","Bhutan","false","Bhutan"
"PER","PER","Peru","false","Peru"
"BIH","BIH","Bosnia and Herzegovina","false","Bosnia and Herzegovina"
"HRV","HRV","Croatia","false","Croatia"
"SRB","SRB","Serbia","false","Serbia"
"BWA","BWA","Botswana","false","Botswana"
"ZAF","ZAF","South Africa","false","South Africa"
"ZWE","ZWE","Zimbabwe","false","Zimbabwe"
"COL","COL","Colombia","false","Colombia"
"GUF","GUF","French Guiana","false","French Guiana"
"GUY","GUY","Guyana","false","Guyana"
"SUR","SUR","Suriname","false","Suriname"
"BRN","BRN","Brunei","false","Brunei"
"MYS","MYS","Malaysia","false","Malaysia"
"BGR","BGR","Bulgaria","false","Bulgaria"
"ROU","ROU","Romania","false","Romania"
"CIV","CIV","Côte d'Ivoire","false","Côte d'Ivoire"
"GHA","GHA","Ghana","false","Ghana"
"BDI","BDI","Burundi","false","Burundi"
"RWA","RWA","Rwanda","false","Rwanda"
"TZA","TZA","Tanzania, United Republic of","false","Tanzania, United Republic of"
"CPV",,"Cabo Verde","false","Cabo Verde"
"SEN","SEN","Senegal","false","Senegal"
"KHM","KHM","Cambodia","false","Cambodia"
"LAO","LAO","Lao People's Democratic Republic","false","Lao People's Democratic Republic"
"THA","THA","Thailand","false","Thailand"
"VNM","VNM","Viet Nam","false","Viet Nam"
"CMR","CMR","Cameroon","false","Cameroon"
"CAF","CAF","Central African Republic","false","Central African Republic"
"TCD","TCD","Chad","false","Chad"
"GNQ","GNQ","Equatorial Guinea","false","Equatorial Guinea"
"GAB","GAB","Gabon","false","Gabon"
"CAN","CAN","Canada","false","Canada"
"GRL","GRL","Greenland","false","Greenland"
"CYM","CYM","Cayman Islands","false","Cayman Islands"
"CUB","CUB","Cuba","false","Cuba"
"JAM","JAM","Jamaica","false","Jamaica"
"SSD","SSD","South Sudan","false","South Sudan"
"SDN","SDN","Sudan","false","Sudan"
"HKG","HKG","Hong Kong","false","Hong Kong"
"KAZ","KAZ","Kazakhstan","false","Kazakhstan"
"PRK","PRK","Korea (Democratic People's Republic of)","false","Korea (Democratic People's Republic of)"
"KGZ","KGZ","Kyrgyzstan","false","Kyrgyzstan"
"MAC","MAC","Macao","false","Macao"
"MNG","MNG","Mongolia","false","Mongolia"
"NPL","NPL","Nepal","false","Nepal"
"CXR",,"Christmas Island","false","Christmas Island"
"CCK","CCK","Cocos (Keeling) Islands","false","Cocos (Keeling) Islands"
"ECU","ECU","Ecuador","false","Ecuador"
"PAN","PAN","Panama","false","Panama"
"COM",,"Comoros","false","Comoros"
"MYT","MYT","Mayotte","false","Mayotte"
"MOZ","MOZ","Mozambique","false","Mozambique"
"UGA","UGA","Uganda","false","Uganda"
"COK","COK","Cook Islands","false","Cook Islands"
"CRI","CRI","Costa Rica","false","Costa Rica"
"NIC","NIC","Nicaragua","false","Nicaragua"
"GIN","GIN","Guinea","false","Guinea"
"LBR","LBR","Liberia","false","Liberia"
"CYP",,"Cyprus","false","Cyprus"
"DNK","DNK","Denmark","false","Denmark"
"SWE","SWE","Sweden","false","Sweden"
"DJI","DJI","Djibouti","false","Djibouti"
"ERI","ERI","Eritrea","false","Eritrea"
"ETH","ETH","Ethiopia","false","Ethiopia"
"SOM","SOM","Somalia","false","Somalia"
"DMA","DMA","Dominica","false","Dominica"
"GLP","GLP","Guadeloupe","false","Guadeloupe"
"DOM","DOM","Dominican Republic","false","Dominican Republic"
"HTI","HTI","Haiti","false","Haiti"
"PRI","PRI","Puerto Rico","false","Puerto Rico"
"TLS","TLS","East Timor","false","East Timor"
"EGY","EGY","Egypt","false","Egypt"
"ISR","ISR","Israel","false","Israel"
"SLV","SLV","El Salvador","false","El Salvador"
"HND","HND","Honduras","false","Honduras"
"EST","EST","Estonia","false","Estonia"
"KEN","KEN","Kenya","false","Kenya"
"FLK",,"Falkland Islands (Malvinas)","false","Falkland Islands (Malvinas)"
"FRO","FRO","Faroe Islands","false","Faroe Islands"
"GBR","GBR","United Kingdom of Great Britain and Northern Ireland","false","United Kingdom of Great Britain and Northern Ireland"
"FJI","FJI","Fiji","false","Fiji"
"NCL","NCL","New Caledonia","false","New Caledonia"
"TUV","TUV","Tuvalu","false","Tuvalu"
"VUT","VUT","Vanuatu","false","Vanuatu"
"FIN","FIN","Finland","false","Finland"
"NOR","NOR","Norway","false","Norway"
"ESP","ESP","Spain","false","Spain"
"PYF",,"French Polynesia","false","French Polynesia"
"GMB","GMB","Gambia","false","Gambia"
"GIB","GIB","Gibraltar","false","Gibraltar"
"ISL","ISL","Iceland","false","Iceland"
"TTO","TTO","Trinidad and Tobago","false","Trinidad and Tobago"
"GUM","GUM","Guam","false","Guam"
"MNP","MNP","Northern Mariana Islands","false","Northern Mariana Islands"
"PLW","PLW","Palau","false","Palau"
"GGY",,"Guernsey","false","Guernsey"
"GNB","GNB","Guinea-Bissau","false","Guinea-Bissau"
"SLE","SLE","Sierra Leone","false","Sierra Leone"
"PNG","PNG","Papua New Guinea","false","Papua New Guinea"
"IRQ","IRQ","Iraq","false","Iraq"
"JOR","JOR","Jordan","false","Jordan"
"KWT","KWT","Kuwait","false","Kuwait"
"IRL","IRL","Ireland","false","Ireland"
"IMN",,"Isle of Man","false","Isle of Man"
"LBN","LBN","Lebanon","false","Lebanon"
"JPN",,"Japan","false","Japan"
"JEY",,"Jersey","false","Jersey"
"KIR",,"Kiribati","false","Kiribati"
"KOR","KOR","Korea, Republic of","false","Korea, Republic of"
"LSO","LSO","Lesotho","false","Lesotho"
"MDG","MDG","Madagascar","false","Madagascar"
"MWI","MWI","Malawi","false","Malawi"
"PHL","PHL","Philippines","false","Philippines"
"SGP","SGP","Singapore","false","Singapore"
"MDV",,"Maldives","false","Maldives"
"LKA","LKA","Sri Lanka","false","Sri Lanka"
"MLT",,"Malta","false","Malta"
"MHL",,"Marshall Islands","false","Marshall Islands"
"NRU","NRU","Nauru","false","Nauru"
"MTQ","MTQ","Martinique","false","Martinique"
"MUS",,"Mauritius","false","Mauritius"
"REU","REU","Réunion","false","Réunion"
"FSM","FSM","Micronesia (Federated States of)","false","Micronesia (Federated States of)"
"MDA","MDA","Moldova, Republic of","false","Moldova, Republic of"
"SWZ","SWZ","Swaziland","false","Swaziland"
"NZL","NZL","New Zealand","false","New Zealand"
"TON","TON","Tonga","false","Tonga"
"OMN","OMN","Oman","false","Oman"
"ARE","ARE","United Arab Emirates","false","United Arab Emirates"
"YEM","YEM","Yemen","false","Yemen"
"SLB","SLB","Solomon Islands","false","Solomon Islands"
"PRT","PRT","Portugal","false","Portugal"
"LCA",,"Saint Lucia","false","Saint Lucia"
"VCT","VCT","Saint Vincent and the Grenadines","false","Saint Vincent and the Grenadines"
"SPM",,"Saint Pierre and Miquelon","false","Saint Pierre and Miquelon"
"STP",,"Sao Tome and Principe","false","Sao Tome and Principe"
"SYC",,"Seychelles","false","Seychelles"
"TWN",,"Taiwan","false","Taiwan"
"TCA",,"Turks and Caicos Islands","false","Turks and Caicos Islands"
"VGB",,"Virgin Islands (British)","false","Virgin Islands (British)"
