,src,trg,nij,score
0,Afghanistan,Azerbaijan,0.09991578476,0.9814455857250266
1,Austria,Azerbaijan,0.1998315695,0.9262070870007447
2,Afghanistan,India,0.38041485490000004,0.9287801606815552
6,Bangladesh,India,0.4581101264,0.8557716875265373
8,Bhutan,India,0.2582785568,0.9788688882405755
17,Afghanistan,Iran (Islamic Republic of),0.3319130525,0.9598298968010659
34,Iran (Islamic Republic of),Kuwait,0.4318288373,0.8875254759374768
38,Afghanistan,Pakistan,0.2997473543,0.9288857750415995
48,Kuwait,Pakistan,0.35819434159999997,0.877883333550285
52,Oman,Pakistan,0.47508831619999997,0.9332788802085972
138,Tajikistan,Turkey,0.2582785568,0.8569919486463876
214,Sudan,United Arab Emirates,0.4318288373,0.8787421300620214
218,Tajikistan,United Arab Emirates,0.2582785568,0.8378177973500329
208,Somalia,United Arab Emirates,0.2804990701,0.8437397575439515
213,Sri Lanka,United Arab Emirates,0.4581101264,0.8473741087726048
223,Turkmenistan,United Arab Emirates,0.1998315695,0.8378177973500329
225,Ukraine,United Arab Emirates,0.4318288373,0.8332939251889808
273,Albania,Italy,0.575004101,0.9013877636867403
317,Montenegro,Slovenia,0.1998315695,0.945509014895536
321,Serbia,Slovenia,0.1998315695,0.9172650673044686
413,Tunisia,United Kingdom of Great Britain and Northern Ireland,0.5454833945,0.8074269616076668
354,Gibraltar,United Kingdom of Great Britain and Northern Ireland,0.35819434159999997,0.8841408141859834
356,Guernsey,United Kingdom of Great Britain and Northern Ireland,0.4455676098,0.7953450478921655
363,Isle of Man,United Kingdom of Great Britain and Northern Ireland,0.4318288373,0.8841408141859834
368,Jersey,United Kingdom of Great Britain and Northern Ireland,0.5639103203,0.8278564357522473
401,Sierra Leone,United Kingdom of Great Britain and Northern Ireland,0.1998315695,0.8311032803791495
403,Slovakia,United Kingdom of Great Britain and Northern Ireland,0.35819434159999997,0.8085948286320688
421,Kenya,Belgium,0.1998315695,0.8931315100724753
424,Uganda,Belgium,0.1998315695,0.988616670316448
422,Liberia,Belgium,0.15836277210000002,0.9836980053677855
423,Togo,Belgium,0.15836277210000002,0.9965288728463448
429,Antigua and Barbuda,Canada,0.1998315695,0.9078671724862551
433,Bahamas,Canada,0.2804990701,0.9528814576362635
434,Barbados,Canada,0.1998315695,0.9407783717014557
436,Bermuda,Canada,0.1998315695,0.9699546037061595
430,Aruba,Canada,0.1998315695,0.9322865631223424
446,Myanmar,China,0.399663139,0.9383127420997989
447,Cambodia,China,0.43886184219999996,0.9268455613389671
508,Iraq,Jordan,0.3697323384,0.9265951689006573
553,Libya,Malta,0.2804990701,0.9109566682353468
606,Luxembourg,Portugal,0.38041485490000004,0.8521160252246539
596,Cabo Verde,Portugal,0.4084020575,0.847888217214845
686,Kyrgyzstan,Russian Federation,0.663826105,0.8696640698222021
695,Mongolia,Russian Federation,0.1998315695,0.8647633879386533
699,Korea (Democratic People's Republic of),Russian Federation,0.09991578476,0.9436178769873985
811,Slovakia,Spain,0.2582785568,0.839087202408035
878,Libya,Tunisia,0.5421695013000001,0.9194412106042209
902,Bermuda,United States of America,0.4455676098,0.790351122246545
936,Jamaica,United States of America,0.6334510883,0.768119170220643
