,src,trg,nij,score
0,Afghanistan,Azerbaijan,0.09991578476,0.9814455857250266
1,Austria,Azerbaijan,0.1998315695,0.9262070870007447
2,Afghanistan,India,0.38041485490000004,0.9287801606815552
5,Bahrain,India,0.39036003979999995,0.8055023655072828
6,Bangladesh,India,0.4581101264,0.8557716875265373
8,Bhutan,India,0.2582785568,0.9788688882405755
16,Hong Kong,India,0.4696481232,0.756696778649365
17,Afghanistan,Iran (Islamic Republic of),0.3319130525,0.9598298968010659
21,Bahrain,Iran (Islamic Republic of),0.2582785568,0.8538181143225005
20,Azerbaijan,Iran (Islamic Republic of),0.2582785568,0.8784662447072413
28,Bahrain,Kuwait,0.2997473543,0.8253365123473778
29,Bangladesh,Kuwait,0.23199726780000002,0.8104860784669659
30,Egypt,Kuwait,0.4995789238,0.8021946326298827
33,India,Kuwait,0.4166413289,0.7545930132498759
34,Iran (Islamic Republic of),Kuwait,0.4318288373,0.8875254759374768
35,Iraq,Kuwait,0.1998315695,0.8677476289736047
37,Jordan,Kuwait,0.2582785568,0.8175996804310826
38,Afghanistan,Pakistan,0.2997473543,0.9288857750415995
39,Bahrain,Pakistan,0.35819434159999997,0.8308951827867069
46,Iran (Islamic Republic of),Pakistan,0.2582785568,0.7938567732048694
48,Kuwait,Pakistan,0.35819434159999997,0.877883333550285
52,Oman,Pakistan,0.47508831619999997,0.9332788802085972
131,Slovenia,Turkey,0.1998315695,0.7928924352822991
138,Tajikistan,Turkey,0.2582785568,0.8569919486463876
195,Pakistan,United Arab Emirates,0.6666806143,0.6704990083288027
214,Sudan,United Arab Emirates,0.4318288373,0.8787421300620214
218,Tajikistan,United Arab Emirates,0.2582785568,0.8378177973500329
220,Thailand,United Arab Emirates,0.4166413289,0.7183233964561427
206,Seychelles,United Arab Emirates,0.2997473543,0.8133105721431639
208,Somalia,United Arab Emirates,0.2804990701,0.8437397575439515
213,Sri Lanka,United Arab Emirates,0.4581101264,0.8473741087726048
223,Turkmenistan,United Arab Emirates,0.1998315695,0.8378177973500329
225,Ukraine,United Arab Emirates,0.4318288373,0.8332939251889808
238,Bosnia and Herzegovina,Germany,0.2997473543,0.8417547374854859
245,Croatia,Germany,0.6801622092,0.7149785973104396
242,Cabo Verde,Germany,0.3319130525,0.7654540204570768
257,Albania,Greece,0.1998315695,0.8718330684420083
264,Cyprus,Greece,0.4519752428,0.7695485675257175
273,Albania,Italy,0.575004101,0.9013877636867403
307,Albania,Slovenia,0.09991578476,0.8787539047012969
310,Bosnia and Herzegovina,Slovenia,0.09991578476,0.8800665045684929
316,North Macedonia,Slovenia,0.09991578476,0.9035460574747788
317,Montenegro,Slovenia,0.1998315695,0.945509014895536
319,Poland,Slovenia,0.1998315695,0.8294871089683414
321,Serbia,Slovenia,0.1998315695,0.9172650673044686
413,Tunisia,United Kingdom of Great Britain and Northern Ireland,0.5454833945,0.8074269616076668
414,Turkey,United Kingdom of Great Britain and Northern Ireland,0.7485543814,0.6467448737343305
415,Turkmenistan,United Kingdom of Great Britain and Northern Ireland,0.1998315695,0.7809699500027116
354,Gibraltar,United Kingdom of Great Britain and Northern Ireland,0.35819434159999997,0.8841408141859834
