	src	trg	nij	score
0	Afghanistan	Azerbaijan	0.09991578476	0.9814455857
1	Austria	Azerbaijan	0.1998315695	0.926207087
2	Afghanistan	India	0.3804148549	0.9287801607
6	Bangladesh	India	0.4581101264	0.8557716875
8	Bhutan	India	0.2582785568	0.9788688882
17	Afghanistan	Iran (Islamic Republic of)	0.3319130525	0.9598298968
34	Iran (Islamic Republic of)	Kuwait	0.4318288373	0.8875254759
38	Afghanistan	Pakistan	0.2997473543	0.928885775
48	Kuwait	Pakistan	0.3581943416	0.8778833336
52	Oman	Pakistan	0.4750883162	0.9332788802
138	Tajikistan	Turkey	0.2582785568	0.8569919486
214	Sudan	United Arab Emirates	0.4318288373	0.8787421301
218	Tajikistan	United Arab Emirates	0.2582785568	0.8378177974
208	Somalia	United Arab Emirates	0.2804990701	0.8437397575
213	Sri Lanka	United Arab Emirates	0.4581101264	0.8473741088
223	Turkmenistan	United Arab Emirates	0.1998315695	0.8378177974
225	Ukraine	United Arab Emirates	0.4318288373	0.8332939252
273	Albania	Italy	0.575004101	0.9013877637
317	Montenegro	Slovenia	0.1998315695	0.9455090149
321	Serbia	Slovenia	0.1998315695	0.9172650673
413	Tunisia	United Kingdom of Great Britain and Northern Ireland	0.5454833945	0.8074269616
354	Gibraltar	United Kingdom of Great Britain and Northern Ireland	0.3581943416	0.8841408142
356	Guernsey	United Kingdom of Great Britain and Northern Ireland	0.4455676098	0.7953450479
363	Isle of Man	United Kingdom of Great Britain and Northern Ireland	0.4318288373	0.8841408142
368	Jersey	United Kingdom of Great Britain and Northern Ireland	0.5639103203	0.8278564358
401	Sierra Leone	United Kingdom of Great Britain and Northern Ireland	0.1998315695	0.8311032804
403	Slovakia	United Kingdom of Great Britain and Northern Ireland	0.3581943416	0.8085948286
421	Kenya	Belgium	0.1998315695	0.8931315101
424	Uganda	Belgium	0.1998315695	0.9886166703
422	Liberia	Belgium	0.1583627721	0.9836980054
423	Togo	Belgium	0.1583627721	0.9965288728
429	Antigua and Barbuda	Canada	0.1998315695	0.9078671725
433	Bahamas	Canada	0.2804990701	0.9528814576
434	Barbados	Canada	0.1998315695	0.9407783717
436	Bermuda	Canada	0.1998315695	0.9699546037
430	Aruba	Canada	0.1998315695	0.9322865631
446	Myanmar	China	0.399663139	0.9383127421
447	Cambodia	China	0.4388618422	0.9268455613
508	Iraq	Jordan	0.3697323384	0.9265951689
553	Libya	Malta	0.2804990701	0.9109566682
606	Luxembourg	Portugal	0.3804148549	0.8521160252
596	Cabo Verde	Portugal	0.4084020575	0.8478882172
686	Kyrgyzstan	Russian Federation	0.663826105	0.8696640698
695	Mongolia	Russian Federation	0.1998315695	0.8647633879
699	Korea (Democratic People's Republic of)	Russian Federation	0.09991578476	0.943617877
811	Slovakia	Spain	0.2582785568	0.8390872024
878	Libya	Tunisia	0.5421695013	0.9194412106
902	Bermuda	United States of America	0.4455676098	0.7903511222
936	Jamaica	United States of America	0.6334510883	0.7681191702
970	Trinidad and Tobago	United States of America	0.4455676098	0.8128144826
952	Peru	United States of America	0.538777627	0.7767286269
907	Cayman Islands	United States of America	0.5040145971	0.789169951
928	Haiti	United States of America	0.4696481232	0.7826226421
929	Honduras	United States of America	0.5243507959	0.823125128
939	Kiribati	United States of America	0.1998315695	0.8837189964
947	Nicaragua	United States of America	0.3581943416	0.8245386872
959	Saint Kitts and Nevis	United States of America	0.2319972678	0.8837189964
961	Samoa	United States of America	0.09991578476	0.8837189964
972	Turks and Caicos Islands	United States of America	0.4803306397	0.8837189964
975	United Kingdom of Great Britain and Northern Ireland	United States of America	0.8672170655	0.8711846495
1294	Austria	Belarus	0.1998315695	0.9028048351
1293	Armenia	Belarus	0.09991578476	0.9678065067
1295	Azerbaijan	Belarus	0.09991578476	0.9404902304
1296	Armenia	Czechia	0.1998315695	0.9459390828
1298	Azerbaijan	Czechia	0.1998315695	0.9010016928
1299	Belarus	Czechia	0.1998315695	0.9087496233
1305	Azerbaijan	Kazakhstan	0.2997473543	0.903637872
1309	Georgia	Kazakhstan	0.1998315695	0.9080326426
1369	Turkey	Ukraine	0.531744622	0.8717744196
1407	Guam	Japan	0.5243507959	0.9330529124
1557	Korea, Republic of	Taiwan	0.5165571137	0.8611672544
1551	Macao	Taiwan	0.399663139	0.9050137944
1554	Palau	Taiwan	0.1998315695	0.9458192843
1603	Sri Lanka	Thailand	0.2997473543	0.8684927675
1606	Taiwan	Thailand	0.399663139	0.8362039602
1584	Lao People's Democratic Republic	Thailand	0.4318288373	0.8730832409
1636	Austria	Bosnia and Herzegovina	0.09991578476	0.9501921469
1637	Austria	Bulgaria	0.2582785568	0.8954101283
1638	Belgium	Bulgaria	0.2997473543	0.9006815657
1639	Austria	Croatia	0.3581943416	0.8933473089
1640	Belgium	Croatia	0.3319130525	0.8747492904
1641	Bosnia and Herzegovina	Croatia	0.09991578476	0.9613330802
1646	Bulgaria	Cyprus	0.2997473543	0.9470825149
1653	Croatia	Denmark	0.3581943416	0.882760651
1663	Estonia	Finland	0.2582785568	0.9250978909
1665	Azerbaijan	Georgia	0.1998315695	0.9291179891
1666	Belarus	Georgia	0.2582785568	0.94913314
1687	Iran (Islamic Republic of)	Iraq	0.2997473543	0.9282188638
1685	Georgia	Iraq	0.1998315695	0.9371995342
1774	Italy	Moldova, Republic of	0.4581101264	0.8594567252
1799	Lithuania	Norway	0.399663139	0.8738961592
1795	Iceland	Norway	0.345651825	0.8906710827
1789	Faroe Islands	Norway	0.1998315695	0.9761693852
1818	Moldova, Republic of	Romania	0.2582785568	0.9166181463
1826	Bosnia and Herzegovina	Serbia	0.2582785568	0.9097680164
1839	Montenegro	Serbia	0.2997473543	0.9309692845
1847	Czechia	Slovakia	0.3167255442	0.899622169
1091	Congo, Democratic Republic of the	South Africa	0.2582785568	0.9022393729
1104	Mauritius	South Africa	0.3319130525	0.9027687428
1113	Senegal	South Africa	0.2582785568	0.8804547443
1114	Seychelles	South Africa	0.1998315695	0.9182251551
1105	Mozambique	South Africa	0.4902758246	0.9662886933
1087	Botswana	South Africa	0.4166413289	0.9478276769
1103	Malawi	South Africa	0.2582785568	0.9269594927
1106	Namibia	South Africa	0.4166413289	0.9533845714
1110	Réunion	South Africa	0.09991578476	0.9759328708
1192	Brazil	Chile	0.3581943416	0.907961969
1189	Argentina	Chile	0.4244350111	0.9499095321
