	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	norm-log-prox
0	Afghanistan	China	AFG	Asia	CHN	4199	0.0002381519409	0.1198666841	0.06665607265
1	Afghanistan	Iran (Islamic Republic of)	AFG	Asia	IRN	1618	0.0006180469716	0.135337298	0.1341483659
2	Afghanistan	Pakistan	AFG	Asia	PAK	371	0.00269541779	0.1690273573	0.2811250386
3	Afghanistan	Pakistan	AFG	Asia	PAK	371	0.00269541779	0.1690273573	0.2811250386
4	Afghanistan	Tajikistan	AFG	Asia	TJK	444	0.002252252252	0.1640467159	0.2593964301
5	Afghanistan	Turkmenistan	AFG	Asia	TKM	1035	0.0009661835749	0.1440474542	0.1721474018
6	Afghanistan	Uzbekistan	AFG	Asia	UZB	774	0.001291989664	0.1503404036	0.1996011013
7	Albania	Greece	ALB	Europe	GRC	475	0.002105263158	0.1622503526	0.2515595932
8	Albania	Montenegro	ALB	Europe	MNE	157	0.006369426752	0.197775195	0.4065407135
9	Albania	North Macedonia	ALB	Europe	MKD	172	0.005813953488	0.1942692711	0.3912457263
10	Algeria	Libya	DZA	Africa	LBY	1059	0.0009442870633	0.1435733617	0.1700791202
11	Algeria	Mali	DZA	Africa	MLI	2888	0.0003462603878	0.1254969759	0.09121885382
12	Algeria	Mauritania	DZA	Africa	MRT	2740	0.0003649635036	0.1263310045	0.09485739763
13	Algeria	Morocco	DZA	Africa	MAR	958	0.001043841336	0.1456696539	0.1792244305
14	Algeria	Niger	DZA	Africa	NER	2561	0.0003904724717	0.1274185135	0.09960177787
15	Algeria	Tunisia	DZA	Africa	TUN	643	0.001555209953	0.1546516576	0.2184094319
16	Algeria	Western Sahara	DZA	Africa	ESH	1865	0.0005361930295	0.1327842028	0.1230102009
20	Angola	Congo	AGO	Africa	COG	510	0.001960784314	0.1604000833	0.2434875856
21	Angola	Congo, Democratic Republic of the	AGO	Africa	COD	500	0.002	0.1609111925	0.2457173567
22	Angola	Namibia	AGO	Africa	NAM	1606	0.0006226650062	0.1354737849	0.1347438053
23	Angola	Zambia	AGO	Africa	ZMB	1842	0.000542888165	0.133003357	0.1239662858
24	Anguilla	Antigua and Barbuda	AIA	Americas	ATG	177	0.005649717514	0.193193793	0.3865538322
25	Anguilla	Saint Kitts and Nevis	AIA	Americas	WSM	107	0.009345794393	0.2140031307	0.4773369084
26	Antigua and Barbuda	Saint Kitts and Nevis	ATG	Americas	WSM	14205	7.04E-05	0.104587749	0
27	Argentina	Bolivia	ARG	Americas	BOL	2213	0.0004518752824	0.1298346472	0.110142433
28	Argentina	Brazil	ARG	Americas	BRA	2370	0.0004219409283	0.1286894421	0.1051463468
29	Argentina	Chile	ARG	Americas	CHL	1131	0.000884173298	0.1422301623	0.1642192616
30	Argentina	Paraguay	ARG	Americas	PRY	1003	0.0009970089731	0.1447020781	0.1750032721
31	Argentina	Uruguay	ARG	Americas	URY	215	0.004651162791	0.1861976165	0.3560322254
32	Armenia	Azerbaijan	ARM	Asia	AZE	454	0.002202643172	0.1634495118	0.2567910601
33	Armenia	Georgia	ARM	Asia	GEO	29	0.03448275862	0.2969742044	0.8393075485
34	Armenia	Iran (Islamic Republic of)	ARM	Asia	IRN	825	0.001212121212	0.1489118257	0.1933687694
35	Armenia	Turkey	ARM	Asia	TUR	1004	0.0009960159363	0.1446812154	0.1749122564
36	Aruba	Venezuela (Bolivarian Republic of)	ABW	Americas	VEN	407	0.002457002457	0.166422215	0.2697598123
37	Australia	Indonesia	AUS	Oceania	IDN	5392	0.0001854599407	0.1163782396	0.05143734111
38	Australia	Norfolk Island	AUS	Oceania	NFK	1900	0.0005263157895	0.1324571879	0.1215835617
39	Austria	Czechia	AUT	Europe	CZE	259	0.003861003861	0.1799587802	0.3288146005
40	Austria	Germany	AUT	Europe	DEU	492	0.002032520325	0.1613299078	0.2475440495
41	Austria	Germany	AUT	Europe	DEU	705	0.001418439716	0.1524809147	0.2089393219
42	Austria	Hungary	AUT	Europe	HUN	238	0.004201680672	0.1827394988	0.3409457978
43	Austria	Italy	AUT	Europe	ITA	823	0.001215066829	0.1489656673	0.1936036596
44	Austria	Slovakia	AUT	Europe	SVK	62	0.01612903226	0.2422988705	0.6007802555
45	Austria	Slovenia	AUT	Europe	SVN	264	0.003787878788	0.1793416657	0.3261223689
46	Austria	Switzerland	AUT	Europe	CHE	713	0.001402524544	0.1522190164	0.2077967609
48	Azerbaijan	Georgia	AZE	Asia	GEO	425	0.002352941176	0.1652321987	0.2645682322
49	Azerbaijan	Iran (Islamic Republic of)	AZE	Asia	IRN	571	0.001751313485	0.1575450893	0.2310323531
50	Azerbaijan	Russian Federation	AZE	Asia	RUS	1897	0.0005271481286	0.1324849181	0.1217045378
51	Azerbaijan	Turkey	AZE	Asia	TUR	1458	0.0006858710562	0.1372717342	0.1425875613
52	Bahamas	United States of America	BHS	Americas	USA	1623	0.0006161429452	0.1352808076	0.1339019199
53	Bahamas	United States of America	BHS	Americas	USA	1623	0.0006161429452	0.1352808076	0.1339019199
54	Bahrain	Qatar	BHR	Asia	QAT	60	0.01666666667	0.2442393367	0.6092457573
55	Bahrain	Saudi Arabia	BHR	Asia	SAU	504	0.001984126984	0.1607051416	0.2448184363
56	Bangladesh	India	BGD	Asia	IND	1430	0.0006993006993	0.1376381079	0.1441859077
57	Bangladesh	India	BGD	Asia	IND	1430	0.0006993006993	0.1376381079	0.1441859077
58	Bangladesh	Myanmar	BGD	Asia	MMR	978	0.001022494888	0.1452325315	0.1773174348
59	Barbados	Grenada	BRB	Americas	GRD	259	0.003861003861	0.1799587802	0.3288146005
60	Belarus	Latvia	BLR	Europe	LVA	404	0.002475247525	0.1666273738	0.2706548404
61	Belarus	Lithuania	BLR	Europe	LTU	180	0.005555555556	0.1925685171	0.3838259956
62	Belarus	Poland	BLR	Europe	POL	454	0.002202643172	0.1634495118	0.2567910601
63	Belarus	Russian Federation	BLR	Europe	RUS	688	0.001453488372	0.1530505538	0.2114244363
64	Belarus	Ukraine	BLR	Europe	UKR	390	0.002564102564	0.1676123709	0.2749520011
65	Belgium	France	BEL	Europe	FRA	266	0.003759398496	0.1790992498	0.3250648021
66	Belgium	France	BEL	Europe	FRA	266	0.003759398496	0.1790992498	0.3250648021
67	Belgium	Germany	BEL	Europe	DEU	676	0.001479289941	0.1534638382	0.2132274361
68	Belgium	Germany	BEL	Europe	DEU	676	0.001479289941	0.1534638382	0.2132274361
69	Belgium	Germany	BEL	Europe	DEU	202	0.00495049505	0.1883853749	0.3655765672
70	Belgium	Germany	BEL	Europe	DEU	202	0.00495049505	0.1883853749	0.3655765672
71	Belgium	Luxembourg	BEL	Europe	LUX	136	0.007352941176	0.2035559231	0.43175979
72	Belgium	Luxembourg	BEL	Europe	LUX	136	0.007352941176	0.2035559231	0.43175979
73	Belgium	Netherlands	BEL	Europe	NLD	219	0.004566210046	0.1855607144	0.3532536682
74	Belgium	Netherlands	BEL	Europe	NLD	219	0.004566210046	0.1855607144	0.3532536682
75	Belize	Guatemala	BLZ	Americas	GTM	400	0.0025	0.1669041003	0.2718620912
76	Belize	Mexico	BLZ	Americas	MEX	1178	0.0008488964346	0.1414112459	0.1606466467
77	Benin	Burkina Faso	BEN	Africa	BFA	807	0.001239157373	0.1494026062	0.1955098546
78	Benin	Niger	BEN	Africa	NER	780	0.001282051282	0.1501660705	0.1988405534
79	Benin	Nigeria	BEN	Africa	NGA	74	0.01351351351	0.2323384936	0.5573269908
