,src,iso-alpha-3,region,trg,weights
0,Afghanistan,AFG,Asia,Azerbaijan,1
1,Afghanistan,AFG,Asia,India,1
2,Afghanistan,AFG,Asia,Iran (Islamic Republic of),1
3,Afghanistan,AFG,Asia,Kuwait,1
4,Afghanistan,AFG,Asia,Pakistan,1
5,Afghanistan,AFG,Asia,Tajikistan,1
6,Afghanistan,AFG,Asia,Turkey,1
7,Afghanistan,AFG,Asia,United Arab Emirates,1
48,Albania,ALB,Europe,Austria,1
49,Albania,ALB,Europe,Germany,1
50,Albania,ALB,Europe,Greece,1
51,Albania,ALB,Europe,Italy,1
52,Albania,ALB,Europe,Slovenia,1
53,Albania,ALB,Europe,Turkey,1
54,Albania,ALB,Europe,United Kingdom of Great Britain and Northern Ireland,1
69,Algeria,DZA,Africa,Austria,1
70,Algeria,DZA,Africa,Belgium,1
71,Algeria,DZA,Africa,Burkina Faso,1
72,Algeria,DZA,Africa,Canada,1
73,Algeria,DZA,Africa,China,1
74,Algeria,DZA,Africa,Côte d'Ivoire,1
75,Algeria,DZA,Africa,Egypt,1
76,Algeria,DZA,Africa,France,1
77,Algeria,DZA,Africa,Germany,1
78,Algeria,DZA,Africa,Italy,1
79,Algeria,DZA,Africa,Jordan,1
80,Algeria,DZA,Africa,Lebanon,1
81,Algeria,DZA,Africa,Libya,1
82,Algeria,DZA,Africa,Mali,1
83,Algeria,DZA,Africa,Malta,1
84,Algeria,DZA,Africa,Morocco,1
85,Algeria,DZA,Africa,Niger,1
86,Algeria,DZA,Africa,Portugal,1
87,Algeria,DZA,Africa,Qatar,1
88,Algeria,DZA,Africa,Russian Federation,1
89,Algeria,DZA,Africa,Saudi Arabia,1
90,Algeria,DZA,Africa,Senegal,1
91,Algeria,DZA,Africa,Spain,1
92,Algeria,DZA,Africa,Switzerland,1
93,Algeria,DZA,Africa,Tunisia,1
94,Algeria,DZA,Africa,Turkey,1
95,Algeria,DZA,Africa,United Arab Emirates,1
96,Algeria,DZA,Africa,United Kingdom of Great Britain and Northern Ireland,1
265,American Samoa,ASM,Oceania,United States of America,1
268,Angola,AGO,Africa,Brazil,1
269,Angola,AGO,Africa,China,1
270,Angola,AGO,Africa,Congo,1
271,Angola,AGO,Africa,"Congo, Democratic Republic of the",1
272,Angola,AGO,Africa,Cuba,1
273,Angola,AGO,Africa,Ethiopia,1
274,Angola,AGO,Africa,France,1
275,Angola,AGO,Africa,Germany,1
276,Angola,AGO,Africa,Kenya,1
277,Angola,AGO,Africa,Morocco,1
278,Angola,AGO,Africa,Mozambique,1
279,Angola,AGO,Africa,Namibia,1
280,Angola,AGO,Africa,Netherlands,1
281,Angola,AGO,Africa,Portugal,1
282,Angola,AGO,Africa,Sao Tome and Principe,1
283,Angola,AGO,Africa,South Africa,1
284,Angola,AGO,Africa,Spain,1
285,Angola,AGO,Africa,United Arab Emirates,1
286,Angola,AGO,Africa,United Kingdom of Great Britain and Northern Ireland,1
287,Angola,AGO,Africa,Zimbabwe,1
