,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
0,Afghanistan,Azerbaijan,1,0.0,0.0,AFG,Asia,AZE,69.0,9
1,Austria,Azerbaijan,2,0.6931471805599453,0.11090398820673722,AUT,Europe,AZE,69.0,9
2,Belarus,Azerbaijan,1,0.0,0.0,BLR,Europe,AZE,69.0,9
3,China,Azerbaijan,2,0.6931471805599453,0.11090398820673722,CHN,Asia,AZE,69.0,9
4,Czechia,Azerbaijan,2,0.6931471805599453,0.11090398820673722,CZE,Europe,AZE,69.0,9
5,France,Azerbaijan,2,0.6931471805599453,0.11090398820673722,FRA,Europe,AZE,69.0,9
6,Georgia,Azerbaijan,2,0.6931471805599453,0.11090398820673722,GEO,Asia,AZE,69.0,9
7,Germany,Azerbaijan,3,1.0986122886681098,0.17577866248809984,DEU,Europe,AZE,69.0,9
8,Hungary,Azerbaijan,1,0.0,0.0,HUN,Europe,AZE,69.0,9
9,Iran (Islamic Republic of),Azerbaijan,3,1.0986122886681098,0.17577866248809984,IRN,Asia,AZE,69.0,9
10,Israel,Azerbaijan,1,0.0,0.0,ISR,Asia,AZE,69.0,9
11,Italy,Azerbaijan,4,1.3862943611198906,0.22180797641347444,ITA,Europe,AZE,69.0,9
12,Kazakhstan,Azerbaijan,4,1.3862943611198906,0.22180797641347444,KAZ,Asia,AZE,69.0,9
13,Latvia,Azerbaijan,2,0.6931471805599453,0.11090398820673722,LVA,Europe,AZE,69.0,9
14,Qatar,Azerbaijan,2,0.6931471805599453,0.11090398820673722,QAT,Asia,AZE,69.0,9
15,Russian Federation,Azerbaijan,21,3.044522437723423,0.48712551965610207,RUS,Europe,AZE,69.0,9
16,Turkey,Azerbaijan,7,1.9459101490553132,0.3113468571680022,TUR,Asia,AZE,69.0,9
17,Turkmenistan,Azerbaijan,2,0.6931471805599453,0.11090398820673722,TKM,Asia,AZE,69.0,9
18,Ukraine,Azerbaijan,3,1.0986122886681098,0.17577866248809984,UKR,Europe,AZE,69.0,9
19,United Arab Emirates,Azerbaijan,2,0.6931471805599453,0.11090398820673722,ARE,Asia,AZE,69.0,9
20,United Kingdom of Great Britain and Northern Ireland,Azerbaijan,2,0.6931471805599453,0.11090398820673722,GBR,Europe,AZE,69.0,9
21,Uzbekistan,Azerbaijan,1,0.0,0.0,UZB,Asia,AZE,69.0,9
22,Afghanistan,India,7,1.9459101490553132,0.3113468571680022,AFG,Asia,IND,59.0,8
23,Australia,India,2,0.6931471805599453,0.11090398820673722,AUS,Oceania,IND,59.0,8
24,Austria,India,2,0.6931471805599453,0.11090398820673722,AUT,Europe,IND,59.0,8
25,Bahrain,India,7,1.9459101490553132,0.3113468571680022,BHR,Asia,IND,59.0,8
26,Bangladesh,India,12,2.4849066497880004,0.3975866389015743,BGD,Asia,IND,59.0,8
27,Belgium,India,4,1.3862943611198906,0.22180797641347444,BEL,Europe,IND,59.0,8
28,Bhutan,India,3,1.0986122886681098,0.17577866248809984,BTN,Asia,IND,59.0,8
29,Myanmar,India,1,0.0,0.0,MMR,Asia,IND,59.0,8
30,China,India,6,1.791759469228055,0.28668265069483706,CHN,Asia,IND,59.0,8
31,Egypt,India,2,0.6931471805599453,0.11090398820673722,EGY,Africa,IND,59.0,8
32,Ethiopia,India,4,1.3862943611198906,0.22180797641347444,ETH,Africa,IND,59.0,8
33,Finland,India,1,0.0,0.0,FIN,Europe,IND,59.0,8
34,France,India,4,1.3862943611198906,0.22180797641347444,FRA,Europe,IND,59.0,8
35,Germany,India,14,2.6390573296152584,0.4222508453747394,DEU,Europe,IND,59.0,8
36,Hong Kong,India,13,2.5649493574615367,0.4103935228604617,HKG,Asia,IND,59.0,8
37,Iran (Islamic Republic of),India,2,0.6931471805599453,0.11090398820673722,IRN,Asia,IND,59.0,8
38,Israel,India,1,0.0,0.0,ISR,Asia,IND,59.0,8
39,Italy,India,2,0.6931471805599453,0.11090398820673722,ITA,Europe,IND,59.0,8
40,Japan,India,5,1.6094379124341003,0.25751108605227985,JPN,Asia,IND,59.0,8
41,Jordan,India,2,0.6931471805599453,0.11090398820673722,JOR,Asia,IND,59.0,8
42,Kazakhstan,India,1,0.0,0.0,KAZ,Asia,IND,59.0,8
43,Kenya,India,3,1.0986122886681098,0.17577866248809984,KEN,Africa,IND,59.0,8
44,Kuwait,India,9,2.1972245773362196,0.3515573249761997,KWT,Asia,IND,59.0,8
45,Malaysia,India,20,2.995732273553991,0.4793190624657543,MYS,Asia,IND,59.0,8
46,Maldives,India,5,1.6094379124341003,0.25751108605227985,MDV,Asia,IND,59.0,8
47,Mauritius,India,6,1.791759469228055,0.28668265069483706,MUS,Africa,IND,59.0,8
48,Nepal,India,8,2.0794415416798357,0.33271196462021163,NPL,Asia,IND,59.0,8
49,Netherlands,India,3,1.0986122886681098,0.17577866248809984,NLD,Europe,IND,59.0,8
50,Oman,India,22,3.091042453358316,0.4945687516421019,OMN,Asia,IND,59.0,8
51,Pakistan,India,3,1.0986122886681098,0.17577866248809984,PAK,Asia,IND,59.0,8
52,Qatar,India,16,2.772588722239781,0.4436159528269489,QAT,Asia,IND,59.0,8
53,Réunion,India,1,0.0,0.0,REU,Africa,IND,59.0,8
54,Russian Federation,India,2,0.6931471805599453,0.11090398820673722,RUS,Europe,IND,59.0,8
55,Saudi Arabia,India,35,3.5553480614894135,0.568857943220282,SAU,Asia,IND,59.0,8
56,Singapore,India,34,3.5263605246161616,0.5642199189482415,SGP,Asia,IND,59.0,8
57,South Africa,India,3,1.0986122886681098,0.17577866248809984,ZAF,Africa,IND,59.0,8
58,"Korea, Republic of",India,3,1.0986122886681098,0.17577866248809984,KOR,Asia,IND,59.0,8
59,Sri Lanka,India,22,3.091042453358316,0.4945687516421019,LKA,Asia,IND,59.0,8
60,Switzerland,India,4,1.3862943611198906,0.22180797641347444,CHE,Europe,IND,59.0,8
61,Taiwan,India,2,0.6931471805599453,0.11090398820673722,TWN,Asia,IND,59.0,8
62,Tajikistan,India,1,0.0,0.0,TJK,Asia,IND,59.0,8
63,Thailand,India,17,2.833213344056216,0.4533159307415043,THA,Asia,IND,59.0,8
64,Turkey,India,4,1.3862943611198906,0.22180797641347444,TUR,Asia,IND,59.0,8
65,Turkmenistan,India,2,0.6931471805599453,0.11090398820673722,TKM,Asia,IND,59.0,8
66,United Arab Emirates,India,81,4.394449154672439,0.7031146499523994,ARE,Asia,IND,59.0,8
67,United Kingdom of Great Britain and Northern Ireland,India,15,2.70805020110221,0.4332897485403797,GBR,Europe,IND,59.0,8
68,United States of America,India,5,1.6094379124341003,0.25751108605227985,USA,Americas,IND,59.0,8
69,Uzbekistan,India,2,0.6931471805599453,0.11090398820673722,UZB,Asia,IND,59.0,8
70,Yemen,India,1,0.0,0.0,YEM,Asia,IND,59.0,8
71,Afghanistan,Iran (Islamic Republic of),5,1.6094379124341003,0.25751108605227985,AFG,Asia,IRN,40.0,5
72,Armenia,Iran (Islamic Republic of),1,0.0,0.0,ARM,Asia,IRN,40.0,5
73,Austria,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,AUT,Europe,IRN,40.0,5
74,Azerbaijan,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,AZE,Asia,IRN,40.0,5
75,Bahrain,Iran (Islamic Republic of),3,1.0986122886681098,0.17577866248809984,BHR,Asia,IRN,40.0,5
76,Belarus,Iran (Islamic Republic of),1,0.0,0.0,BLR,Europe,IRN,40.0,5
77,China,Iran (Islamic Republic of),4,1.3862943611198906,0.22180797641347444,CHN,Asia,IRN,40.0,5
78,France,Iran (Islamic Republic of),1,0.0,0.0,FRA,Europe,IRN,40.0,5
79,Germany,Iran (Islamic Republic of),5,1.6094379124341003,0.25751108605227985,DEU,Europe,IRN,40.0,5
80,India,Iran (Islamic Republic of),2,0.6931471805599453,0.11090398820673722,IND,Asia,IRN,40.0,5
