,Country,Neighbour,iso-alpha-3,region
0,Afghanistan,China,AFG,Asia
1,Afghanistan,Iran (Islamic Republic of),AFG,Asia
2,Afghanistan,Pakistan,AFG,Asia
3,Afghanistan,Tajikistan,AFG,Asia
4,Afghanistan,Turkmenistan,AFG,Asia
5,Afghanistan,Uzbekistan,AFG,Asia
8,Albania,Greece,ALB,Europe
9,Albania,Montenegro,ALB,Europe
10,Albania,North Macedonia,ALB,Europe
11,Algeria,Libya,DZA,Africa
12,Algeria,Mali,DZA,Africa
13,Algeria,Mauritania,DZA,Africa
14,Algeria,Morocco,DZA,Africa
15,Algeria,Niger,DZA,Africa
16,Algeria,Tunisia,DZA,Africa
17,Algeria,Western Sahara,DZA,Africa
18,American Samoa,Niue,ASM,Oceania
19,American Samoa,Samoa,ASM,Oceania
20,American Samoa,Wallis and Futuna,ASM,Oceania
23,Angola,Congo,AGO,Africa
24,Angola,"Congo, Democratic Republic of the",AGO,Africa
25,Angola,Namibia,AGO,Africa
26,Angola,Zambia,AGO,Africa
27,Anguilla,Antigua and Barbuda,AIA,Americas
28,Anguilla,Saint Kitts and Nevis,AIA,Americas
32,Antigua and Barbuda,Saint Kitts and Nevis,ATG,Americas
33,Argentina,Bolivia,ARG,Americas
34,Argentina,Brazil,ARG,Americas
35,Argentina,Chile,ARG,Americas
36,Argentina,Paraguay,ARG,Americas
37,Argentina,Uruguay,ARG,Americas
38,Armenia,Azerbaijan,ARM,Asia
39,Armenia,Georgia,ARM,Asia
40,Armenia,Iran (Islamic Republic of),ARM,Asia
41,Armenia,Turkey,ARM,Asia
43,Aruba,Venezuela (Bolivarian Republic of),ABW,Americas
44,Australia,Indonesia,AUS,Oceania
45,Australia,Norfolk Island,AUS,Oceania
46,Austria,Czechia,AUT,Europe
47,Austria,Germany,AUT,Europe
48,Austria,Hungary,AUT,Europe
49,Austria,Italy,AUT,Europe
51,Austria,Slovakia,AUT,Europe
52,Austria,Slovenia,AUT,Europe
53,Austria,Switzerland,AUT,Europe
54,Azerbaijan,Armenia,AZE,Asia
55,Azerbaijan,Georgia,AZE,Asia
56,Azerbaijan,Iran (Islamic Republic of),AZE,Asia
57,Azerbaijan,Russian Federation,AZE,Asia
58,Azerbaijan,Turkey,AZE,Asia
59,Bahamas,United States of America,BHS,Americas
60,Bahrain,Qatar,BHR,Asia
61,Bahrain,Saudi Arabia,BHR,Asia
62,Bangladesh,India,BGD,Asia
63,Bangladesh,Myanmar,BGD,Asia
64,Barbados,Grenada,BRB,Americas
65,Belarus,Latvia,BLR,Europe
66,Belarus,Lithuania,BLR,Europe
67,Belarus,Poland,BLR,Europe
68,Belarus,Russian Federation,BLR,Europe
69,Belarus,Ukraine,BLR,Europe
70,Belgium,France,BEL,Europe
71,Belgium,Germany,BEL,Europe
72,Belgium,Luxembourg,BEL,Europe
73,Belgium,Netherlands,BEL,Europe
74,Belize,Guatemala,BLZ,Americas
75,Belize,Mexico,BLZ,Americas
76,Benin,Burkina Faso,BEN,Africa
77,Benin,Niger,BEN,Africa
78,Benin,Nigeria,BEN,Africa
79,Benin,Togo,BEN,Africa
80,Bermuda,United States of America,BMU,Americas
81,Bhutan,China,BTN,Asia
82,Bhutan,India,BTN,Asia
83,Bolivia,Argentina,BOL,Americas
84,Bolivia,Brazil,BOL,Americas
85,Bolivia,Chile,BOL,Americas
86,Bolivia,Paraguay,BOL,Americas
87,Bolivia,Peru,BOL,Americas
90,Bosnia and Herzegovina,Croatia,BIH,Europe
91,Bosnia and Herzegovina,Montenegro,BIH,Europe
92,Bosnia and Herzegovina,Serbia,BIH,Europe
93,Botswana,Namibia,BWA,Africa
94,Botswana,South Africa,BWA,Africa
95,Botswana,Zambia,BWA,Africa
96,Botswana,Zimbabwe,BWA,Africa
98,Brazil,Argentina,BRA,Americas
99,Brazil,Bolivia,BRA,Americas
100,Brazil,Colombia,BRA,Americas
101,Brazil,French Guiana,BRA,Americas
