,src,trg,iso_code_src,region,iso_code_trg,days_to_first_100_cases,weeks_since_100_cases
0,Afghanistan,China,AFG,Asia,CHN,1.0,0
1,Bhutan,China,BTN,Asia,CHN,1.0,0
2,Hong Kong,China,HKG,Asia,CHN,1.0,0
3,India,China,IND,Asia,CHN,1.0,0
4,Kazakhstan,China,KAZ,Asia,CHN,1.0,0
5,Korea (Democratic People's Republic of),China,PRK,Asia,CHN,1.0,0
6,Kyrgyzstan,China,KGZ,Asia,CHN,1.0,0
7,Lao People's Democratic Republic,China,LAO,Asia,CHN,1.0,0
8,Macao,China,MAC,Asia,CHN,1.0,0
9,Mongolia,China,MNG,Asia,CHN,1.0,0
10,Myanmar,China,MMR,Asia,CHN,1.0,0
11,Nepal,China,NPL,Asia,CHN,1.0,0
12,Pakistan,China,PAK,Asia,CHN,1.0,0
13,Russian Federation,China,RUS,Europe,CHN,1.0,0
14,Taiwan,China,TWN,Asia,CHN,1.0,0
15,Tajikistan,China,TJK,Asia,CHN,1.0,0
16,Viet Nam,China,VNM,Asia,CHN,1.0,0
17,Afghanistan,Iran (Islamic Republic of),AFG,Asia,IRN,40.0,5
18,Armenia,Iran (Islamic Republic of),ARM,Asia,IRN,40.0,5
19,Azerbaijan,Iran (Islamic Republic of),AZE,Asia,IRN,40.0,5
20,Iraq,Iran (Islamic Republic of),IRQ,Asia,IRN,40.0,5
21,Pakistan,Iran (Islamic Republic of),PAK,Asia,IRN,40.0,5
22,Turkey,Iran (Islamic Republic of),TUR,Asia,IRN,40.0,5
23,Turkmenistan,Iran (Islamic Republic of),TKM,Asia,IRN,40.0,5
24,Afghanistan,Pakistan,AFG,Asia,PAK,59.0,8
25,China,Pakistan,CHN,Asia,PAK,59.0,8
26,India,Pakistan,IND,Asia,PAK,59.0,8
27,Iran (Islamic Republic of),Pakistan,IRN,Asia,PAK,59.0,8
28,Afghanistan,Tajikistan,AFG,Asia,TJK,108.0,15
29,China,Tajikistan,CHN,Asia,TJK,108.0,15
30,Kyrgyzstan,Tajikistan,KGZ,Asia,TJK,108.0,15
31,Uzbekistan,Tajikistan,UZB,Asia,TJK,108.0,15
32,Afghanistan,Uzbekistan,AFG,Asia,UZB,70.0,10
33,Kazakhstan,Uzbekistan,KAZ,Asia,UZB,70.0,10
34,Kyrgyzstan,Uzbekistan,KGZ,Asia,UZB,70.0,10
35,Tajikistan,Uzbekistan,TJK,Asia,UZB,70.0,10
36,Turkmenistan,Uzbekistan,TKM,Asia,UZB,70.0,10
37,Albania,Greece,ALB,Europe,GRC,55.0,7
38,Bulgaria,Greece,BGR,Europe,GRC,55.0,7
39,Cyprus,Greece,CYP,Asia,GRC,55.0,7
40,North Macedonia,Greece,MKD,Europe,GRC,55.0,7
41,Turkey,Greece,TUR,Asia,GRC,55.0,7
42,Albania,Montenegro,ALB,Europe,MNE,74.0,10
43,Bosnia and Herzegovina,Montenegro,BIH,Europe,MNE,74.0,10
44,Croatia,Montenegro,HRV,Europe,MNE,74.0,10
45,Serbia,Montenegro,SRB,Europe,MNE,74.0,10
46,Albania,North Macedonia,ALB,Europe,MKD,65.0,9
47,Bulgaria,North Macedonia,BGR,Europe,MKD,65.0,9
48,Greece,North Macedonia,GRC,Europe,MKD,65.0,9
49,Serbia,North Macedonia,SRB,Europe,MKD,65.0,9
50,Algeria,Libya,DZA,Africa,LBY,132.0,18
51,Chad,Libya,TCD,Africa,LBY,132.0,18
52,Egypt,Libya,EGY,Africa,LBY,132.0,18
53,Niger,Libya,NER,Africa,LBY,132.0,18
54,Sudan,Libya,SDN,Africa,LBY,132.0,18
55,Tunisia,Libya,TUN,Africa,LBY,132.0,18
56,Algeria,Mali,DZA,Africa,MLI,85.0,12
57,Burkina Faso,Mali,BFA,Africa,MLI,85.0,12
58,Côte d'Ivoire,Mali,CIV,Africa,MLI,85.0,12
59,Guinea,Mali,GIN,Africa,MLI,85.0,12
60,Mauritania,Mali,MRT,Africa,MLI,85.0,12
61,Niger,Mali,NER,Africa,MLI,85.0,12
62,Senegal,Mali,SEN,Africa,MLI,85.0,12
63,Algeria,Mauritania,DZA,Africa,MRT,124.0,17
64,Cabo Verde,Mauritania,CPV,Africa,MRT,124.0,17
65,Mali,Mauritania,MLI,Africa,MRT,124.0,17
66,Senegal,Mauritania,SEN,Africa,MRT,124.0,17
67,Western Sahara,Mauritania,ESH,Africa,MRT,124.0,17
68,Algeria,Morocco,DZA,Africa,MAR,65.0,9
69,Spain,Morocco,ESP,Europe,MAR,65.0,9
