	src	trg	nij	score
5	BHR	IND	0.39036003983612827	0.8043627462950971
6	BGD	IND	0.4581101263599362	0.8470936979167538
12	ETH	IND	0.2997473542834088	0.8261717753644615
16	HKG	IND	0.4696481231604815	0.798418218522615
30	EGY	KWT	0.4995789238056814	0.8370260621551642
34	IRN	KWT	0.4318288372818735	0.8100002267866029
52	OMN	PAK	0.4750883162295821	0.8239631312385627
59	RUS	TJK	0.7153841634029786	0.8293853257930355
62	DZA	TUR	0.3581943415987999	0.8390721631306686
63	AUT	TUR	0.5243507958752744	0.854995536622359
64	AZE	TUR	0.3697323383993452	0.8052787696013257
69	BIH	TUR	0.2997473542834088	0.8415418708354627
77	CYP	TUR	0.4803306396626967	0.8604011470881728
85	FRA	TUR	0.5695639079216178	0.837918234278617
86	GEO	TUR	0.3319130525207372	0.8007027848440109
87	DEU	TUR	0.7993262780890903	0.8784344867515883
93	IRN	TUR	0.4803306396626967	0.8438916989817562
117	NLD	TUR	0.5518910275161935	0.8260299961275727
149	BHR	ARE	0.4950024122130306	0.8763395494345196
150	BGD	ARE	0.4244350111141381	0.8232488391233919
162	EGY	ARE	0.4455676097647697	0.8008476310824546
171	IND	ARE	0.7333668730672457	0.8952828383946816
173	IRN	ARE	0.5487228119126556	0.8821032790741612
178	JOR	ARE	0.41664132891419103	0.8286401701807588
180	KEN	ARE	0.41664132891419103	0.8333609627023235
181	KWT	ARE	0.4519752427550571	0.8263340733461207
183	LBN	ARE	0.3581943415987999	0.8304693649523828
187	MDV	ARE	0.2997473542834088	0.7973476704715026
191	NPL	ARE	0.2997473542834088	0.8406336838207668
194	OMN	ARE	0.5353040129400147	0.8623783322760392
195	PAK	ARE	0.666680614303175	0.8300900994898612
199	QAT	ARE	0.43886184221695146	0.8781171028907121
203	SAU	ARE	0.6533651842895579	0.8586734066991566
214	SDN	ARE	0.4318288372818735	0.8999168680404926
220	THA	ARE	0.41664132891419103	0.7915100565818047
225	UKR	ARE	0.4318288372818735	0.8635954018352577
233	AUT	DEU	0.7060138466567705	0.9269364681951862
236	BLR	DEU	0.2997473542834088	0.8372992561457429
237	BEL	DEU	0.4902758245972646	0.8115213424600736
238	BIH	DEU	0.2997473542834088	0.8415418708354627
240	BGR	DEU	0.4455676097647697	0.8607919588359856
241	CAN	DEU	0.5243507958752744	0.8506600551725966
242	CPV	DEU	0.3319130525207372	0.8196731230112948
245	HRV	DEU	0.6801622091849692	0.9056764536365822
247	CYP	DEU	0.3996631390445452	0.803537470491519
248	CZE	DEU	0.4803306396626967	0.8156457631174304
249	DNK	DEU	0.5723096672670466	0.8552863234487319
251	EGY	DEU	0.5165571136753273	0.8470141604803119
254	FIN	DEU	0.5243507958752744	0.871283020294349
255	FRA	DEU	0.7386091965003603	0.9063523505286435
259	AUT	GRC	0.6164728984364636	0.8974587827285435
260	BEL	GRC	0.5243507958752744	0.8324806618495755
264	CYP	GRC	0.4519752427550571	0.8425014320294543
270	FRA	GRC	0.5949181969741668	0.8506822193132788
272	DEU	GRC	0.8410763400283291	0.8913083739573364
273	ALB	ITA	0.5750041009907184	0.9484961563364177
277	AUT	ITA	0.580246424423833	0.882458769504797
281	BEL	ITA	0.6470279876589332	0.8906472039781874
284	BGR	ITA	0.3804148549015604	0.8120629750427129
290	CZE	ITA	0.5243507958752744	0.842878301414788
291	DNK	ITA	0.5387776269780877	0.8374734711623244
297	FRA	ITA	0.8207401412332156	0.928365003178558
299	DEU	ITA	0.8780501806259929	0.901582047423706
300	GRC	ITA	0.5609981402808482	0.8216050555025378
302	HUN	ITA	0.4455676097647697	0.8770954534481092
305	IRL	ITA	0.4995789238056814	0.8213598555568684
306	ISR	ITA	0.41664132891419103	0.8121008130054566
327	AUT	GBR	0.4455676097647697	0.805323576984192
332	BRB	GBR	0.3167255441530548	0.8743010164922544
334	BEL	GBR	0.5083178422266478	0.8229206428070492
337	BGR	GBR	0.4318288372818735	0.8516436081973381
338	CAN	GBR	0.636967067666216	0.9016618028343725
339	CPV	GBR	0.41664132891419103	0.8883587628807068
341	HRV	GBR	0.6124121226611614	0.879195186195831
343	CYP	GBR	0.6708591099765523	0.9388900422084251
344	CZE	GBR	0.4995789238056814	0.8280725154704286
345	DNK	GBR	0.545483394525906	0.8411983789830639
347	EGY	GBR	0.6060980618956342	0.8906013237065841
350	FIN	GBR	0.41664132891419103	0.8014240130446058
351	FRA	GBR	0.8292218820530798	0.9303238685857282
352	DEU	GBR	0.7680027322403992	0.8678004847376484
355	GRC	GBR	0.7637418898026106	0.9071863348407836
358	HUN	GBR	0.4902758245972646	0.9017312672750921
359	ISL	GBR	0.4318288372818735	0.8365035113176439
362	IRL	GBR	0.6971403990546151	0.9132299981494106
365	ITA	GBR	0.8132696609784936	0.8867165222072342
368	JEY	GBR	0.5639103202803382	0.8795442755687434
