	src	trg	nij	score
0	AFG	AZE	0.09991578476113627	0.28677221703637323
1	AUT	AZE	0.19983156952227255	0.5170229921826375
2	AFG	IND	0.3804148549015604	0.7541753248253392
3	AUS	IND	0.19983156952227255	0.4452183461422877
4	AUT	IND	0.19983156952227255	0.5170229921826375
5	BHR	IND	0.39036003983612827	0.8043627462950971
6	BGD	IND	0.4581101263599362	0.8470936979167538
7	BEL	IND	0.3167255441530548	0.657760516235214
8	BTN	IND	0.25827855683766365	0.7210570543488702
9	MMR	IND	0.09991578476113627	0.35782641860823716
10	CHN	IND	0.3581943415987999	0.6011761827299023
11	EGY	IND	0.19983156952227255	0.510821425041202
12	ETH	IND	0.2997473542834088	0.8261717753644615
13	FIN	IND	0.09991578476113627	0.31562878189595855
14	FRA	IND	0.2997473542834088	0.6141111368779626
15	DEU	IND	0.4696481231604815	0.7077039984347071
16	HKG	IND	0.4696481231604815	0.798418218522615
17	AFG	IRN	0.3319130525207372	0.7002790334922265
18	ARM	IRN	0.09991578476113627	0.4009170038109624
19	AUT	IRN	0.19983156952227255	0.5170229921826375
20	AZE	IRN	0.25827855683766365	0.6763087879657286
21	BHR	IRN	0.25827855683766365	0.6555530007556079
22	BLR	IRN	0.09991578476113627	0.4457538552129643
23	CHN	IRN	0.2997473542834088	0.5361096284938814
24	FRA	IRN	0.09991578476113627	0.27099758113444294
25	DEU	IRN	0.3319130525207372	0.5797411630468706
26	IND	IRN	0.19983156952227255	0.4510383706728721
27	AFG	KWT	0.09991578476113627	0.28677221703637323
28	BHR	KWT	0.2997473542834088	0.7111523893319572
29	BGD	KWT	0.2319972677596009	0.6040786631354698
30	EGY	KWT	0.4995789238056814	0.8370260621551642
31	ETH	KWT	0.2319972677596009	0.7397900846753059
32	DEU	KWT	0.19983156952227255	0.4058071079285619
33	IND	KWT	0.41664132891419103	0.7171891705393927
34	IRN	KWT	0.4318288372818735	0.8100002267866029
35	IRQ	KWT	0.19983156952227255	0.4169283546492917
36	ITA	KWT	0.19983156952227255	0.40830132131104324
37	JOR	KWT	0.25827855683766365	0.6587208585306337
38	AFG	PAK	0.2997473542834088	0.6593704428265373
39	BHR	PAK	0.3581943415987999	0.7751649624308985
40	BGD	PAK	0.09991578476113627	0.3251105768971223
41	CAN	PAK	0.25827855683766365	0.604567492609022
42	CHN	PAK	0.2997473542834088	0.5361096284938814
43	DNK	PAK	0.09991578476113627	0.28127425575335163
44	FRA	PAK	0.15836277207652738	0.39442893994899
45	IND	PAK	0.25827855683766365	0.540315828183096
46	IRN	PAK	0.25827855683766365	0.6227207999234716
47	ITA	PAK	0.15836277207652738	0.33987116269551154
48	KWT	PAK	0.3581943415987999	0.7456250720110943
49	MYS	PAK	0.25827855683766365	0.5792927877459912
50	NPL	PAK	0.09991578476113627	0.42896167569984145
51	NOR	PAK	0.09991578476113627	0.26776737217737634
52	OMN	PAK	0.4750883162295821	0.8239631312385627
53	CHN	TJK	0.2997473542834088	0.5361096284938814
55	IND	TJK	0.09991578476113627	0.25807045277573293
56	IRN	TJK	0.25827855683766365	0.6227207999234716
57	KAZ	TJK	0.2804990701404241	0.6357397864483001
58	KGZ	TJK	0.19983156952227255	0.4878757247458867
59	RUS	TJK	0.7153841634029786	0.8293853257930355
60	AFG	TUR	0.2319972677596009	0.557839199772634
61	ALB	TUR	0.19983156952227255	0.5827038485574574
62	DZA	TUR	0.3581943415987999	0.8390721631306686
63	AUT	TUR	0.5243507958752744	0.854995536622359
64	AZE	TUR	0.3697323383993452	0.8052787696013257
65	BHR	TUR	0.19983156952227255	0.559597830577202
66	BGD	TUR	0.09991578476113627	0.3251105768971223
67	BLR	TUR	0.19983156952227255	0.6973477271487547
68	BEL	TUR	0.3996631390445452	0.7424419415022776
69	BIH	TUR	0.2997473542834088	0.8415418708354627
70	BRA	TUR	0.09991578476113627	0.3119405713766328
71	BGR	TUR	0.09991578476113627	0.3471029340432047
72	CMR	TUR	0.15836277207652738	0.4979509731354753
73	CAN	TUR	0.19983156952227255	0.5114641494130949
74	CHN	TUR	0.3804148549015604	0.6234895997138541
75	COD	TUR	0.09991578476113627	0.3817244809949635
76	HRV	TUR	0.19983156952227255	0.4865296891718115
77	CYP	TUR	0.4803306396626967	0.8604011470881728
78	CZE	TUR	0.19983156952227255	0.4993875611484464
79	DNK	TUR	0.4318288372818735	0.7652147855287991
80	DJI	TUR	0.09991578476113627	0.33642660686336834
81	EGY	TUR	0.3996631390445452	0.7640525237559659
82	EST	TUR	0.09991578476113627	0.4100764954545121
83	ETH	TUR	0.09991578476113627	0.43632788803760825
84	FIN	TUR	0.3319130525207372	0.7220149790433212
85	FRA	TUR	0.5695639079216178	0.837918234278617
86	GEO	TUR	0.3319130525207372	0.8007027848440109
87	DEU	TUR	0.7993262780890903	0.8784344867515883
88	GHA	TUR	0.09991578476113627	0.45075517978006296
89	GRC	TUR	0.3581943415987999	0.6627081445132114
90	HKG	TUR	0.09991578476113627	0.2833288691927104
