,src,trg,nij,score
6,Georgia,Azerbaijan,0.1109039882,0.8734470720732067
12,Kazakhstan,Azerbaijan,0.2218079764,0.8967834175133483
15,Russian Federation,Azerbaijan,0.4871255197,0.7436529716255659
17,Turkmenistan,Azerbaijan,0.1109039882,0.9579765605474855
22,Afghanistan,India,0.3113468572,0.8865521008511379
26,Bangladesh,India,0.3975866389,0.8021451189744503
28,Bhutan,India,0.1757786625,0.9711181621162743
46,Maldives,India,0.2575110861,0.8481255143090551
47,Mauritius,India,0.2866826507,0.8347995993316588
48,Nepal,India,0.3327119646,0.8755545411055692
50,Oman,India,0.49456875159999997,0.8057686569990582
59,Sri Lanka,India,0.49456875159999997,0.7970994536483235
71,Afghanistan,Iran (Islamic Republic of),0.2575110861,0.9437721093899949
84,Kuwait,Iran (Islamic Republic of),0.3684150743,0.8597567080155825
81,Iraq,Iran (Islamic Republic of),0.2218079764,0.8571228490422809
94,Tajikistan,Iran (Islamic Republic of),0.1757786625,0.8894683320521579
169,Bosnia and Herzegovina,Turkey,0.2218079764,0.8835638865458613
255,Afghanistan,United Arab Emirates,0.3113468572,0.8069501672758141
343,Yemen,United Arab Emirates,0.3975866389,0.7566584059200431
319,Seychelles,United Arab Emirates,0.2218079764,0.9010249827791481
327,Sudan,United Arab Emirates,0.3684150743,0.8293117501036578
415,Bosnia and Herzegovina,Germany,0.2218079764,0.8169050281245286
457,North Macedonia,Germany,0.2575110861,0.7914117544178866
544,Albania,Italy,0.5273359875,0.9125040584957176
592,"Moldova, Republic of",Italy,0.3975866389,0.861728395856603
633,Montenegro,Slovenia,0.1109039882,0.9567422552853541
658,Cabo Verde,United Kingdom of Great Britain and Northern Ireland,0.351557325,0.7530312363034716
687,Jersey,United Kingdom of Great Britain and Northern Ireland,0.5150221721,0.8493674419366414
722,Slovakia,United Kingdom of Great Britain and Northern Ireland,0.2866826507,0.7833611009254997
651,Barbados,United Kingdom of Great Britain and Northern Ireland,0.2575110861,0.8280337229834819
673,Gibraltar,United Kingdom of Great Britain and Northern Ireland,0.2866826507,0.9286803535137118
675,Guernsey,United Kingdom of Great Britain and Northern Ireland,0.38366476340000005,0.8897218456288274
682,Isle of Man,United Kingdom of Great Britain and Northern Ireland,0.3684150743,0.9286803535137118
793,Uganda,Belgium,0.2218079764,0.8503005514815983
743,Burkina Faso,Belgium,0.2218079764,0.8516153752399622
744,Cameroon,Belgium,0.351557325,0.8009221931771386
747,"Congo, Democratic Republic of the",Belgium,0.2218079764,0.8371938626294837
768,Liberia,Belgium,0.1757786625,0.8773469149285805
790,Togo,Belgium,0.1757786625,0.8795663907337681
826,Cuba,Canada,0.5387694670000001,0.8690121896156733
847,Mexico,Canada,0.5441937367,0.7607754455171399
843,Jamaica,Canada,0.3975866389,0.9010886631955188
836,Guyana,Canada,0.1109039882,0.9446749475731637
860,Saint Pierre and Miquelon,Canada,0.1757786625,0.9719494999399769
868,Turks and Caicos Islands,Canada,0.1757786625,0.8330640408936205
924,Taiwan,China,0.8403670773999999,0.7097161398336876
880,Myanmar,China,0.3327119646,0.8138793741157516
900,Lao People's Democratic Republic,China,0.2575110861,0.7940540608791031
901,Macao,China,0.61258505,0.8528113907090248
906,Mongolia,China,0.2218079764,0.8909141949496958
910,Korea (Democratic People's Republic of),China,0.1757786625,0.9548894001495829
911,Northern Mariana Islands,China,0.1757786625,0.8599980302428596
974,Kuwait,Egypt,0.4436159528,0.7970664600870758
997,Yemen,Egypt,0.2866826507,0.8560175354619834
976,Libya,Egypt,0.3684150743,0.8729156090878379
987,Sudan,Egypt,0.1757786625,0.8536218027016725
985,South Sudan,Egypt,0.1109039882,0.9001312752579679
998,Algeria,France,0.672753484,0.7585588331107517
1070,Niger,France,0.1757786625,0.8350259362354248
1034,French Guiana,France,0.1757786625,0.9035174470432351
1081,Réunion,France,0.2575110861,0.8128213281213156
1119,Iraq,Jordan,0.3113468572,0.8865018847778133
1142,Yemen,Jordan,0.2575110861,0.9001028255163535
1124,Libya,Jordan,0.2866826507,0.899186059779732
1213,Libya,Malta,0.1757786625,0.8722083333604554
1300,Luxembourg,Portugal,0.3113468572,0.8171100500310332
1285,Angola,Portugal,0.1757786625,0.8572996994980994
1290,Cabo Verde,Portugal,0.3327119646,0.9128114678951463
1414,Kazakhstan,Russian Federation,0.5820160911,0.7487927125840129
1452,Uzbekistan,Russian Federation,0.7050778725,0.8490797865990771
1387,Azerbaijan,Russian Federation,0.4871255197,0.7464866793409485
1443,Tajikistan,Russian Federation,0.6820314820000001,0.8795587641559588
1415,Kyrgyzstan,Russian Federation,0.6290945932,0.8855102436959951
1388,Belarus,Russian Federation,0.3975866389,0.7878392227478896
1423,"Moldova, Republic of",Russian Federation,0.2575110861,0.8160564970499944
1385,Armenia,Russian Federation,0.5273359875,0.89227632577796
1425,Montenegro,Russian Federation,0.3113468572,0.8112501613531067
1563,Mauritania,Spain,0.1757786625,0.8532873308397538
1593,Western Sahara,Spain,0.1757786625,0.8873523298054601
1548,Gambia,Spain,0.2218079764,0.8762261767007614
1695,Bermuda,United States of America,0.38366476340000005,0.8830634295611185
1730,Jamaica,United States of America,0.5941738843,0.8243057854089585
1688,Aruba,United States of America,0.4871255197,0.8227910567007407
1691,Bahamas,United States of America,0.6842692895999999,0.8716230384276492
1701,Cayman Islands,United States of America,0.4436159528,0.888530031683726
1705,Costa Rica,United States of America,0.5733653014,0.758373116986282
1717,Grenada,United States of America,0.2218079764,0.801990722255018
1721,Guyana,United States of America,0.1109039882,0.8540842463182596
1764,Trinidad and Tobago,United States of America,0.38366476340000005,0.7487799160182472
1766,Turks and Caicos Islands,United States of America,0.42225084539999996,0.8101619665604018
1710,El Salvador,United States of America,0.5387694670000001,0.7883253193803104
1694,Belize,United States of America,0.3684150743,0.8606620110313813
1698,Virgin Islands (British),United States of America,0.4793190625,0.8409080210229156
1720,Guatemala,United States of America,0.4533159307,0.7889066673346118
1722,Haiti,United States of America,0.4103935229,0.8276091576042346
1723,Honduras,United States of America,0.4711121029,0.7635091683952572
1741,Nicaragua,United States of America,0.2866826507,0.8177849343979942
1750,Puerto Rico,United States of America,0.6352492225,0.7722617522045172
2022,Suriname,Netherlands,0.1109039882,0.9070581305157145
2412,Georgia,Belarus,0.1757786625,0.9451570043342332
2424,Russian Federation,Belarus,0.3975866389,0.7870538891056139
2485,Russian Federation,Kazakhstan,0.5688579432,0.7406208793331024
2493,Uzbekistan,Kazakhstan,0.2218079764,0.9150923271600557
2473,Azerbaijan,Kazakhstan,0.2218079764,0.8966767438278321
2487,Tajikistan,Kazakhstan,0.2218079764,0.9348521805060943
2482,Kyrgyzstan,Kazakhstan,0.1757786625,0.9283877320409417
2545,Georgia,Ukraine,0.3113468572,0.9007074960132444
2706,Taiwan,Japan,0.6751239072,0.7636838052229276
2689,Macao,Japan,0.2866826507,0.8056720840576032
2696,Northern Mariana Islands,Japan,0.1757786625,0.9089050452305995
2684,Guam,Japan,0.4711121029,0.9318179747048984
2694,New Caledonia,Japan,0.1109039882,0.8636722431914058
