,src,trg,nij,score
6,Georgia,Azerbaijan,0.1109039882,0.8734470720732067
9,Iran (Islamic Republic of),Azerbaijan,0.1757786625,0.8297227189702796
12,Kazakhstan,Azerbaijan,0.2218079764,0.8967834175133483
13,Latvia,Azerbaijan,0.1109039882,0.758199676232559
15,Russian Federation,Azerbaijan,0.4871255197,0.7436529716255659
16,Turkey,Azerbaijan,0.3113468572,0.655496475645382
17,Turkmenistan,Azerbaijan,0.1109039882,0.9579765605474855
18,Ukraine,Azerbaijan,0.1757786625,0.7732833755370406
52,Qatar,India,0.4436159528,0.6178191890412642
65,Turkmenistan,India,0.1109039882,0.8383787682337481
22,Afghanistan,India,0.3113468572,0.8865521008511379
25,Bahrain,India,0.3113468572,0.7178473175995979
26,Bangladesh,India,0.3975866389,0.8021451189744503
28,Bhutan,India,0.1757786625,0.9711181621162743
44,Kuwait,India,0.351557325,0.6685766320577473
45,Malaysia,India,0.4793190625,0.5796990108371516
46,Maldives,India,0.2575110861,0.8481255143090551
47,Mauritius,India,0.2866826507,0.8347995993316588
48,Nepal,India,0.3327119646,0.8755545411055692
50,Oman,India,0.49456875159999997,0.8057686569990582
55,Saudi Arabia,India,0.5688579432,0.5631387165748595
56,Singapore,India,0.5642199189,0.5921802911791124
59,Sri Lanka,India,0.49456875159999997,0.7970994536483235
90,Qatar,Iran (Islamic Republic of),0.2575110861,0.7213000247768894
96,Turkey,Iran (Islamic Republic of),0.42225084539999996,0.5999197506764273
97,United Arab Emirates,Iran (Islamic Republic of),0.5016810618,0.608979045583525
71,Afghanistan,Iran (Islamic Republic of),0.2575110861,0.9437721093899949
75,Bahrain,Iran (Islamic Republic of),0.1757786625,0.792521730426401
84,Kuwait,Iran (Islamic Republic of),0.3684150743,0.8597567080155825
88,Oman,Iran (Islamic Republic of),0.1757786625,0.7850672758555806
89,Pakistan,Iran (Islamic Republic of),0.1757786625,0.7315797446602808
