,src,trg,nij,score
0,AFG,AZE,0.09991578476113627,0.9814455857246007
1,AUT,AZE,0.19983156952227255,0.9262070870027034
2,AFG,IND,0.3804148549015604,0.9287801606856827
8,BTN,IND,0.25827855683766365,0.9788688882421767
17,AFG,IRN,0.3319130525207372,0.9598298968025637
38,AFG,PAK,0.2997473542834088,0.9288857750388094
52,OMN,PAK,0.4750883162295821,0.9332788802087612
214,SDN,ARE,0.4318288372818735,0.8787421300602505
213,LKA,ARE,0.4581101263599362,0.8473741087695877
273,ALB,ITA,0.5750041009907184,0.9013877636825046
317,MNE,SVN,0.19983156952227255,0.945509014897728
413,TUN,GBR,0.545483394525906,0.8074269616053266
354,GIB,GBR,0.3581943415987999,0.884140814187468
363,IMN,GBR,0.4318288372818735,0.884140814187468
368,JEY,GBR,0.5639103202803382,0.8278564357482191
424,UGA,BEL,0.19983156952227255,0.9886166703173949
422,LBR,BEL,0.15836277207652738,0.9836980053651628
423,TGO,BEL,0.15836277207652738,0.9965288728463655
433,BHS,CAN,0.2804990701404241,0.952881457637368
434,BRB,CAN,0.19983156952227255,0.9407783717051037
436,BMU,CAN,0.19983156952227255,0.9699546037072371
430,ABW,CAN,0.19983156952227255,0.9322865631258336
446,MMR,CHN,0.3996631390445452,0.9383127421018891
447,KHM,CHN,0.43886184221695146,0.9268455613371827
508,IRQ,JOR,0.3697323383993452,0.9265951688950879
686,KGZ,RUS,0.6638261050414744,0.869664069823321
699,PRK,RUS,0.09991578476113627,0.9436178769882232
878,LBY,TUN,0.5421695012877548,0.919441210600835
970,TTO,USA,0.4455676097647697,0.8128144826002281
929,HND,USA,0.5243507958752744,0.8231251280227687
939,KIR,USA,0.19983156952227255,0.8837189964450288
947,NIC,USA,0.3581943415987999,0.82453868716002
959,KNA,USA,0.2319972677596009,0.8837189964450288
961,WSM,USA,0.09991578476113627,0.8837189964450288
972,TCA,USA,0.4803306396626967,0.8837189964450288
975,GBR,USA,0.8672170654607521,0.8711846495491457
1294,AUT,BLR,0.19983156952227255,0.9028048350619431
1293,ARM,BLR,0.09991578476113627,0.9678065067134785
1296,ARM,CZE,0.19983156952227255,0.9459390828247043
1407,GUM,JPN,0.5243507958752744,0.9330529124100051
1551,MAC,TWN,0.3996631390445452,0.9050137944311881
1554,PLW,TWN,0.19983156952227255,0.9458192843242162
1584,LAO,THA,0.4318288372818735,0.8730832408552616
1636,AUT,BIH,0.09991578476113627,0.9501921469068211
1637,AUT,BGR,0.25827855683766365,0.895410128292445
1638,BEL,BGR,0.2997473542834088,0.9006815657190818
1639,AUT,HRV,0.3581943415987999,0.8933473088818397
1641,BIH,HRV,0.09991578476113627,0.9613330802179568
1646,BGR,CYP,0.2997473542834088,0.9470825148819644
1663,EST,FIN,0.25827855683766365,0.9250978908886865
1665,AZE,GEO,0.19983156952227255,0.929117989050662
1666,BLR,GEO,0.25827855683766365,0.9491331399612067
1687,IRN,IRQ,0.2997473542834088,0.9282188637644035
1685,GEO,IRQ,0.19983156952227255,0.9371995342321927
1789,FRO,NOR,0.19983156952227255,0.9761693852061779
1818,MDA,ROU,0.25827855683766365,0.9166181462746115
1839,MNE,SRB,0.2997473542834088,0.9309692844742743
1105,MOZ,ZAF,0.4902758245972646,0.9662886933130752
1087,BWA,ZAF,0.41664132891419103,0.9478276769228263
1103,MWI,ZAF,0.25827855683766365,0.9269594927414109
1106,NAM,ZAF,0.41664132891419103,0.9533845713868668
1110,REU,ZAF,0.09991578476113627,0.975932870831062
1192,BRA,CHL,0.3581943415987999,0.9079619690329793
1189,ARG,CHL,0.4244350111141381,0.9499095320493457
1191,BOL,CHL,0.25827855683766365,0.9704380906532571
1375,AUS,BRN,0.09991578476113627,0.9654459698462604
1376,AUS,TLS,0.19983156952227255,0.9654459698462604
1377,AUS,FJI,0.4455676097647697,0.9654459698462604
1378,AUS,GUM,0.09991578476113627,0.9654459698462604
1392,AUS,IDN,0.5695639079216178,0.8853211530020691
1393,BRN,IDN,0.2997473542834088,0.9607582713821177
1395,TLS,IDN,0.09991578476113627,0.9866036299827202
1414,BRN,MYS,0.3804148549015604,0.9151083403521086
1422,IDN,MYS,0.6518068122773297,0.8774586057915583
1437,MDG,MUS,0.19983156952227255,0.9601407316237853
1439,AUS,NCL,0.2997473542834088,0.9320656426093957
1440,FJI,NCL,0.09991578476113627,0.9568617584839421
1442,AUS,NZL,0.7133538762173574,0.8886030483024965
1446,FJI,NZL,0.3319130525207372,0.9483820355953275
1450,NCL,NZL,0.19983156952227255,0.9837534625901302
1451,AUS,NFK,0.19983156952227255,0.9654459698462604
1452,AUS,PNG,0.41664132891419103,0.9334037194942049
1467,MAC,PHL,0.3319130525207372,0.9308198947807494
1470,PNG,PHL,0.19983156952227255,0.9737617882229752
1472,FJI,WSM,0.09991578476113627,0.9687380181858669
1473,NZL,WSM,0.2319972677596009,0.9895848318685332
1481,TLS,SGP,0.09991578476113627,0.9408267006888503
1502,AUS,SLB,0.19983156952227255,0.9157970871089534
1503,FJI,SLB,0.19983156952227255,0.9817966990031618
1504,PNG,SLB,0.09991578476113627,0.993185173222957
1527,MNG,KOR,0.19983156952227255,0.9211749200843701
1532,PLW,KOR,0.19983156952227255,0.9211749200843701
1531,MNP,KOR,0.19983156952227255,0.9677063020369351
1608,FJI,TON,0.19983156952227255,0.9817966990031618
1609,NZL,TON,0.19983156952227255,0.9860362446313092
1610,AUS,VUT,0.3804148549015604,0.8917493866818872
1611,FJI,VUT,0.19983156952227255,0.9554828266504585
1613,NZL,VUT,0.19983156952227255,0.9657449384133522
1612,NCL,VUT,0.19983156952227255,0.9915617288930032
1614,SLB,VUT,0.25827855683766365,0.99577194507808
1634,THA,VNM,0.4318288372818735,0.9163801226938167
1633,TWN,VNM,0.4696481231604815,0.9275769722858975
1625,LAO,VNM,0.3581943415987999,0.9222800624471218
524,IRQ,LBN,0.3319130525207372,0.9183746429191205
1002,DJI,ETH,0.3319130525207372,0.9670706208259484
999,TCD,ETH,0.09991578476113627,0.9639217694513785
1004,GNQ,ETH,0.19983156952227255,0.9739994410971019
1950,MDV,LKA,0.4581101263599362,0.941755197584287
1956,SYC,LKA,0.19983156952227255,0.9435899249364039
1966,SAU,SDN,0.3996631390445452,0.9381855253877944
1967,SSD,SDN,0.19983156952227255,0.9866319279062237
1961,ERI,SDN,0.09991578476113627,0.971072022323945
1969,DJI,YEM,0.2319972677596009,0.924771561261852
1979,SAU,YEM,0.4950024122130306,0.900057189588926
1980,SOM,YEM,0.15836277207652738,0.9600179235760342
1983,ARE,YEM,0.4519752427550571,0.945537604558741
1971,ERI,YEM,0.19983156952227255,0.9704636195150623
1984,BGD,BTN,0.09991578476113627,0.9843010161916627
1985,BGD,MMR,0.09991578476113627,0.9843010161916627
1986,BGD,NPL,0.2997473542834088,0.925922411526462
1987,BTN,NPL,0.09991578476113627,0.9822812781362483
426,BEL,BFA,0.2997473542834088,0.9106191715075731
427,BEN,BFA,0.09991578476113627,0.9510635981645293
451,BEN,CIV,0.3456518250036335,0.9650465930747767
452,BFA,CIV,0.3996631390445452,0.9807970299277443
574,GNB,MAR,0.09991578476113627,0.9439104487992042
582,MRT,MAR,0.25827855683766365,0.9387433828004629
744,GIN,SEN,0.3996631390445452,0.9660595837129375
