	src	trg	nij	score
0	AFG	AZE	0.09991578476113627	0.9760765550239234
1	AUT	AZE	0.19983156952227255	0.9904306220095693
2	AFG	IND	0.3804148549015604	0.07177033492822966
6	BGD	IND	0.4581101263599362	0.07177033492822966
7	BEL	IND	0.3167255441530548	0.2679425837320574
8	BTN	IND	0.25827855683766365	0.07177033492822966
10	CHN	IND	0.3581943415987999	0.08133971291866028
12	ETH	IND	0.2997473542834088	0.3253588516746411
15	DEU	IND	0.4696481231604815	0.36363636363636365
16	HKG	IND	0.4696481231604815	0.09090909090909091
23	CHN	IRN	0.2997473542834088	0.0861244019138756
25	DEU	IRN	0.3319130525207372	0.861244019138756
30	EGY	KWT	0.4995789238056814	0.09090909090909091
31	ETH	KWT	0.2319972677596009	0.3349282296650718
33	IND	KWT	0.41664132891419103	0.507177033492823
37	JOR	KWT	0.25827855683766365	0.07177033492822966
38	AFG	PAK	0.2997473542834088	0.07177033492822966
41	CAN	PAK	0.25827855683766365	0.2631578947368421
42	CHN	PAK	0.2997473542834088	0.0861244019138756
45	IND	PAK	0.25827855683766365	0.2727272727272727
46	IRN	PAK	0.25827855683766365	0.07655502392344497
47	ITA	PAK	0.15836277207652738	0.10047846889952153
48	KWT	PAK	0.3581943415987999	0.22966507177033493
49	MYS	PAK	0.25827855683766365	0.11004784688995216
50	NPL	PAK	0.09991578476113627	0.07177033492822966
51	NOR	PAK	0.09991578476113627	0.23444976076555024
52	OMN	PAK	0.4750883162295821	0.0861244019138756
59	RUS	TJK	0.7153841634029786	0.9138755980861244
62	DZA	TUR	0.3581943415987999	0.07177033492822966
63	AUT	TUR	0.5243507958752744	0.07177033492822966
69	BIH	TUR	0.2997473542834088	0.07177033492822966
74	CHN	TUR	0.3804148549015604	0.0861244019138756
81	EGY	TUR	0.3996631390445452	0.07177033492822966
86	GEO	TUR	0.3319130525207372	0.07177033492822966
87	DEU	TUR	0.7993262780890903	0.15311004784688995
89	GRC	TUR	0.3581943415987999	0.07177033492822966
93	IRN	TUR	0.4803306396626967	0.07177033492822966
96	ISR	TUR	0.25827855683766365	0.07177033492822966
98	JPN	TUR	0.2997473542834088	0.07655502392344497
99	JOR	TUR	0.25827855683766365	0.07177033492822966
102	KWT	TUR	0.3581943415987999	0.07177033492822966
103	KGZ	TUR	0.3319130525207372	0.07177033492822966
108	LUX	TUR	0.25827855683766365	0.07177033492822966
109	MKD	TUR	0.19983156952227255	0.07177033492822966
115	MAR	TUR	0.25827855683766365	0.07177033492822966
117	NLD	TUR	0.5518910275161935	0.10047846889952153
118	NGA	TUR	0.15836277207652738	0.0861244019138756
124	QAT	TUR	0.2997473542834088	0.07655502392344497
125	ROU	TUR	0.2997473542834088	0.07177033492822966
128	SAU	TUR	0.5243507958752744	0.1339712918660287
129	SRB	TUR	0.3581943415987999	0.07177033492822966
131	SVN	TUR	0.19983156952227255	0.07177033492822966
134	ESP	TUR	0.3804148549015604	0.19617224880382775
137	CHE	TUR	0.4455676097647697	0.12440191387559808
138	TJK	TUR	0.25827855683766365	0.07177033492822966
139	TZA	TUR	0.15836277207652738	0.07655502392344497
146	AUS	ARE	0.4995789238056814	0.07177033492822966
153	BRA	ARE	0.25827855683766365	0.08133971291866028
157	CHN	ARE	0.4902758245972646	0.08133971291866028
161	DJI	ARE	0.2319972677596009	0.07177033492822966
162	EGY	ARE	0.4455676097647697	0.07177033492822966
166	DEU	ARE	0.5518910275161935	0.17703349282296652
172	IDN	ARE	0.3319130525207372	0.07177033492822966
177	JPN	ARE	0.3996631390445452	0.07655502392344497
178	JOR	ARE	0.41664132891419103	0.07177033492822966
181	KWT	ARE	0.4519752427550571	0.07177033492822966
190	MAR	ARE	0.2997473542834088	0.07655502392344497
191	NPL	ARE	0.2997473542834088	0.07177033492822966
192	NLD	ARE	0.4318288372818735	0.09090909090909091
193	NGA	ARE	0.19983156952227255	0.09090909090909091
199	QAT	ARE	0.43886184221695146	0.07177033492822966
200	ROU	ARE	0.25827855683766365	0.07177033492822966
201	RUS	ARE	0.6204224059644955	0.11004784688995216
203	SAU	ARE	0.6533651842895579	0.07655502392344497
205	SRB	ARE	0.25827855683766365	0.07177033492822966
213	LKA	ARE	0.4581101263599362	0.07177033492822966
216	CHE	ARE	0.3804148549015604	0.09569377990430622
218	TJK	ARE	0.25827855683766365	0.07177033492822966
223	TKM	ARE	0.19983156952227255	0.07177033492822966
225	UKR	ARE	0.4318288372818735	0.07177033492822966
226	ALB	AUT	0.09991578476113627	0.9856459330143541
229	ALB	DEU	0.19983156952227255	0.07177033492822966
233	AUT	DEU	0.7060138466567705	0.07177033492822966
237	BEL	DEU	0.4902758245972646	0.3349282296650718
238	BIH	DEU	0.2997473542834088	0.07177033492822966
239	BRA	DEU	0.3996631390445452	0.0861244019138756
240	BGR	DEU	0.4455676097647697	0.07177033492822966
241	CAN	DEU	0.5243507958752744	0.09090909090909091
243	CHN	DEU	0.5243507958752744	0.09569377990430622
244	COL	DEU	0.19983156952227255	0.07177033492822966
250	DOM	DEU	0.3804148549015604	0.18660287081339713
251	EGY	DEU	0.5165571136753273	0.07655502392344497
252	EST	DEU	0.19983156952227255	0.07177033492822966
253	ETH	DEU	0.19983156952227255	0.17703349282296652
256	GEO	DEU	0.09991578476113627	0.07177033492822966
257	ALB	GRC	0.19983156952227255	0.07177033492822966
259	AUT	GRC	0.6164728984364636	0.07655502392344497
260	BEL	GRC	0.5243507958752744	0.3444976076555024
261	BGR	GRC	0.2997473542834088	0.07177033492822966
270	FRA	GRC	0.5949181969741668	0.07177033492822966
271	GEO	GRC	0.09991578476113627	0.07177033492822966
272	DEU	GRC	0.8410763400283291	0.47368421052631576
273	ALB	ITA	0.5750041009907184	0.07177033492822966
275	ARG	ITA	0.19983156952227255	0.07177033492822966
277	AUT	ITA	0.580246424423833	0.07177033492822966
281	BEL	ITA	0.6470279876589332	0.37799043062200954
283	BRA	ITA	0.2997473542834088	0.08133971291866028
284	BGR	ITA	0.3804148549015604	0.07177033492822966
285	CAN	ITA	0.3996631390445452	0.09090909090909091
286	CHN	ITA	0.3319130525207372	0.0861244019138756
290	CZE	ITA	0.5243507958752744	0.07177033492822966
293	EGY	ITA	0.3456518250036335	0.07177033492822966
296	FIN	ITA	0.3319130525207372	0.07177033492822966
297	FRA	ITA	0.8207401412332156	0.07655502392344497
299	DEU	ITA	0.8780501806259929	0.4258373205741627
300	GRC	ITA	0.5609981402808482	0.07177033492822966
301	HKG	ITA	0.19983156952227255	0.0861244019138756
302	HUN	ITA	0.4455676097647697	0.07177033492822966
303	IND	ITA	0.19983156952227255	0.0861244019138756
304	IRN	ITA	0.25827855683766365	0.07655502392344497
305	IRL	ITA	0.4995789238056814	0.07177033492822966
306	ISR	ITA	0.41664132891419103	0.07655502392344497
309	BEL	SVN	0.25827855683766365	0.08133971291866028
315	DEU	SVN	0.2997473542834088	0.3684210526315789
316	MKD	SVN	0.09991578476113627	0.07177033492822966
317	MNE	SVN	0.19983156952227255	0.07177033492822966
319	POL	SVN	0.19983156952227255	0.24401913875598086
320	RUS	SVN	0.19983156952227255	0.215311004784689
321	SRB	SVN	0.19983156952227255	0.07655502392344497
327	AUT	GBR	0.4455676097647697	0.07177033492822966
332	BRB	GBR	0.3167255441530548	0.07177033492822966
335	BMU	GBR	0.19983156952227255	0.07177033492822966
337	BGR	GBR	0.4318288372818735	0.07177033492822966
338	CAN	GBR	0.636967067666216	0.08133971291866028
340	CHN	GBR	0.4455676097647697	0.08133971291866028
347	EGY	GBR	0.6060980618956342	0.07177033492822966
348	EST	GBR	0.25827855683766365	0.07177033492822966
352	DEU	GBR	0.7680027322403992	0.08133971291866028
353	GHA	GBR	0.19983156952227255	0.07177033492822966
355	GRC	GBR	0.7637418898026106	0.07177033492822966
