,src,trg,weighted,log-weight,norm-log-weight,iso_code_src,iso_code_trg
0,Afghanistan,Azerbaijan,2,0.6931471805599453,0.09991578476113629,AFG,AZE
1,Austria,Azerbaijan,4,1.3862943611198906,0.19983156952227257,AUT,AZE
2,Afghanistan,India,14,2.6390573296152584,0.38041485490156035,AFG,IND
3,Australia,India,4,1.3862943611198906,0.19983156952227257,AUS,IND
4,Austria,India,4,1.3862943611198906,0.19983156952227257,AUT,IND
5,Bahrain,India,15,2.70805020110221,0.39036003983612827,BHR,IND
6,Bangladesh,India,24,3.1780538303479458,0.45811012635993625,BGD,IND
7,Belgium,India,9,2.1972245773362196,0.31672554415305476,BEL,IND
8,Bhutan,India,6,1.791759469228055,0.25827855683766365,BTN,IND
9,Myanmar,India,2,0.6931471805599453,0.09991578476113629,MMR,IND
10,China,India,12,2.4849066497880004,0.3581943415987999,CHN,IND
11,Egypt,India,4,1.3862943611198906,0.19983156952227257,EGY,IND
12,Ethiopia,India,8,2.0794415416798357,0.2997473542834088,ETH,IND
13,Finland,India,2,0.6931471805599453,0.09991578476113629,FIN,IND
14,France,India,8,2.0794415416798357,0.2997473542834088,FRA,IND
15,Germany,India,26,3.258096538021482,0.4696481231604815,DEU,IND
16,Hong Kong,India,26,3.258096538021482,0.4696481231604815,HKG,IND
17,Afghanistan,Iran (Islamic Republic of),10,2.302585092994046,0.3319130525207372,AFG,IRN
18,Armenia,Iran (Islamic Republic of),2,0.6931471805599453,0.09991578476113629,ARM,IRN
19,Austria,Iran (Islamic Republic of),4,1.3862943611198906,0.19983156952227257,AUT,IRN
20,Azerbaijan,Iran (Islamic Republic of),6,1.791759469228055,0.25827855683766365,AZE,IRN
21,Bahrain,Iran (Islamic Republic of),6,1.791759469228055,0.25827855683766365,BHR,IRN
22,Belarus,Iran (Islamic Republic of),2,0.6931471805599453,0.09991578476113629,BLR,IRN
23,China,Iran (Islamic Republic of),8,2.0794415416798357,0.2997473542834088,CHN,IRN
24,France,Iran (Islamic Republic of),2,0.6931471805599453,0.09991578476113629,FRA,IRN
25,Germany,Iran (Islamic Republic of),10,2.302585092994046,0.3319130525207372,DEU,IRN
26,India,Iran (Islamic Republic of),4,1.3862943611198906,0.19983156952227257,IND,IRN
27,Afghanistan,Kuwait,2,0.6931471805599453,0.09991578476113629,AFG,KWT
28,Bahrain,Kuwait,8,2.0794415416798357,0.2997473542834088,BHR,KWT
29,Bangladesh,Kuwait,5,1.6094379124341003,0.23199726775960092,BGD,KWT
30,Egypt,Kuwait,32,3.4657359027997265,0.4995789238056814,EGY,KWT
31,Ethiopia,Kuwait,5,1.6094379124341003,0.23199726775960092,ETH,KWT
32,Germany,Kuwait,4,1.3862943611198906,0.19983156952227257,DEU,KWT
33,India,Kuwait,18,2.8903717578961645,0.416641328914191,IND,KWT
34,Iran (Islamic Republic of),Kuwait,20,2.995732273553991,0.4318288372818735,IRN,KWT
35,Iraq,Kuwait,4,1.3862943611198906,0.19983156952227257,IRQ,KWT
36,Italy,Kuwait,4,1.3862943611198906,0.19983156952227257,ITA,KWT
37,Jordan,Kuwait,6,1.791759469228055,0.25827855683766365,JOR,KWT
38,Afghanistan,Pakistan,8,2.0794415416798357,0.2997473542834088,AFG,PAK
39,Bahrain,Pakistan,12,2.4849066497880004,0.3581943415987999,BHR,PAK
40,Bangladesh,Pakistan,2,0.6931471805599453,0.09991578476113629,BGD,PAK
41,Canada,Pakistan,6,1.791759469228055,0.25827855683766365,CAN,PAK
42,China,Pakistan,8,2.0794415416798357,0.2997473542834088,CHN,PAK
43,Denmark,Pakistan,2,0.6931471805599453,0.09991578476113629,DNK,PAK
44,France,Pakistan,3,1.0986122886681098,0.15836277207652738,FRA,PAK
45,India,Pakistan,6,1.791759469228055,0.25827855683766365,IND,PAK
46,Iran (Islamic Republic of),Pakistan,6,1.791759469228055,0.25827855683766365,IRN,PAK
47,Italy,Pakistan,3,1.0986122886681098,0.15836277207652738,ITA,PAK
48,Kuwait,Pakistan,12,2.4849066497880004,0.3581943415987999,KWT,PAK
49,Malaysia,Pakistan,6,1.791759469228055,0.25827855683766365,MYS,PAK
50,Nepal,Pakistan,2,0.6931471805599453,0.09991578476113629,NPL,PAK
51,Norway,Pakistan,2,0.6931471805599453,0.09991578476113629,NOR,PAK
52,Oman,Pakistan,27,3.295836866004329,0.4750883162295821,OMN,PAK
55,China,Tajikistan,8,2.0794415416798357,0.2997473542834088,CHN,TJK
56,Germany,Tajikistan,2,0.6931471805599453,0.09991578476113629,DEU,TJK
57,India,Tajikistan,2,0.6931471805599453,0.09991578476113629,IND,TJK
58,Iran (Islamic Republic of),Tajikistan,6,1.791759469228055,0.25827855683766365,IRN,TJK
59,Kazakhstan,Tajikistan,7,1.9459101490553132,0.2804990701404241,KAZ,TJK
60,Kyrgyzstan,Tajikistan,4,1.3862943611198906,0.19983156952227257,KGZ,TJK
61,Russian Federation,Tajikistan,143,4.962844630259907,0.7153841634029786,RUS,TJK
62,Afghanistan,Turkey,5,1.6094379124341003,0.23199726775960092,AFG,TUR
63,Albania,Turkey,4,1.3862943611198906,0.19983156952227257,ALB,TUR
64,Algeria,Turkey,12,2.4849066497880004,0.3581943415987999,DZA,TUR
65,Austria,Turkey,38,3.6375861597263857,0.5243507958752744,AUT,TUR
66,Azerbaijan,Turkey,13,2.5649493574615367,0.36973233839934516,AZE,TUR
67,Bahrain,Turkey,4,1.3862943611198906,0.19983156952227257,BHR,TUR
68,Bangladesh,Turkey,2,0.6931471805599453,0.09991578476113629,BGD,TUR
69,Belarus,Turkey,4,1.3862943611198906,0.19983156952227257,BLR,TUR
70,Belgium,Turkey,16,2.772588722239781,0.39966313904454515,BEL,TUR
71,Bosnia and Herzegovina,Turkey,8,2.0794415416798357,0.2997473542834088,BIH,TUR
72,Brazil,Turkey,2,0.6931471805599453,0.09991578476113629,BRA,TUR
73,Bulgaria,Turkey,2,0.6931471805599453,0.09991578476113629,BGR,TUR
75,Cameroon,Turkey,3,1.0986122886681098,0.15836277207652738,CMR,TUR
76,Canada,Turkey,4,1.3862943611198906,0.19983156952227257,CAN,TUR
78,China,Turkey,14,2.6390573296152584,0.38041485490156035,CHN,TUR
79,"Congo, Democratic Republic of the",Turkey,2,0.6931471805599453,0.09991578476113629,COD,TUR
81,Croatia,Turkey,4,1.3862943611198906,0.19983156952227257,HRV,TUR
82,Cyprus,Turkey,28,3.332204510175204,0.4803306396626967,CYP,TUR
83,Czechia,Turkey,4,1.3862943611198906,0.19983156952227257,CZE,TUR
84,Denmark,Turkey,20,2.995732273553991,0.4318288372818735,DNK,TUR
85,Djibouti,Turkey,2,0.6931471805599453,0.09991578476113629,DJI,TUR
86,Egypt,Turkey,16,2.772588722239781,0.39966313904454515,EGY,TUR
87,Estonia,Turkey,2,0.6931471805599453,0.09991578476113629,EST,TUR
88,Ethiopia,Turkey,2,0.6931471805599453,0.09991578476113629,ETH,TUR
89,Finland,Turkey,10,2.302585092994046,0.3319130525207372,FIN,TUR
90,France,Turkey,52,3.9512437185814275,0.5695639079216178,FRA,TUR
92,Georgia,Turkey,10,2.302585092994046,0.3319130525207372,GEO,TUR
93,Germany,Turkey,256,5.545177444479562,0.7993262780890903,DEU,TUR
94,Ghana,Turkey,2,0.6931471805599453,0.09991578476113629,GHA,TUR
95,Greece,Turkey,12,2.4849066497880004,0.3581943415987999,GRC,TUR
96,Hong Kong,Turkey,2,0.6931471805599453,0.09991578476113629,HKG,TUR
97,Hungary,Turkey,4,1.3862943611198906,0.19983156952227257,HUN,TUR
98,India,Turkey,8,2.0794415416798357,0.2997473542834088,IND,TUR
99,Iran (Islamic Republic of),Turkey,28,3.332204510175204,0.4803306396626967,IRN,TUR
100,Iraq,Turkey,30,3.4011973816621555,0.4902758245972646,IRQ,TUR
101,Ireland,Turkey,4,1.3862943611198906,0.19983156952227257,IRL,TUR
102,Israel,Turkey,6,1.791759469228055,0.25827855683766365,ISR,TUR
103,Italy,Turkey,24,3.1780538303479458,0.45811012635993625,ITA,TUR
104,Japan,Turkey,8,2.0794415416798357,0.2997473542834088,JPN,TUR
105,Jordan,Turkey,6,1.791759469228055,0.25827855683766365,JOR,TUR
106,Kazakhstan,Turkey,14,2.6390573296152584,0.38041485490156035,KAZ,TUR
107,Kenya,Turkey,5,1.6094379124341003,0.23199726775960092,KEN,TUR
108,Kuwait,Turkey,12,2.4849066497880004,0.3581943415987999,KWT,TUR
