,src,iso_code,region,trg,weights,days_since_100_cases_in_China_2019
0,Afghanistan,AFG,Asia,Azerbaijan,1.0,71 days 00:00:00.000000000
1,Afghanistan,AFG,Asia,India,1.0,71 days 00:00:00.000000000
2,Afghanistan,AFG,Asia,Iran (Islamic Republic of),1.0,71 days 00:00:00.000000000
3,Afghanistan,AFG,Asia,Kuwait,1.0,71 days 00:00:00.000000000
4,Afghanistan,AFG,Asia,Pakistan,1.0,71 days 00:00:00.000000000
5,Afghanistan,AFG,Asia,Tajikistan,1.0,71 days 00:00:00.000000000
6,Afghanistan,AFG,Asia,Turkey,1.0,71 days 00:00:00.000000000
7,Afghanistan,AFG,Asia,United Arab Emirates,1.0,71 days 00:00:00.000000000
48,Albania,ALB,Europe,Austria,1.0,67 days 00:00:00.000000000
49,Albania,ALB,Europe,Germany,1.0,67 days 00:00:00.000000000
50,Albania,ALB,Europe,Greece,1.0,67 days 00:00:00.000000000
51,Albania,ALB,Europe,Italy,1.0,67 days 00:00:00.000000000
52,Albania,ALB,Europe,Slovenia,1.0,67 days 00:00:00.000000000
53,Albania,ALB,Europe,Turkey,1.0,67 days 00:00:00.000000000
54,Albania,ALB,Europe,United Kingdom of Great Britain and Northern Ireland,1.0,67 days 00:00:00.000000000
69,Algeria,DZA,Africa,Austria,1.0,63 days 00:00:00.000000000
70,Algeria,DZA,Africa,Belgium,1.0,63 days 00:00:00.000000000
71,Algeria,DZA,Africa,Burkina Faso,1.0,63 days 00:00:00.000000000
72,Algeria,DZA,Africa,Canada,1.0,63 days 00:00:00.000000000
73,Algeria,DZA,Africa,China,1.0,63 days 00:00:00.000000000
74,Algeria,DZA,Africa,Côte d'Ivoire,1.0,63 days 00:00:00.000000000
75,Algeria,DZA,Africa,Egypt,1.0,63 days 00:00:00.000000000
76,Algeria,DZA,Africa,France,1.0,63 days 00:00:00.000000000
77,Algeria,DZA,Africa,Germany,1.0,63 days 00:00:00.000000000
78,Algeria,DZA,Africa,Italy,1.0,63 days 00:00:00.000000000
79,Algeria,DZA,Africa,Jordan,1.0,63 days 00:00:00.000000000
80,Algeria,DZA,Africa,Lebanon,1.0,63 days 00:00:00.000000000
81,Algeria,DZA,Africa,Libya,1.0,63 days 00:00:00.000000000
82,Algeria,DZA,Africa,Mali,1.0,63 days 00:00:00.000000000
83,Algeria,DZA,Africa,Malta,1.0,63 days 00:00:00.000000000
84,Algeria,DZA,Africa,Morocco,1.0,63 days 00:00:00.000000000
85,Algeria,DZA,Africa,Niger,1.0,63 days 00:00:00.000000000
86,Algeria,DZA,Africa,Portugal,1.0,63 days 00:00:00.000000000
87,Algeria,DZA,Africa,Qatar,1.0,63 days 00:00:00.000000000
88,Algeria,DZA,Africa,Russian Federation,1.0,63 days 00:00:00.000000000
89,Algeria,DZA,Africa,Saudi Arabia,1.0,63 days 00:00:00.000000000
90,Algeria,DZA,Africa,Senegal,1.0,63 days 00:00:00.000000000
91,Algeria,DZA,Africa,Spain,1.0,63 days 00:00:00.000000000
92,Algeria,DZA,Africa,Switzerland,1.0,63 days 00:00:00.000000000
93,Algeria,DZA,Africa,Tunisia,1.0,63 days 00:00:00.000000000
94,Algeria,DZA,Africa,Turkey,1.0,63 days 00:00:00.000000000
95,Algeria,DZA,Africa,United Arab Emirates,1.0,63 days 00:00:00.000000000
96,Algeria,DZA,Africa,United Kingdom of Great Britain and Northern Ireland,1.0,63 days 00:00:00.000000000
265,American Samoa,ASM,Oceania,United States of America,1.0,999 days 00:00:00.000000000
268,Angola,AGO,Africa,Brazil,1.0,145 days 00:00:00.000000000
269,Angola,AGO,Africa,China,1.0,145 days 00:00:00.000000000
270,Angola,AGO,Africa,Congo,1.0,145 days 00:00:00.000000000
271,Angola,AGO,Africa,"Congo, Democratic Republic of the",1.0,145 days 00:00:00.000000000
272,Angola,AGO,Africa,Cuba,1.0,145 days 00:00:00.000000000
273,Angola,AGO,Africa,Ethiopia,1.0,145 days 00:00:00.000000000
274,Angola,AGO,Africa,France,1.0,145 days 00:00:00.000000000
275,Angola,AGO,Africa,Germany,1.0,145 days 00:00:00.000000000
276,Angola,AGO,Africa,Kenya,1.0,145 days 00:00:00.000000000
277,Angola,AGO,Africa,Morocco,1.0,145 days 00:00:00.000000000
278,Angola,AGO,Africa,Mozambique,1.0,145 days 00:00:00.000000000
279,Angola,AGO,Africa,Namibia,1.0,145 days 00:00:00.000000000
280,Angola,AGO,Africa,Netherlands,1.0,145 days 00:00:00.000000000
281,Angola,AGO,Africa,Portugal,1.0,145 days 00:00:00.000000000
282,Angola,AGO,Africa,Sao Tome and Principe,1.0,145 days 00:00:00.000000000
283,Angola,AGO,Africa,South Africa,1.0,145 days 00:00:00.000000000
284,Angola,AGO,Africa,Spain,1.0,145 days 00:00:00.000000000
285,Angola,AGO,Africa,United Arab Emirates,1.0,145 days 00:00:00.000000000
286,Angola,AGO,Africa,United Kingdom of Great Britain and Northern Ireland,1.0,145 days 00:00:00.000000000
287,Angola,AGO,Africa,Zimbabwe,1.0,145 days 00:00:00.000000000
348,Anguilla,AIA,Americas,Antigua and Barbuda,1.0,999 days 00:00:00.000000000
349,Anguilla,AIA,Americas,Netherlands Antilles,1.0,999 days 00:00:00.000000000
350,Anguilla,AIA,Americas,Puerto Rico,1.0,999 days 00:00:00.000000000
351,Anguilla,AIA,Americas,Virgin Islands (British),1.0,999 days 00:00:00.000000000
356,Antigua and Barbuda,ATG,Americas,Anguilla,1.0,999 days 00:00:00.000000000
357,Antigua and Barbuda,ATG,Americas,Barbados,1.0,999 days 00:00:00.000000000
358,Antigua and Barbuda,ATG,Americas,Canada,1.0,999 days 00:00:00.000000000
359,Antigua and Barbuda,ATG,Americas,Dominica,1.0,999 days 00:00:00.000000000
360,Antigua and Barbuda,ATG,Americas,Dominican Republic,1.0,999 days 00:00:00.000000000
361,Antigua and Barbuda,ATG,Americas,France,1.0,999 days 00:00:00.000000000
362,Antigua and Barbuda,ATG,Americas,Germany,1.0,999 days 00:00:00.000000000
363,Antigua and Barbuda,ATG,Americas,Guadeloupe,1.0,999 days 00:00:00.000000000
364,Antigua and Barbuda,ATG,Americas,Jamaica,1.0,999 days 00:00:00.000000000
365,Antigua and Barbuda,ATG,Americas,Netherlands Antilles,1.0,999 days 00:00:00.000000000
366,Antigua and Barbuda,ATG,Americas,Puerto Rico,1.0,999 days 00:00:00.000000000
367,Antigua and Barbuda,ATG,Americas,Saint Kitts and Nevis,1.0,999 days 00:00:00.000000000
368,Antigua and Barbuda,ATG,Americas,Saint Lucia,1.0,999 days 00:00:00.000000000
369,Antigua and Barbuda,ATG,Americas,Trinidad and Tobago,1.0,999 days 00:00:00.000000000
370,Antigua and Barbuda,ATG,Americas,United Kingdom of Great Britain and Northern Ireland,1.0,999 days 00:00:00.000000000
371,Antigua and Barbuda,ATG,Americas,United States of America,1.0,999 days 00:00:00.000000000
372,Argentina,ARG,Americas,Bolivia,1.0,62 days 00:00:00.000000000
373,Argentina,ARG,Americas,Brazil,1.0,62 days 00:00:00.000000000
374,Argentina,ARG,Americas,Chile,1.0,62 days 00:00:00.000000000
375,Argentina,ARG,Americas,Colombia,1.0,62 days 00:00:00.000000000
376,Argentina,ARG,Americas,Cuba,1.0,62 days 00:00:00.000000000
377,Argentina,ARG,Americas,Dominican Republic,1.0,62 days 00:00:00.000000000
378,Argentina,ARG,Americas,Ecuador,1.0,62 days 00:00:00.000000000
379,Argentina,ARG,Americas,Falkland Islands (Malvinas),1.0,62 days 00:00:00.000000000
380,Argentina,ARG,Americas,France,1.0,62 days 00:00:00.000000000
381,Argentina,ARG,Americas,Germany,1.0,62 days 00:00:00.000000000
382,Argentina,ARG,Americas,Italy,1.0,62 days 00:00:00.000000000
383,Argentina,ARG,Americas,Mexico,1.0,62 days 00:00:00.000000000
384,Argentina,ARG,Americas,Netherlands,1.0,62 days 00:00:00.000000000
385,Argentina,ARG,Americas,Panama,1.0,62 days 00:00:00.000000000
386,Argentina,ARG,Americas,Paraguay,1.0,62 days 00:00:00.000000000
387,Argentina,ARG,Americas,Peru,1.0,62 days 00:00:00.000000000
388,Argentina,ARG,Americas,Spain,1.0,62 days 00:00:00.000000000
389,Argentina,ARG,Americas,United Kingdom of Great Britain and Northern Ireland,1.0,62 days 00:00:00.000000000
390,Argentina,ARG,Americas,United States of America,1.0,62 days 00:00:00.000000000
391,Argentina,ARG,Americas,Uruguay,1.0,62 days 00:00:00.000000000
392,Argentina,ARG,Americas,Venezuela (Bolivarian Republic of),1.0,62 days 00:00:00.000000000
477,Armenia,ARM,Asia,Austria,1.0,61 days 00:00:00.000000000
478,Armenia,ARM,Asia,Belarus,1.0,61 days 00:00:00.000000000
479,Armenia,ARM,Asia,Czechia,1.0,61 days 00:00:00.000000000
480,Armenia,ARM,Asia,France,1.0,61 days 00:00:00.000000000
481,Armenia,ARM,Asia,Greece,1.0,61 days 00:00:00.000000000
482,Armenia,ARM,Asia,Iran (Islamic Republic of),1.0,61 days 00:00:00.000000000
483,Armenia,ARM,Asia,Italy,1.0,61 days 00:00:00.000000000
484,Armenia,ARM,Asia,Kazakhstan,1.0,61 days 00:00:00.000000000
485,Armenia,ARM,Asia,Lebanon,1.0,61 days 00:00:00.000000000
486,Armenia,ARM,Asia,Poland,1.0,61 days 00:00:00.000000000
487,Armenia,ARM,Asia,Russian Federation,1.0,61 days 00:00:00.000000000
488,Armenia,ARM,Asia,Ukraine,1.0,61 days 00:00:00.000000000
489,Armenia,ARM,Asia,United Arab Emirates,1.0,61 days 00:00:00.000000000
529,Aruba,ABW,Americas,Canada,1.0,110 days 00:00:00.000000000
530,Aruba,ABW,Americas,Colombia,1.0,110 days 00:00:00.000000000
531,Aruba,ABW,Americas,Dominican Republic,1.0,110 days 00:00:00.000000000
532,Aruba,ABW,Americas,Netherlands,1.0,110 days 00:00:00.000000000
533,Aruba,ABW,Americas,Netherlands Antilles,1.0,110 days 00:00:00.000000000
534,Aruba,ABW,Americas,Panama,1.0,110 days 00:00:00.000000000
535,Aruba,ABW,Americas,Suriname,1.0,110 days 00:00:00.000000000
536,Aruba,ABW,Americas,United States of America,1.0,110 days 00:00:00.000000000
537,Aruba,ABW,Americas,Venezuela (Bolivarian Republic of),1.0,110 days 00:00:00.000000000
538,Australia,AUS,Oceania,Brunei,1.0,53 days 00:00:00.000000000
539,Australia,AUS,Oceania,Canada,1.0,53 days 00:00:00.000000000
540,Australia,AUS,Oceania,Chile,1.0,53 days 00:00:00.000000000
541,Australia,AUS,Oceania,China,1.0,53 days 00:00:00.000000000
542,Australia,AUS,Oceania,Christmas Island,1.0,53 days 00:00:00.000000000
543,Australia,AUS,Oceania,Cook Islands,1.0,53 days 00:00:00.000000000
544,Australia,AUS,Oceania,East Timor,1.0,53 days 00:00:00.000000000
545,Australia,AUS,Oceania,Fiji,1.0,53 days 00:00:00.000000000
546,Australia,AUS,Oceania,Guam,1.0,53 days 00:00:00.000000000
547,Australia,AUS,Oceania,Hong Kong,1.0,53 days 00:00:00.000000000
548,Australia,AUS,Oceania,India,1.0,53 days 00:00:00.000000000
549,Australia,AUS,Oceania,Indonesia,1.0,53 days 00:00:00.000000000
550,Australia,AUS,Oceania,Japan,1.0,53 days 00:00:00.000000000
551,Australia,AUS,Oceania,Malaysia,1.0,53 days 00:00:00.000000000
552,Australia,AUS,Oceania,Mauritius,1.0,53 days 00:00:00.000000000
553,Australia,AUS,Oceania,Nauru,1.0,53 days 00:00:00.000000000
554,Australia,AUS,Oceania,New Caledonia,1.0,53 days 00:00:00.000000000
555,Australia,AUS,Oceania,New Zealand,1.0,53 days 00:00:00.000000000
556,Australia,AUS,Oceania,Norfolk Island,1.0,53 days 00:00:00.000000000
557,Australia,AUS,Oceania,Papua New Guinea,1.0,53 days 00:00:00.000000000
558,Australia,AUS,Oceania,Philippines,1.0,53 days 00:00:00.000000000
559,Australia,AUS,Oceania,Qatar,1.0,53 days 00:00:00.000000000
560,Australia,AUS,Oceania,Samoa,1.0,53 days 00:00:00.000000000
561,Australia,AUS,Oceania,Singapore,1.0,53 days 00:00:00.000000000
562,Australia,AUS,Oceania,Solomon Islands,1.0,53 days 00:00:00.000000000
563,Australia,AUS,Oceania,South Africa,1.0,53 days 00:00:00.000000000
564,Australia,AUS,Oceania,"Korea, Republic of",1.0,53 days 00:00:00.000000000
565,Australia,AUS,Oceania,Taiwan,1.0,53 days 00:00:00.000000000
566,Australia,AUS,Oceania,Thailand,1.0,53 days 00:00:00.000000000
567,Australia,AUS,Oceania,Tonga,1.0,53 days 00:00:00.000000000
568,Australia,AUS,Oceania,United Arab Emirates,1.0,53 days 00:00:00.000000000
569,Australia,AUS,Oceania,United States of America,1.0,53 days 00:00:00.000000000
570,Australia,AUS,Oceania,Vanuatu,1.0,53 days 00:00:00.000000000
571,Australia,AUS,Oceania,Viet Nam,1.0,53 days 00:00:00.000000000
606,Austria,AUT,Europe,Albania,1.0,51 days 00:00:00.000000000
607,Austria,AUT,Europe,Algeria,1.0,51 days 00:00:00.000000000
608,Austria,AUT,Europe,Armenia,1.0,51 days 00:00:00.000000000
609,Austria,AUT,Europe,Azerbaijan,1.0,51 days 00:00:00.000000000
610,Austria,AUT,Europe,Belarus,1.0,51 days 00:00:00.000000000
611,Austria,AUT,Europe,Belgium,1.0,51 days 00:00:00.000000000
612,Austria,AUT,Europe,Bosnia and Herzegovina,1.0,51 days 00:00:00.000000000
613,Austria,AUT,Europe,Bulgaria,1.0,51 days 00:00:00.000000000
614,Austria,AUT,Europe,Canada,1.0,51 days 00:00:00.000000000
615,Austria,AUT,Europe,China,1.0,51 days 00:00:00.000000000
616,Austria,AUT,Europe,Croatia,1.0,51 days 00:00:00.000000000
617,Austria,AUT,Europe,Cyprus,1.0,51 days 00:00:00.000000000
618,Austria,AUT,Europe,Czechia,1.0,51 days 00:00:00.000000000
619,Austria,AUT,Europe,Denmark,1.0,51 days 00:00:00.000000000
620,Austria,AUT,Europe,Egypt,1.0,51 days 00:00:00.000000000
621,Austria,AUT,Europe,Finland,1.0,51 days 00:00:00.000000000
622,Austria,AUT,Europe,France,1.0,51 days 00:00:00.000000000
623,Austria,AUT,Europe,Georgia,1.0,51 days 00:00:00.000000000
624,Austria,AUT,Europe,Germany,1.0,51 days 00:00:00.000000000
625,Austria,AUT,Europe,Greece,1.0,51 days 00:00:00.000000000
626,Austria,AUT,Europe,Hungary,1.0,51 days 00:00:00.000000000
627,Austria,AUT,Europe,India,1.0,51 days 00:00:00.000000000
628,Austria,AUT,Europe,Iran (Islamic Republic of),1.0,51 days 00:00:00.000000000
