,src,trg,iso_code_src,region,iso_code_trg
0,Afghanistan,China,AFG,Asia,CHN
1,Afghanistan,Iran (Islamic Republic of),AFG,Asia,IRN
2,Afghanistan,Pakistan,AFG,Asia,PAK
3,Afghanistan,Tajikistan,AFG,Asia,TJK
4,Afghanistan,Turkmenistan,AFG,Asia,TKM
5,Afghanistan,Uzbekistan,AFG,Asia,UZB
8,Albania,Greece,ALB,Europe,GRC
9,Albania,Montenegro,ALB,Europe,MNE
10,Albania,North Macedonia,ALB,Europe,MKD
11,Algeria,Libya,DZA,Africa,LBY
12,Algeria,Mali,DZA,Africa,MLI
13,Algeria,Mauritania,DZA,Africa,MRT
14,Algeria,Morocco,DZA,Africa,MAR
15,Algeria,Niger,DZA,Africa,NER
16,Algeria,Tunisia,DZA,Africa,TUN
17,Algeria,Western Sahara,DZA,Africa,ESH
18,American Samoa,Niue,ASM,Oceania,NIU
19,American Samoa,Samoa,ASM,Oceania,WSM
20,American Samoa,Wallis and Futuna,ASM,Oceania,WLF
23,Angola,Congo,AGO,Africa,COG
24,Angola,"Congo, Democratic Republic of the",AGO,Africa,COD
25,Angola,Namibia,AGO,Africa,NAM
26,Angola,Zambia,AGO,Africa,ZMB
27,Anguilla,Antigua and Barbuda,AIA,Americas,ATG
28,Anguilla,Saint Kitts and Nevis,AIA,Americas,KNA
32,Antigua and Barbuda,Saint Kitts and Nevis,ATG,Americas,KNA
33,Argentina,Bolivia,ARG,Americas,BOL
34,Argentina,Brazil,ARG,Americas,BRA
35,Argentina,Chile,ARG,Americas,CHL
36,Argentina,Paraguay,ARG,Americas,PRY
37,Argentina,Uruguay,ARG,Americas,URY
38,Armenia,Azerbaijan,ARM,Asia,AZE
39,Armenia,Georgia,ARM,Asia,GEO
40,Armenia,Iran (Islamic Republic of),ARM,Asia,IRN
41,Armenia,Turkey,ARM,Asia,TUR
43,Aruba,Venezuela (Bolivarian Republic of),ABW,Americas,VEN
44,Australia,Indonesia,AUS,Oceania,IDN
45,Australia,Norfolk Island,AUS,Oceania,NFK
46,Austria,Czechia,AUT,Europe,CZE
47,Austria,Germany,AUT,Europe,DEU
48,Austria,Hungary,AUT,Europe,HUN
49,Austria,Italy,AUT,Europe,ITA
51,Austria,Slovakia,AUT,Europe,SVK
52,Austria,Slovenia,AUT,Europe,SVN
53,Austria,Switzerland,AUT,Europe,CHE
54,Azerbaijan,Armenia,AZE,Asia,ARM
55,Azerbaijan,Georgia,AZE,Asia,GEO
