,src,trg,iso_code_src,region,iso_code_trg,kmdist,proximity,log-prox,norm-log-prox
0,Afghanistan,China,AFG,Asia,CHN,4199.0,0.00023815194093831864,0.1198666840723466,0.06665607265127181
1,Afghanistan,Iran (Islamic Republic of),AFG,Asia,IRN,1618.0,0.0006180469715698393,0.13533729801091854,0.13414836587161083
2,Afghanistan,Pakistan,AFG,Asia,PAK,371.0,0.0026954177897574125,0.16902735731768975,0.2811250385732701
4,Afghanistan,Tajikistan,AFG,Asia,TJK,444.0,0.0022522522522522522,0.16404671587218408,0.2593964301159594
5,Afghanistan,Turkmenistan,AFG,Asia,TKM,1035.0,0.000966183574879227,0.14404745418365533,0.1721474017689259
6,Afghanistan,Uzbekistan,AFG,Asia,UZB,774.0,0.0012919896640826874,0.15034040359249984,0.19960110130592681
7,Albania,Greece,ALB,Europe,GRC,475.0,0.002105263157894737,0.162250352577379,0.25155959321312926
8,Albania,Montenegro,ALB,Europe,MNE,157.0,0.006369426751592357,0.1977751949761298,0.4065407135037016
9,Albania,North Macedonia,ALB,Europe,MKD,172.0,0.005813953488372093,0.1942692710996454,0.3912457262963797
10,Algeria,Libya,DZA,Africa,LBY,1059.0,0.0009442870632672333,0.143573361738967,0.1700791201598377
11,Algeria,Mali,DZA,Africa,MLI,2888.0,0.00034626038781163435,0.12549697586779798,0.09121885382359747
12,Algeria,Mauritania,DZA,Africa,MRT,2740.0,0.000364963503649635,0.126331004523769,0.09485739763488185
13,Algeria,Morocco,DZA,Africa,MAR,958.0,0.0010438413361169101,0.1456696539155576,0.17922443054116674
14,Algeria,Niger,DZA,Africa,NER,2561.0,0.0003904724716907458,0.1274185135045895,0.09960177787116252
15,Algeria,Tunisia,DZA,Africa,TUN,643.0,0.0015552099533437014,0.15465165761780927,0.21840943185951123
16,Algeria,Western Sahara,DZA,Africa,ESH,1865.0,0.0005361930294906167,0.1327842028094614,0.12301020091963276
20,Angola,Congo,AGO,Africa,COG,510.0,0.00196078431372549,0.16040008334304492,0.24348758558653508
21,Angola,"Congo, Democratic Republic of the",AGO,Africa,COD,500.0,0.002,0.1609111924940025,0.24571735673983233
22,Angola,Namibia,AGO,Africa,NAM,1606.0,0.0006226650062266501,0.13547378491417814,0.134743805337175
23,Angola,Zambia,AGO,Africa,ZMB,1842.0,0.0005428881650380022,0.1330033570264869,0.12396628583873745
24,Anguilla,Antigua and Barbuda,AIA,Americas,ATG,177.0,0.005649717514124294,0.19319379300543385,0.38655383215599254
25,Anguilla,Saint Kitts and Nevis,AIA,Americas,WSM,107.0,0.009345794392523364,0.21400313074278354,0.47733690837177173
26,Antigua and Barbuda,Saint Kitts and Nevis,ATG,Americas,WSM,14205.0,7.039774727208729e-05,0.10458774899034126,0.0
27,Argentina,Bolivia,ARG,Americas,BOL,2213.0,0.00045187528242205153,0.12983464724049323,0.11014243302619778
28,Argentina,Brazil,ARG,Americas,BRA,2370.0,0.0004219409282700422,0.12868944210809358,0.10514634683981534
29,Argentina,Chile,ARG,Americas,CHL,1131.0,0.0008841732979664014,0.14223016230907937,0.16421926158309805
30,Argentina,Paraguay,ARG,Americas,PRY,1003.0,0.0009970089730807576,0.1447020780639251,0.17500327206933114
31,Argentina,Uruguay,ARG,Americas,URY,215.0,0.004651162790697674,0.18619761651459218,0.35603222538485785
32,Armenia,Azerbaijan,ARM,Asia,AZE,454.0,0.0022026431718061676,0.1634495117730625,0.2567910600685686
33,Armenia,Georgia,ARM,Asia,GEO,29.0,0.034482758620689655,0.2969742043733701,0.8393075484845068
34,Armenia,Iran (Islamic Republic of),ARM,Asia,IRN,825.0,0.0012121212121212121,0.14891182565018218,0.19336876936655767
35,Armenia,Turkey,ARM,Asia,TUR,1004.0,0.00099601593625498,0.14468121540895854,0.17491225639070657
36,Aruba,Venezuela (Bolivarian Republic of),ABW,Americas,VEN,407.0,0.002457002457002457,0.16642221502620114,0.2697598123375176
