Country,Neighbour
Afghanistan,China
Albania,Greece
Algeria,Libya
AmericanSamoa, 
Andorra,France
Angola,DemocraticRepublicCongo
Anguilla, 
AntiguaandBarbuda, 
Argentina,Bolivia
Armenia,Azerbaijan
Aruba, 
Australia, 
Austria,CzechRepublic
Azerbaijan,Armenia
Bahamas, 
Bahrain, 
Bangladesh,India
Barbados, 
Belarus,Latvia
Belgium,France
Belize,Guatemala
Benin,BurkinaFaso
Bermuda, 
Bhutan,China
Bolivia,Argentina
BosniaHerzegovina,Croatia
Botswana,Namibia
Brazil,Argentina
BritishVirginIslands, 
Brunei,Malaysia
Bulgaria,Greece
BurkinaFaso,Benin
Burundi,DemocraticRepublicCongo
Cambodia,Laos
Cameroon,CentralAfricanRepublic
Canada,UnitedStates
CapeVerde, 
CaymanIslands, 
CentralAfricanRepublic,Cameroon
Chad,Cameroon
Chile,Argentina
China,Afghanistan
ChristmasIsland, 
CocosKeelingIslands, 
Colombia,Brazil
Comoros, 
CookIslands, 
CostaRica,Nicaragua
Croatia,BosniaHerzegovina
Cuba, 
Curacao, 
Cyprus, 
CzechRepublic,Austria
DemocraticRepublicCongo,Angola
Denmark,Germany
Djibouti,Eritrea
Dominica, 
DominicanRepublic,Haiti
EastTimor,Indonesia
Ecuador,Colombia
Egypt,GazaStrip
ElSalvador,Guatemala
EquatorialGuinea,Cameroon
Eritrea,Djibouti
Estonia,Latvia
Ethiopia,Djibouti
FalklandIslands, 
FaroeIslands, 
Fiji, 
Finland,Norway
France,Andorra
FrenchGuiana,Brazil
FrenchPolynesia, 
Gabon,Cameroon
Gambia,Senegal
GazaStrip,Egypt
Georgia,Armenia
Germany,Austria
Ghana,BurkinaFaso
Gibraltar,Spain
Greece,Albania
Greenland, 
Grenada, 
Guadeloupe,FormerNetherlandsAntilles
Guam, 
Guatemala,Belize
Guernsey, 
Guinea,GuineaBissau
GuineaBissau,Guinea
Guyana,Brazil
Haiti,DominicanRepublic
Honduras,ElSalvador
HongKong,China
Hungary,Austria
Iceland, 
India,Bangladesh
Indonesia,EastTimor
Iran,Afghanistan
Iraq,Iran
Ireland,UnitedKingdom
IsleofMan, 
Israel,Egypt
Italy,Austria
IvoryCoast,BurkinaFaso
Jamaica, 
Japan, 
Jersey, 
Jordan,Iraq
Kazakhstan,China
