	src	trg	iso_code_src	region	iso_code_trg	kmdist	proximity	log-prox	Norm_prox	norm_log_prox
0	Afghanistan	China	AFG	Asia	CHN	4199	0.0002381519409	0.1198666841	0.003359814341	0.003359814341
1	Afghanistan	Iran (Islamic Republic of)	AFG	Asia	IRN	1618	0.0006180469716	0.135337298	0.01096842754	0.01096842754
2	Afghanistan	Pakistan	AFG	Asia	PAK	371	0.00269541779	0.1690273573	0.05257442327	0.05257442327
3	Afghanistan	Pakistan	AFG	Asia	PAK	371	0.00269541779	0.1690273573	0.05257442327	0.05257442327
4	Afghanistan	Tajikistan	AFG	Asia	TJK	444	0.002252252252	0.1640467159	0.04369861578	0.04369861578
5	Afghanistan	Turkmenistan	AFG	Asia	TKM	1035	0.0009661835749	0.1440474542	0.01794097664	0.01794097664
6	Afghanistan	Uzbekistan	AFG	Asia	UZB	774	0.001291989664	0.1503404036	0.02446628576	0.02446628576
7	Albania	Greece	ALB	Europe	GRC	475	0.002105263158	0.1622503526	0.04075468898	0.04075468898
8	Albania	Montenegro	ALB	Europe	MNE	157	0.006369426752	0.197775195	0.1261582052	0.1261582052
9	Albania	North Macedonia	ALB	Europe	MKD	172	0.005813953488	0.1942692711	0.1150330762	0.1150330762
10	Algeria	Libya	DZA	Africa	LBY	1059	0.0009442870633	0.1435733617	0.01750242895	0.01750242895
11	Algeria	Mali	DZA	Africa	MLI	2888	0.0003462603878	0.1254969759	0.005525031807	0.005525031807
12	Algeria	Mauritania	DZA	Africa	MRT	2740	0.0003649635036	0.1263310045	0.005899621529	0.005899621529
13	Algeria	Morocco	DZA	Africa	MAR	958	0.001043841336	0.1456696539	0.01949632172	0.01949632172
14	Algeria	Niger	DZA	Africa	NER	2561	0.0003904724717	0.1274185135	0.006410520212	0.006410520212
15	Algeria	Tunisia	DZA	Africa	TUN	643	0.001555209953	0.1546516576	0.02973811405	0.02973811405
16	Algeria	Western Sahara	DZA	Africa	ESH	1865	0.0005361930295	0.1327842028	0.009329040513	0.009329040513
17	American Samoa	Niue	ASM	Oceania	NIU	538	0.001858736059	0.1590366562	0.03581719524	0.03581719524
18	American Samoa	Samoa	ASM	Oceania	WSM	124	0.008064516129	0.2074567609	0.1601077922	0.1601077922
19	American Samoa	Wallis and Futuna	ASM	Oceania	WLF	600	0.001666666667	0.1563249956	0.03197039126	0.03197039126
20	Angola	Congo	AGO	Africa	COG	510	0.001960784314	0.1604000833	0.03786103796	0.03786103796
21	Angola	Congo, Democratic Republic of the	AGO	Africa	COD	500	0.002	0.1609111925	0.03864645753	0.03864645753
22	Angola	Namibia	AGO	Africa	NAM	1606	0.0006226650062	0.1354737849	0.01106091845	0.01106091845
23	Angola	Zambia	AGO	Africa	ZMB	1842	0.000542888165	0.133003357	0.009463132019	0.009463132019
24	Anguilla	Antigua and Barbuda	AIA	Americas	ATG	177	0.005649717514	0.193193793	0.1117437255	0.1117437255
25	Anguilla	Saint Kitts and Nevis	AIA	Americas	WSM	107	0.009345794393	0.2140031307	0.185769488	0.185769488
26	Antigua and Barbuda	Saint Kitts and Nevis	ATG	Americas	WSM	14205	7.04E-05	0.104587749	0	0
27	Argentina	Bolivia	ARG	Americas	BOL	2213	0.0004518752824	0.1298346472	0.007640307912	0.007640307912
28	Argentina	Brazil	ARG	Americas	BRA	2370	0.0004219409283	0.1286894421	0.007040776716	0.007040776716
29	Argentina	Chile	ARG	Americas	CHL	1131	0.000884173298	0.1422301623	0.01629845851	0.01629845851
30	Argentina	Paraguay	ARG	Americas	PRY	1003	0.0009970089731	0.1447020781	0.01855835384	0.01855835384
31	Argentina	Uruguay	ARG	Americas	URY	215	0.004651162791	0.1861976165	0.09174447295	0.09174447295
32	Armenia	Azerbaijan	ARM	Asia	AZE	454	0.002202643172	0.1634495118	0.04270503526	0.04270503526
33	Armenia	Georgia	ARM	Asia	GEO	29	0.03448275862	0.2969742044	0.6892176048	0.6892176048
34	Armenia	Iran (Islamic Republic of)	ARM	Asia	IRN	825	0.001212121212	0.1489118257	0.02286666453	0.02286666453
35	Armenia	Turkey	ARM	Asia	TUR	1004	0.0009960159363	0.1446812154	0.0185384651	0.0185384651
36	Aruba	Venezuela (Bolivarian Republic of)	ABW	Americas	VEN	407	0.002457002457	0.166422215	0.04779939359	0.04779939359
37	Australia	Indonesia	AUS	Oceania	IDN	5392	0.0001854599407	0.1163782396	0.002304488484	0.002304488484
38	Australia	Norfolk Island	AUS	Oceania	NFK	1900	0.0005263157895	0.1324571879	0.009131217186	0.009131217186
39	Austria	Czechia	AUT	Europe	CZE	259	0.003861003861	0.1799587802	0.07591901282	0.07591901282
40	Austria	Germany	AUT	Europe	DEU	492	0.002032520325	0.1613299078	0.03929778106	0.03929778106
41	Austria	Germany	AUT	Europe	DEU	705	0.001418439716	0.1524809147	0.02699885255	0.02699885255
42	Austria	Hungary	AUT	Europe	HUN	238	0.004201680672	0.1827394988	0.08274215573	0.08274215573
43	Austria	Italy	AUT	Europe	ITA	823	0.001215066829	0.1489656673	0.02292565992	0.02292565992
44	Austria	Slovakia	AUT	Europe	SVK	62	0.01612903226	0.2422988705	0.3216255245	0.3216255245
45	Austria	Slovenia	AUT	Europe	SVN	264	0.003787878788	0.1793416657	0.07445444932	0.07445444932
46	Austria	Switzerland	AUT	Europe	CHE	713	0.001402524544	0.1522190164	0.02668010032	0.02668010032
47	Azerbaijan	Armenia	AZE	Asia	ARM	454	0.002202643172	0.1634495118	0.04270503526	0.04270503526
48	Azerbaijan	Georgia	AZE	Asia	GEO	425	0.002352941176	0.1652321987	0.04571523357	0.04571523357
49	Azerbaijan	Iran (Islamic Republic of)	AZE	Asia	IRN	571	0.001751313485	0.1575450893	0.03366571457	0.03366571457
50	Azerbaijan	Russian Federation	AZE	Asia	RUS	1897	0.0005271481286	0.1324849181	0.00914788744	0.00914788744
51	Azerbaijan	Turkey	AZE	Asia	TUR	1458	0.0006858710562	0.1372717342	0.01232682179	0.01232682179
52	Bahamas	United States of America	BHS	Americas	USA	1623	0.0006161429452	0.1352808076	0.01093029332	0.01093029332
53	Bahamas	United States of America	BHS	Americas	USA	1623	0.0006161429452	0.1352808076	0.01093029332	0.01093029332
54	Bahrain	Qatar	BHR	Asia	QAT	60	0.01666666667	0.2442393367	0.3323933733	0.3323933733
