disease	country	month
zika	IN	201705
zika	PG	201604
zika	PE	201604
zika	LC	201604
zika	CL	201604
zika	VN	201604
zika	DM	201603
zika	CU	201603
zika	AR	201603
zika	FR	201603
zika	SX	201603
zika	VC	201603
zika	TT	201602
zika	BQ	201602
zika	AW	201602
zika	US	201602
zika	MV	201602
zika	CR	201602
zika	CW	201602
zika	JM	201602
zika	NI	201602
zika	VI	201601
zika	DO	201601
zika	MF	201601
zika	GP	201601
zika	HT	201601
zika	BO	201601
zika	GY	201601
zika	BB	201601
zika	EC	201601
zika	PR	201601
zika	GF	201601
zika	MQ	201601
zika	PA	201512
zika	HN	201512
zika	CV	201512
zika	VE	201512
zika	MX	201512
zika	PY	201512
zika	GT	201511
zika	SV	201511
zika	SR	201511
zika	BR	201510
zika	CO	201510
ebola	TZ	201909
ebola	IT	201505
ebola	GB	201412
ebola	ML	201410
ebola	ES	201410
ebola	US	201410
ebola	SN	201408
ebola	LR	201403
ebola	GN	201403
ebola	PH	200902
ebola	CD	200709
ebola	SS	200405
ebola	CG	200302
ebola	GA	200112
ebola	UG	200010
avianflu	CA	201502
avianflu	US	201111
avianflu	HK	201011
avianflu	BD	200805
avianflu	PK	200712
avianflu	MM	200712
avianflu	VN	200706
avianflu	GB	200705
avianflu	KH	200704
avianflu	LA	200702
avianflu	IQ	200609
avianflu	TH	200607
avianflu	DJ	200605
avianflu	CN	200604
avianflu	ID	200604
avianflu	EG	200603
avianflu	AZ	200603
avianflu	DE	200603
avianflu	NE	200602
avianflu	NG	200602
dengue	JM	201902
dengue	FR	201805
dengue	CI	201708
dengue	LK	201707
dengue	BF	201611
dengue	UY	201602
dengue	EG	201511
dengue	PT	201210
dengue	PK	201010
dengue	CV	200910
dengue	ID	200402
dengue	EC	200208
dengue	HN	200207
dengue	SV	200206
dengue	BR	200203
dengue	KH	199802
dengue	CU	199706
dengue	CK	199702
dengue	IN	199610
dengue	VE	199608
dengue	PH	199607
dengue	MY	199606
