,src,trg,nij,score
0,Afghanistan,Azerbaijan,1,0.9250106518960375
4043,Turkmenistan,Azerbaijan,1,0.916030534351145
416,Bhutan,India,1,0.9369774919614148
2,Afghanistan,Iran (Islamic Republic of),1,0.9023157894736842
3814,Tajikistan,Iran (Islamic Republic of),1,0.8907721280602636
3,Afghanistan,Kuwait,1,0.9119763013118917
4,Afghanistan,Pakistan,1,0.9184713375796179
5,Afghanistan,Tajikistan,1,0.9652022618529795
1816,Iran (Islamic Republic of),Tajikistan,1,0.8793677204658902
2102,Kazakhstan,Tajikistan,1,0.8991172761664565
2236,Kyrgyzstan,Tajikistan,1,0.9652022618529795
10,Albania,Greece,1,0.8778054862842892
12,Albania,Slovenia,1,0.9457364341085271
433,Bosnia and Herzegovina,Slovenia,1,0.9233716475095786
2589,Montenegro,Slovenia,1,0.916030534351145
2844,North Macedonia,Slovenia,1,0.9015151515151515
413,Bermuda,United Kingdom of Great Britain and Northern Ireland,1,0.8766355140186917
1515,Gibraltar,United Kingdom of Great Britain and Northern Ireland,1,0.9571150097465887
1871,Isle of Man,United Kingdom of Great Britain and Northern Ireland,1,0.916030534351145
397,Benin,Burkina Faso,1,0.9172501591343094
799,Côte d'Ivoire,Burkina Faso,1,0.8963273871983211
2452,Mali,Burkina Faso,1,0.9172501591343094
2796,Niger,Burkina Faso,1,0.9549978364344439
3895,Togo,Burkina Faso,1,0.9278856411350545
412,Bermuda,Canada,1,0.9221442246330568
3321,Saint Pierre and Miquelon,Canada,1,0.9733566280847347
2159,Korea (Democratic People's Republic of),China,1,0.9209183673469388
2850,Northern Mariana Islands,China,1,0.8959295006294586
400,Benin,Côte d'Ivoire,1,0.8872180451127819
512,Burkina Faso,Côte d'Ivoire,1,0.8943396226415095
1359,Gabon,Côte d'Ivoire,1,0.8943396226415095
1601,Guinea,Côte d'Ivoire,1,0.9382239382239382
2311,Liberia,Côte d'Ivoire,1,0.953307392996109
2453,Mali,Côte d'Ivoire,1,0.8872180451127819
3432,Sierra Leone,Côte d'Ivoire,1,0.9307692307692308
3897,Togo,Côte d'Ivoire,1,0.9015151515151515
1104,Eritrea,Egypt,1,0.8848560700876095
407,Benin,Mali,1,0.905123339658444
516,Burkina Faso,Mali,1,0.9111675126903553
807,Côte d'Ivoire,Mali,1,0.8813241723922549
1604,Guinea,Mali,1,0.9482535575679172
2507,Mauritania,Mali,1,0.954574951330305
3903,Togo,Mali,1,0.9172501591343094
640,Central African Republic,Morocco,1,0.9583875162548765
1371,Gambia,Morocco,1,0.8801498127340824
1612,Guinea-Bissau,Morocco,1,0.8991172761664565
2313,Liberia,Morocco,1,0.8801498127340824
4481,Western Sahara,Morocco,1,0.9583875162548765
31,Algeria,Niger,1,0.8943396226415095
408,Benin,Niger,1,0.941972920696325
518,Burkina Faso,Niger,1,0.9457364341085271
644,Chad,Niger,1,0.9763779527559056
2820,Nigeria,Niger,1,0.8801498127340824
2644,Mozambique,Portugal,1,0.9039190897597977
3328,Sao Tome and Principe,Portugal,1,0.9507772020725389
2161,Korea (Democratic People's Republic of),Russian Federation,1,0.9111675126903553
1106,Eritrea,Saudi Arabia,1,0.8919597989949749
1372,Gambia,Senegal,1,0.9382239382239382
1607,Guinea,Senegal,1,0.9184713375796179
1613,Guinea-Bissau,Senegal,1,0.9482535575679172
2509,Mauritania,Senegal,1,0.9282970550576184
3439,Sierra Leone,Senegal,1,0.908745247148289
4482,Western Sahara,Spain,1,0.9373927958833619
2511,Mauritania,Tunisia,1,0.9083421330517424
43,American Samoa,United States of America,1,0.9617889709075119
414,Bermuda,United States of America,1,0.8895859473023839
783,Cook Islands,United States of America,1,0.8554414784394251
2158,Kiribati,United States of America,1,0.8554414784394251
2494,Marshall Islands,United States of America,1,0.8554414784394251
419,Bolivia,Brazil,1,0.8766355140186917
1345,French Guiana,Brazil,1,0.9432258064516129
2986,Paraguay,Brazil,1,0.8895859473023839
3677,Suriname,Brazil,1,0.9027163613392293
4394,Uruguay,Brazil,1,0.8895859473023839
46,Angola,Congo,1,0.9071338117349093
399,Benin,Congo,1,0.9295323510570147
555,Cameroon,Congo,1,0.9205100956429331
773,"Congo, Democratic Republic of the",Congo,1,0.9571150097465887
1357,Gabon,Congo,1,0.9340753424657534
3300,Rwanda,Congo,1,0.9386397768719159
47,Angola,"Congo, Democratic Republic of the",1,0.8991172761664565
556,Cameroon,"Congo, Democratic Republic of the",1,0.9135959339263025
763,Congo,"Congo, Democratic Republic of the",1,0.9432258064516129
1358,Gabon,"Congo, Democratic Republic of the",1,0.9282970550576184
