,src,trg,nij,score
416,Bhutan,India,0.17577866248809984,0.971263663872048
2,Afghanistan,Iran (Islamic Republic of),0.25751108605227985,0.9440514655392606
4,Afghanistan,Pakistan,0.22180797641347444,0.9357402761402585
3431,Seychelles,United Arab Emirates,0.22180797641347444,0.9015059571865975
11,Albania,Italy,0.5273359874642995,0.912931804621281
1346,French Guiana,France,0.17577866248809984,0.9039869209232694
3934,Tunisia,Libya,0.4871255196561021,0.9461812983506888
2508,Mauritania,Morocco,0.17577866248809984,0.9542750244296979
4481,Western Sahara,Morocco,0.22180797641347444,0.9724258675930394
534,Cabo Verde,Portugal,0.33271196462021163,0.9132377793623229
2324,Libya,Tunisia,0.4945687516421019,0.9481890702871097
1515,Gibraltar,United Kingdom of Great Britain and Northern Ireland,0.28668265069483706,0.9290319522406242
1600,Guernsey,United Kingdom of Great Britain and Northern Ireland,0.3836647634353647,0.8902545772541537
1871,Isle of Man,United Kingdom of Great Britain and Northern Ireland,0.3684150742590171,0.9290319522406243
85,Argentina,Brazil,0.5331548335814766,0.919992463382934
2986,Paraguay,Brazil,0.25751108605227985,0.9550401368781128
4394,Uruguay,Brazil,0.3515573249761997,0.9623488643434087
47,Angola,"Congo, Democratic Republic of the",0.22180797641347444,0.9836624247869099
556,Cameroon,"Congo, Democratic Republic of the",0.22180797641347444,0.9657962571174242
763,Congo,"Congo, Democratic Republic of the",0.17577866248809984,0.9714670008052511
979,Djibouti,Ethiopia,0.25751108605227985,0.9621273315933836
3561,South Sudan,Ethiopia,0.11090398820673722,0.9525886698481594
3822,"Tanzania, United Republic of",Ethiopia,0.22180797641347444,0.9452797499611965
55,Angola,Namibia,0.17577866248809984,0.9875086971347883
3539,South Africa,Namibia,0.3515573249761997,0.9664142118246518
4505,Zambia,Namibia,0.11090398820673722,0.9710023039844076
4514,Zimbabwe,Namibia,0.11090398820673722,0.9794398143385428
439,Botswana,South Africa,0.3515573249761997,0.9791927617060495
2393,Malawi,South Africa,0.17577866248809984,0.9421543419630253
2645,Mozambique,South Africa,0.4332897485403797,0.9761225121297665
2664,Namibia,South Africa,0.3515573249761997,0.9665102096355138
4515,Zimbabwe,South Africa,0.3515573249761997,0.9450088754630536
65,Anguilla,Netherlands Antilles,0.11090398820673722,0.9851667863248468
122,Aruba,Netherlands Antilles,0.17577866248809984,0.9430391606525713
991,Dominica,Netherlands Antilles,0.22180797641347444,0.9756974410877639
4442,Venezuela (Bolivarian Republic of),Netherlands Antilles,0.28668265069483706,0.9332865236621752
4472,Virgin Islands (British),Netherlands Antilles,0.22180797641347444,0.9579685816612772
66,Anguilla,Puerto Rico,0.11090398820673722,0.9910003374064386
992,Dominica,Puerto Rico,0.22180797641347444,0.985227348309495
1013,Dominican Republic,Puerto Rico,0.3515573249761997,0.9401037089487141
2502,Martinique,Puerto Rico,0.11090398820673722,0.955797305701027
4473,Virgin Islands (British),Puerto Rico,0.28668265069483706,0.9801047735177475
69,Antigua and Barbuda,Barbados,0.11090398820673722,0.9713429172707606
3312,Saint Lucia,Barbados,0.11090398820673722,0.9727141754612791
3909,Trinidad and Tobago,Barbados,0.11090398820673722,0.970864004801827
1615,Guyana,Canada,0.11090398820673722,0.9449499452052235
3321,Saint Pierre and Miquelon,Canada,0.17577866248809984,0.9720908728580013
3120,Puerto Rico,Dominican Republic,0.3515573249761997,0.9281559718829758
75,Antigua and Barbuda,Guadeloupe,0.11090398820673722,0.9551204917321976
990,Dominica,Guadeloupe,0.17577866248809984,0.986446139605673
1623,Haiti,Guadeloupe,0.11090398820673722,0.971282785920126
2501,Martinique,Guadeloupe,0.22180797641347444,0.983710781182559
79,Antigua and Barbuda,Saint Kitts and Nevis,0.22180797641347444,0.9893532139166674
3127,Puerto Rico,Saint Kitts and Nevis,0.22180797641347444,0.984581629912209
80,Antigua and Barbuda,Saint Lucia,0.11090398820673722,0.9557431202206091
1562,Grenada,Saint Lucia,0.11090398820673722,0.9820779653459666
2503,Martinique,Saint Lucia,0.22180797641347444,0.9839400251328343
3916,Trinidad and Tobago,Saint Lucia,0.22180797641347444,0.9772488312864391
1564,Grenada,Trinidad and Tobago,0.17577866248809984,0.9878699063032531
3318,Saint Lucia,Trinidad and Tobago,0.22180797641347444,0.9772318207939662
3682,Suriname,Trinidad and Tobago,0.17577866248809984,0.9943673167374227
248,Bahamas,United States of America,0.6842692895964113,0.8710620247898232
396,Belize,United States of America,0.3684150742590171,0.860056678708173
414,Bermuda,United States of America,0.3836647634353647,0.8825492736364529
638,Cayman Islands,United States of America,0.4436159528269489,0.8880384826342768
649,Chile,Bolivia,0.17577866248809984,0.9599827860781485
2985,Paraguay,Bolivia,0.11090398820673722,0.9797858665266983
2993,Peru,Bolivia,0.33271196462021163,0.97277299815478
86,Argentina,Chile,0.3515573249761997,0.9489289344008792
420,Bolivia,Chile,0.17577866248809984,0.9640818499921336
2987,Paraguay,Chile,0.11090398820673722,0.9566761189249606
2996,Peru,Chile,0.3113468571680022,0.9380165672225337
1027,Ecuador,Colombia,0.3836647634353647,0.962694684864405
792,Costa Rica,Panama,0.3113468571680022,0.9425319553259148
98,Argentina,Paraguay,0.22180797641347444,0.972797017711497
423,Bolivia,Paraguay,0.11090398820673722,0.9809374785175647
460,Brazil,Paraguay,0.25751108605227985,0.9544943521714104
660,Chile,Paraguay,0.11090398820673722,0.9544646055851997
424,Bolivia,Peru,0.33271196462021163,0.9745435653709063
661,Chile,Peru,0.3113468571680022,0.9354424892934546
1033,Ecuador,Peru,0.25751108605227985,0.951283191053497
103,Argentina,Uruguay,0.3515573249761997,0.9803756409860662
473,Brazil,Uruguay,0.3515573249761997,0.9618900735312212
126,Aruba,Venezuela (Bolivarian Republic of),0.3836647634353647,0.9792274873420757
2975,Panama,Venezuela (Bolivarian Republic of),0.28668265069483706,0.92601418344581
