,src,trg,nij,score,region,weeks_since_100_cases
0,Bhutan,India,0.17577866248809984,0.971263663872048,Asia,142
1,Afghanistan,Iran (Islamic Republic of),0.25751108605227985,0.9440514655392606,Asia,10
2,Afghanistan,Pakistan,0.22180797641347444,0.9357402761402585,Asia,10
3,Seychelles,United Arab Emirates,0.22180797641347444,0.9015059571865975,Africa,142
4,Albania,Italy,0.5273359874642995,0.912931804621281,Europe,9
5,French Guiana,France,0.17577866248809984,0.9039869209232694,Americas,142
6,Tunisia,Libya,0.4871255196561021,0.9461812983506888,Africa,9
7,Mauritania,Morocco,0.17577866248809984,0.9542750244296979,Africa,17
8,Western Sahara,Morocco,0.22180797641347444,0.9724258675930394,Africa,23
9,Cabo Verde,Portugal,0.33271196462021163,0.9132377793623229,Africa,14
10,Libya,Tunisia,0.4945687516421019,0.9481890702871097,Africa,18
11,Gibraltar,United Kingdom of Great Britain and Northern Ireland,0.28668265069483706,0.9290319522406242,Europe,11
12,Guernsey,United Kingdom of Great Britain and Northern Ireland,0.3836647634353647,0.8902545772541537,Europe,11
13,Isle of Man,United Kingdom of Great Britain and Northern Ireland,0.3684150742590171,0.9290319522406243,Europe,11
14,Argentina,Brazil,0.5331548335814766,0.919992463382934,Americas,8
15,Paraguay,Brazil,0.25751108605227985,0.9550401368781128,Americas,11
16,Uruguay,Brazil,0.3515573249761997,0.9623488643434087,Americas,9
17,Angola,"Congo, Democratic Republic of the",0.22180797641347444,0.9836624247869099,Africa,20
18,Cameroon,"Congo, Democratic Republic of the",0.22180797641347444,0.9657962571174242,Africa,10
19,Congo,"Congo, Democratic Republic of the",0.17577866248809984,0.9714670008052511,Africa,12
20,Djibouti,Ethiopia,0.25751108605227985,0.9621273315933836,Africa,11
21,South Sudan,Ethiopia,0.11090398820673722,0.9525886698481594,Africa,16
22,"Tanzania, United Republic of",Ethiopia,0.22180797641347444,0.9452797499611965,Africa,13
23,Angola,Namibia,0.17577866248809984,0.9875086971347883,Africa,20
24,South Africa,Namibia,0.3515573249761997,0.9664142118246518,Africa,8
25,Zambia,Namibia,0.11090398820673722,0.9710023039844076,Africa,14
26,Zimbabwe,Namibia,0.11090398820673722,0.9794398143385428,Africa,18
27,Botswana,South Africa,0.3515573249761997,0.9791927617060495,Africa,23
28,Malawi,South Africa,0.17577866248809984,0.9421543419630253,Africa,18
29,Mozambique,South Africa,0.4332897485403797,0.9761225121297665,Africa,16
30,Namibia,South Africa,0.3515573249761997,0.9665102096355138,Africa,23
31,Zimbabwe,South Africa,0.3515573249761997,0.9450088754630536,Africa,18
32,Anguilla,Netherlands Antilles,0.11090398820673722,0.9851667863248468,Americas,142
33,Aruba,Netherlands Antilles,0.17577866248809984,0.9430391606525713,Americas,15
34,Dominica,Netherlands Antilles,0.22180797641347444,0.9756974410877639,Americas,142
35,Venezuela (Bolivarian Republic of),Netherlands Antilles,0.28668265069483706,0.9332865236621752,Americas,9
36,Virgin Islands (British),Netherlands Antilles,0.22180797641347444,0.9579685816612772,Americas,142
37,Anguilla,Puerto Rico,0.11090398820673722,0.9910003374064386,Americas,142
38,Dominica,Puerto Rico,0.22180797641347444,0.985227348309495,Americas,142
39,Dominican Republic,Puerto Rico,0.3515573249761997,0.9401037089487141,Americas,9
40,Martinique,Puerto Rico,0.11090398820673722,0.955797305701027,Americas,142
41,Virgin Islands (British),Puerto Rico,0.28668265069483706,0.9801047735177475,Americas,142
42,Antigua and Barbuda,Barbados,0.11090398820673722,0.9713429172707606,Americas,142
43,Saint Lucia,Barbados,0.11090398820673722,0.9727141754612791,Americas,142
44,Trinidad and Tobago,Barbados,0.11090398820673722,0.970864004801827,Americas,11
45,Guyana,Canada,0.11090398820673722,0.9449499452052235,Americas,16
46,Saint Pierre and Miquelon,Canada,0.17577866248809984,0.9720908728580013,Americas,142
47,Puerto Rico,Dominican Republic,0.3515573249761997,0.9281559718829758,Americas,10
48,Antigua and Barbuda,Guadeloupe,0.11090398820673722,0.9551204917321976,Americas,142
49,Dominica,Guadeloupe,0.17577866248809984,0.986446139605673,Americas,142
50,Haiti,Guadeloupe,0.11090398820673722,0.971282785920126,Americas,15
51,Martinique,Guadeloupe,0.22180797641347444,0.983710781182559,Americas,142
52,Antigua and Barbuda,Saint Kitts and Nevis,0.22180797641347444,0.9893532139166674,Americas,142
53,Puerto Rico,Saint Kitts and Nevis,0.22180797641347444,0.984581629912209,Americas,10
54,Antigua and Barbuda,Saint Lucia,0.11090398820673722,0.9557431202206091,Americas,142
55,Grenada,Saint Lucia,0.11090398820673722,0.9820779653459666,Americas,142
56,Martinique,Saint Lucia,0.22180797641347444,0.9839400251328343,Americas,142
57,Trinidad and Tobago,Saint Lucia,0.22180797641347444,0.9772488312864391,Americas,11
58,Grenada,Trinidad and Tobago,0.17577866248809984,0.9878699063032531,Americas,142
59,Saint Lucia,Trinidad and Tobago,0.22180797641347444,0.9772318207939662,Americas,142
60,Suriname,Trinidad and Tobago,0.17577866248809984,0.9943673167374227,Americas,20
61,Bahamas,United States of America,0.6842692895964113,0.8710620247898232,Americas,18
62,Belize,United States of America,0.3684150742590171,0.860056678708173,Americas,142
63,Bermuda,United States of America,0.3836647634353647,0.8825492736364529,Americas,14
64,Cayman Islands,United States of America,0.4436159528269489,0.8880384826342768,Americas,17
65,Chile,Bolivia,0.17577866248809984,0.9599827860781485,Americas,8
66,Paraguay,Bolivia,0.11090398820673722,0.9797858665266983,Americas,11
67,Peru,Bolivia,0.33271196462021163,0.97277299815478,Americas,8
68,Argentina,Chile,0.3515573249761997,0.9489289344008792,Americas,8
69,Bolivia,Chile,0.17577866248809984,0.9640818499921336,Americas,10
70,Paraguay,Chile,0.11090398820673722,0.9566761189249606,Americas,11
71,Peru,Chile,0.3113468571680022,0.9380165672225337,Americas,8
72,Ecuador,Colombia,0.3836647634353647,0.962694684864405,Americas,8
73,Costa Rica,Panama,0.3113468571680022,0.9425319553259148,Americas,9
74,Argentina,Paraguay,0.22180797641347444,0.972797017711497,Americas,8
75,Bolivia,Paraguay,0.11090398820673722,0.9809374785175647,Americas,10
76,Brazil,Paraguay,0.25751108605227985,0.9544943521714104,Americas,8
77,Chile,Paraguay,0.11090398820673722,0.9544646055851997,Americas,8
78,Bolivia,Peru,0.33271196462021163,0.9745435653709063,Americas,10
79,Chile,Peru,0.3113468571680022,0.9354424892934546,Americas,8
80,Ecuador,Peru,0.25751108605227985,0.951283191053497,Americas,8
81,Argentina,Uruguay,0.3515573249761997,0.9803756409860662,Americas,8
82,Brazil,Uruguay,0.3515573249761997,0.9618900735312212,Americas,8
83,Aruba,Venezuela (Bolivarian Republic of),0.3836647634353647,0.9792274873420757,Americas,15
84,Panama,Venezuela (Bolivarian Republic of),0.28668265069483706,0.92601418344581,Americas,8
85,Slovakia,Czechia,0.25751108605227985,0.9378584585691333,Europe,8
86,Armenia,Russian Federation,0.5273359874642995,0.8927974172671711,Asia,8
87,Kyrgyzstan,Russian Federation,0.629094593229604,0.8860620940375795,Asia,10
88,Tajikistan,Russian Federation,0.6820314820159634,0.8801374775065866,Asia,15
89,Korea (Democratic People's Republic of),China,0.17577866248809984,0.9551147978891025,Asia,142
90,Australia,East Timor,0.11090398820673722,0.9801758053214303,Oceania,7
91,Australia,Fiji,0.3836647634353647,0.926334597022928,Oceania,7
