,src,iso_code,region,trg,weighted,log-weight,norm-log-weight,days_since_100_cases_in_China_2019,weeks_since_100_cases
0,Afghanistan,AFG,Asia,Azerbaijan,1.0,0.0,0.0,71.0,10
1,Afghanistan,AFG,Asia,India,7.0,1.9459101490553132,0.3113468571680022,71.0,10
2,Afghanistan,AFG,Asia,Iran (Islamic Republic of),5.0,1.6094379124341003,0.25751108605227985,71.0,10
3,Afghanistan,AFG,Asia,Kuwait,1.0,0.0,0.0,71.0,10
4,Afghanistan,AFG,Asia,Pakistan,4.0,1.3862943611198906,0.22180797641347444,71.0,10
5,Afghanistan,AFG,Asia,Tajikistan,1.0,0.0,0.0,71.0,10
6,Afghanistan,AFG,Asia,Turkey,3.0,1.0986122886681098,0.17577866248809984,71.0,10
7,Afghanistan,AFG,Asia,United Arab Emirates,7.0,1.9459101490553132,0.3113468571680022,71.0,10
48,Albania,ALB,Europe,Austria,1.0,0.0,0.0,67.0,9
49,Albania,ALB,Europe,Germany,2.0,0.6931471805599453,0.11090398820673722,67.0,9
50,Albania,ALB,Europe,Greece,2.0,0.6931471805599453,0.11090398820673722,67.0,9
51,Albania,ALB,Europe,Italy,27.0,3.295836866004329,0.5273359874642995,67.0,9
52,Albania,ALB,Europe,Slovenia,1.0,0.0,0.0,67.0,9
53,Albania,ALB,Europe,Turkey,2.0,0.6931471805599453,0.11090398820673722,67.0,9
54,Albania,ALB,Europe,United Kingdom of Great Britain and Northern Ireland,1.0,0.0,0.0,67.0,9
69,Algeria,DZA,Africa,Austria,1.0,0.0,0.0,63.0,9
70,Algeria,DZA,Africa,Belgium,1.0,0.0,0.0,63.0,9
71,Algeria,DZA,Africa,Burkina Faso,1.0,0.0,0.0,63.0,9
72,Algeria,DZA,Africa,Canada,1.0,0.0,0.0,63.0,9
73,Algeria,DZA,Africa,China,1.0,0.0,0.0,63.0,9
74,Algeria,DZA,Africa,Côte d'Ivoire,1.0,0.0,0.0,63.0,9
75,Algeria,DZA,Africa,Egypt,2.0,0.6931471805599453,0.11090398820673722,63.0,9
76,Algeria,DZA,Africa,France,67.0,4.204692619390966,0.6727534840395448,63.0,9
77,Algeria,DZA,Africa,Germany,3.0,1.0986122886681098,0.17577866248809984,63.0,9
78,Algeria,DZA,Africa,Italy,4.0,1.3862943611198906,0.22180797641347444,63.0,9
79,Algeria,DZA,Africa,Jordan,2.0,0.6931471805599453,0.11090398820673722,63.0,9
80,Algeria,DZA,Africa,Lebanon,1.0,0.0,0.0,63.0,9
81,Algeria,DZA,Africa,Libya,2.0,0.6931471805599453,0.11090398820673722,63.0,9
82,Algeria,DZA,Africa,Mali,1.0,0.0,0.0,63.0,9
83,Algeria,DZA,Africa,Malta,1.0,0.0,0.0,63.0,9
84,Algeria,DZA,Africa,Morocco,3.0,1.0986122886681098,0.17577866248809984,63.0,9
85,Algeria,DZA,Africa,Niger,1.0,0.0,0.0,63.0,9
86,Algeria,DZA,Africa,Portugal,2.0,0.6931471805599453,0.11090398820673722,63.0,9
87,Algeria,DZA,Africa,Qatar,1.0,0.0,0.0,63.0,9
88,Algeria,DZA,Africa,Russian Federation,1.0,0.0,0.0,63.0,9
89,Algeria,DZA,Africa,Saudi Arabia,2.0,0.6931471805599453,0.11090398820673722,63.0,9
90,Algeria,DZA,Africa,Senegal,1.0,0.0,0.0,63.0,9
91,Algeria,DZA,Africa,Spain,14.0,2.6390573296152584,0.4222508453747394,63.0,9
92,Algeria,DZA,Africa,Switzerland,1.0,0.0,0.0,63.0,9
93,Algeria,DZA,Africa,Tunisia,3.0,1.0986122886681098,0.17577866248809984,63.0,9
94,Algeria,DZA,Africa,Turkey,6.0,1.791759469228055,0.28668265069483706,63.0,9
95,Algeria,DZA,Africa,United Arab Emirates,2.0,0.6931471805599453,0.11090398820673722,63.0,9
96,Algeria,DZA,Africa,United Kingdom of Great Britain and Northern Ireland,3.0,1.0986122886681098,0.17577866248809984,63.0,9
265,American Samoa,ASM,Oceania,United States of America,1.0,0.0,0.0,999.0,142
268,Angola,AGO,Africa,Brazil,2.0,0.6931471805599453,0.11090398820673722,145.0,20
269,Angola,AGO,Africa,China,1.0,0.0,0.0,145.0,20
270,Angola,AGO,Africa,Congo,1.0,0.0,0.0,145.0,20
271,Angola,AGO,Africa,"Congo, Democratic Republic of the",4.0,1.3862943611198906,0.22180797641347444,145.0,20
272,Angola,AGO,Africa,Cuba,1.0,0.0,0.0,145.0,20
273,Angola,AGO,Africa,Ethiopia,2.0,0.6931471805599453,0.11090398820673722,145.0,20
274,Angola,AGO,Africa,France,1.0,0.0,0.0,145.0,20
275,Angola,AGO,Africa,Germany,1.0,0.0,0.0,145.0,20
276,Angola,AGO,Africa,Kenya,1.0,0.0,0.0,145.0,20
277,Angola,AGO,Africa,Morocco,1.0,0.0,0.0,145.0,20
278,Angola,AGO,Africa,Mozambique,1.0,0.0,0.0,145.0,20
279,Angola,AGO,Africa,Namibia,3.0,1.0986122886681098,0.17577866248809984,145.0,20
280,Angola,AGO,Africa,Netherlands,1.0,0.0,0.0,145.0,20
281,Angola,AGO,Africa,Portugal,3.0,1.0986122886681098,0.17577866248809984,145.0,20
282,Angola,AGO,Africa,Sao Tome and Principe,1.0,0.0,0.0,145.0,20
283,Angola,AGO,Africa,South Africa,3.0,1.0986122886681098,0.17577866248809984,145.0,20
284,Angola,AGO,Africa,Spain,1.0,0.0,0.0,145.0,20
285,Angola,AGO,Africa,United Arab Emirates,2.0,0.6931471805599453,0.11090398820673722,145.0,20
286,Angola,AGO,Africa,United Kingdom of Great Britain and Northern Ireland,2.0,0.6931471805599453,0.11090398820673722,145.0,20
287,Angola,AGO,Africa,Zimbabwe,1.0,0.0,0.0,145.0,20
348,Anguilla,AIA,Americas,Antigua and Barbuda,1.0,0.0,0.0,999.0,142
349,Anguilla,AIA,Americas,Netherlands Antilles,2.0,0.6931471805599453,0.11090398820673722,999.0,142
350,Anguilla,AIA,Americas,Puerto Rico,2.0,0.6931471805599453,0.11090398820673722,999.0,142
351,Anguilla,AIA,Americas,Virgin Islands (British),1.0,0.0,0.0,999.0,142
356,Antigua and Barbuda,ATG,Americas,Anguilla,1.0,0.0,0.0,999.0,142
357,Antigua and Barbuda,ATG,Americas,Barbados,2.0,0.6931471805599453,0.11090398820673722,999.0,142
358,Antigua and Barbuda,ATG,Americas,Canada,2.0,0.6931471805599453,0.11090398820673722,999.0,142
359,Antigua and Barbuda,ATG,Americas,Dominica,1.0,0.0,0.0,999.0,142
360,Antigua and Barbuda,ATG,Americas,Dominican Republic,3.0,1.0986122886681098,0.17577866248809984,999.0,142
361,Antigua and Barbuda,ATG,Americas,France,2.0,0.6931471805599453,0.11090398820673722,999.0,142
362,Antigua and Barbuda,ATG,Americas,Germany,1.0,0.0,0.0,999.0,142
363,Antigua and Barbuda,ATG,Americas,Guadeloupe,2.0,0.6931471805599453,0.11090398820673722,999.0,142
364,Antigua and Barbuda,ATG,Americas,Jamaica,1.0,0.0,0.0,999.0,142
365,Antigua and Barbuda,ATG,Americas,Netherlands Antilles,1.0,0.0,0.0,999.0,142
366,Antigua and Barbuda,ATG,Americas,Puerto Rico,1.0,0.0,0.0,999.0,142
367,Antigua and Barbuda,ATG,Americas,Saint Kitts and Nevis,4.0,1.3862943611198906,0.22180797641347444,999.0,142
368,Antigua and Barbuda,ATG,Americas,Saint Lucia,2.0,0.6931471805599453,0.11090398820673722,999.0,142
369,Antigua and Barbuda,ATG,Americas,Trinidad and Tobago,2.0,0.6931471805599453,0.11090398820673722,999.0,142
370,Antigua and Barbuda,ATG,Americas,United Kingdom of Great Britain and Northern Ireland,3.0,1.0986122886681098,0.17577866248809984,999.0,142
